tenant,code,path,rows,headers
apex-retail,F01,datasets/apex-retail-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,1,
apex-retail,F03,datasets/apex-retail-synthetic-v4/family-1-enterprise-operating-model/F03_it-org-ownership.csv,10,team_id|team_name|executive_owner_role|domain|head_count_fte|annual_budget_usd
apex-retail,F04,datasets/apex-retail-synthetic-v4/family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,14,capability_id|capability_name|owning_function_id|value_stream|ai_maturity|business_criticality|description
apex-retail,F05,datasets/apex-retail-synthetic-v4/family-2-technology-estate/F05_applications-systems.csv,170,application_id|application_name|domain|primary_business_owner|technical_owner_team|platform_type|hosting_model|environment|criticality|annual_run_cost_usd|users_or_entities_supported|integration_count|data_classification|modernization_state|evidence_id
apex-retail,F06,datasets/apex-retail-synthetic-v4/family-2-technology-estate/F06_system-function-mapping.csv,92,mapping_id|application_id|capability_id|support_type|process_area|user_count|module
apex-retail,F09,datasets/apex-retail-synthetic-v4/family-3-data-connectivity/F09_data-analytics-estate.csv,125,data_product_id|data_product_name|domain|owner_team|refresh_cadence|data_classification|maturity|known_gap
apex-retail,F10,datasets/apex-retail-synthetic-v4/family-3-data-connectivity/F10_integrations-interfaces.csv,260,integration_id|source_system|target_system|interface_type|protocol_or_standard|cadence|data_domain|avg_daily_volume|latency_sla_minutes|failure_rate_30d_pct|owning_team|control_gap|evidence_id
apex-retail,F11,datasets/apex-retail-synthetic-v4/family-4-financial-commercial/F11_vendors-contracts-licenses.csv,100,vendor_id|vendor_name|category|annual_spend_usd|contract_end_date|renewal_risk|business_owner|technology_owner|evidence_id
apex-retail,F12,datasets/apex-retail-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,10,budget_line_id|function_or_platform|run_budget_usd|change_budget_usd|ai_budget_usd|owner_role|notes
apex-retail,F13,datasets/apex-retail-synthetic-v4/family-5-execution-operations/F13_initiatives-portfolio.csv,75,initiative_id|initiative_name|business_area|owner_role|stage|promised_benefit_usd|measured_value_usd|value_confidence|status|primary_blocker|evidence_id
apex-retail,F17,datasets/apex-retail-synthetic-v4/family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,14,ai_asset_id|asset_name|business_area|owner_role|tool_or_model|risk_tier|approval_status|monthly_users|evidence_id
apex-retail,F19,datasets/apex-retail-synthetic-v4/family-8-semantic-enrichment/F19_team-application-ownership.csv,170,tenant_key|application_id|application_name|business_domain|business_owner_role|owning_team_id|owning_team_name|executive_owner_role|technical_owner_role|source_basis|source_files|confidence|caveat
apex-retail,F20,datasets/apex-retail-synthetic-v4/family-8-semantic-enrichment/F20_capability-system-dependency.csv,92,tenant_key|dependency_id|capability_id|capability_name|system_id|system_name|support_level|criticality|evidence_basis|confidence|caveat
apex-retail,F21,datasets/apex-retail-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,125,tenant_key|data_product_id|data_product_name|platform|source_system_id|source_system_name|owner_role|trust_score|lineage_basis|confidence|caveat
apex-retail,F22,datasets/apex-retail-synthetic-v4/family-8-semantic-enrichment/F22_contract-system-service-map.csv,100,tenant_key|map_id|vendor_id|vendor_name|contract_or_scope|annual_value_usd|renewal_date|supported_system_id|supported_system_name|owner_role|source_basis|confidence|caveat
