tenantKey,relationshipId,sourceRowNumber,rawRelationshipType,normalizedRelationshipType,fromObjectType,fromObjectName,fromNodeId,toObjectType,toObjectName,toNodeId,evidenceBasis,confidence,knownGaps,quarantineReasons,quarantineClass,quarantineDisposition,disposition
skyharbor-air,REL-00565,566,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Okta Workforce Identity,skyharbor-air:application_system:okta-workforce-identity,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00570,571,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,CyberArk PAM,skyharbor-air:application_system:cyberark-pam,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00575,576,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Splunk Enterprise Security (SOC),skyharbor-air:application_system:splunk-enterprise-security-soc,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00580,581,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,CrowdStrike EDR/MDR,skyharbor-air:application_system:crowdstrike-edr-mdr,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00585,586,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Palo Alto Prisma Access / Firewall Fleet,skyharbor-air:application_system:palo-alto-prisma-access-firewall-fleet,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00590,591,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Vulnerability Management Platform,skyharbor-air:application_system:vulnerability-management-platform,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00594,595,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Data Loss Prevention (DLP) Platform,skyharbor-air:application_system:data-loss-prevention-dlp-platform,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00598,599,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Mobile Device Management (MDM),skyharbor-air:application_system:mobile-device-management-mdm,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00991,992,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Vulnerability Exception Approval Tracker,skyharbor-air:application_system:vulnerability-exception-approval-tracker,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-00995,996,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Third-Party Risk Questionnaire Tool,skyharbor-air:application_system:third-party-risk-questionnaire-tool,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
skyharbor-air,REL-02004,2005,technology_owned_by,TECHNOLOGY_OWNED_BY,application_system,Security Awareness Training Completion Log,skyharbor-air:application_system:security-awareness-training-completion-log,workforce_role,Cybersecurity & IT Risk,,"Derived from skyharbor-air enriched core dataset cross-references, 2026-07-31 generation run",medium,"Relationship edges are derived programmatically from the cross-references established across the other 20 dimension files in this delivery (system-to-function, system-to-owner, system-to-vendor, integration links, program/risk/metric linkage); not yet certified by a client workshop.",unresolved-to-node,dangling_reference,catalogue-object-from-real-evidence-or-correct-edge-type-never-create-node-to-satisfy-edge,quarantined-no-graph-materialization
