tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,start_date,end_date,pct_complete,stage_gate,blocked_reason,benefit_realization_start
meridian-health,STARS 5.0 Improvement Program,VP STARS & HEDIS Program Management,VP Finance Operations,"Deliver measurable health plan (work order #2258) & payer operations improvement (change record #50171) through STARS 5.0 Improvement (audit note #68391) Program, (review item #32066) sequenced against the current (review item #82262) portfolio's higher-priority items.",Health Plan & Payer (case #88972) Operations; (audit note #31718) Information Technology & Digital.,on_track,charter,STARS 5.0 Improvement Program (work order #18901) plans to bring the (ticket #39216) target process into full (review item #35542) audit-standard compliance by the (audit note #3231) next fiscal year kickoff.,STARS 5.0 Improvement Program (change record #54257) needs FY budget approval (audit note #3416) plus 3 staffing backfill (change record #76194) hire(s) before Q2 FY28.,STARS 5.0 Improvement Program (incident #2507) risks a data-quality gap (work order #83715) unless 2 known source-system (log entry #90147) issue(s) get fixed first.,16000000,20761312,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-03-01,2027-10-28,8,shaping,,2026-05-01
meridian-health,RAF Capture & Risk Adjustment Modernization,VP Risk Adjustment & RAF Programs,VP Risk Adjustment & RAF Programs,"Close the gap that (case #69547) RAF Capture & Risk (audit note #51484) Adjustment Modernization was chartered (incident #73660) to fix within Health (work order #43024) Plan & Payer Operations, (review item #27829) without disrupting adjacent live (change record #5312) workflows.",Health Plan & Payer (work order #18071) Operations; (log entry #37209) Information Technology & Digital.,on_track,execution,"RAF Capture & Risk (change record #64317) Adjustment Modernization targets a (log entry #39405) 2-measurement-year STARS trajectory gain, (audit note #8723) tracked by the STARS (incident #77854) Program Office.",RAF Capture & Risk (change record #28537) Adjustment Modernization needs the (change record #37376) the next contract renewal (audit note #64101) date Epic window and (incident #48879) affiliated-practice change-readiness to proceed.,RAF Capture & Risk (log entry #87248) Adjustment Modernization carries regulatory (log entry #57020) risk if CMS guidance (review item #47604) shifts before the vendor's (change record #3820) next release date.,38000000,56540001,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-06-01,2027-03-28,3,shaping,,2027-03-01
meridian-health,Epic Community Connect Expansion,VP Physician Network Operations,VP IT Service Management & Support,"Move Ambulatory & Physician (ticket #64515) Network Operations forward on (ticket #17818) the specific problem Epic (review item #20282) Community Connect Expansion targets, (work order #70673) with a named executive (review item #5150) sponsor accountable for outcomes.",Ambulatory & Physician Network (case #24963) Operations; Clinical Informatics.,at_risk,stabilization,Epic Community Connect Expansion (case #6489) targets a 19-point lift (audit note #74249) in MyChart activation among (incident #92764) MA members.,"Epic Community Connect Expansion (review item #80162) needs vendor onboarding, (work order #14058) expected the next annual (ticket #36447) budget cycle, (log entry #57414) plus a contract-amendment sign-off.",Epic Community Connect Expansion (ticket #64382) could slip 1 months (incident #63500) if CMS window constraints (incident #19981) tighten before Q3 FY27.,18000000,25050584,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-06-01,2027-05-28,1,shaping,Funding approved for year one only; year two is unconfirmed.,2026-02-01
meridian-health,Legacy Cerner Decommission — St. Anselm,VP Clinical Informatics,VP Actuarial Services,Stand up Legacy Cerner (change record #10679) Decommission — St. (case #98226) Anselm as the vehicle (work order #35663) for resolving a documented (log entry #62297) clinical informatics shortfall this (audit note #50638) fiscal year.,Clinical Informatics; Clinical Informatics.,on_track,stabilization,Legacy Cerner Decommission — (review item #27796) St. (log entry #55518) Anselm targets a 17% (work order #62112) cut in interface count (case #79991) by consolidating point-to-point feeds.,Legacy Cerner Decommission — (incident #41560) St. (case #18713) Anselm needs FY budget (work order #59072) approval plus 3 staffing (ticket #38174) backfill hire(s) before the (log entry #30129) next fiscal year kickoff.,Legacy Cerner Decommission — (ticket #99457) St. (log entry #91916) Anselm has a key-person (work order #53886) dependency on 2 named (audit note #74550) subject-matter expert(s).,40000000,51173844,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-12-01,2028-03-28,10,shaping,,2027-08-01
meridian-health,SQL Server Sprawl Rationalization & Databricks Lakehouse Evaluation,VP Data & AI Platforms,VP Epic Applications,"Move Data Analytics & (work order #76657) AI forward on the (incident #3198) specific problem SQL Server (work order #90826) Sprawl Rationalization & Databricks (audit note #75508) Lakehouse Evaluation targets, (review item #88634) with a named executive (work order #41370) sponsor accountable for outcomes.",Data Analytics & AI; (audit note #88095) Clinical Informatics.,on_track,planning,SQL Server Sprawl Rationalization (ticket #53956) & Databricks Lakehouse Evaluation (audit note #58581) targets retiring at least (audit note #44672) 3 redundant point solution(s) (review item #27800) once it lands.,SQL Server Sprawl Rationalization (case #96644) & Databricks Lakehouse Evaluation (log entry #86318) needs facilities or network (change record #57647) capacity confirmed at 1 (log entry #36776) site(s) by the next (case #33672) Epic upgrade window.,SQL Server Sprawl Rationalization (audit note #63765) & Databricks Lakehouse Evaluation (review item #3420) has a key-person dependency (work order #36850) on 2 named subject-matter (incident #97154) expert(s).,3000000,2107333,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-08-01,2026-12-28,12,shaping,,2026-04-01
meridian-health,AI Use-Case Governance & Evaluation Roadmap,VP Data & AI Platforms,VP Epic Applications,"Move Data Analytics & (case #17272) AI forward on the (audit note #36572) specific problem AI Use-Case (case #13198) Governance & Evaluation Roadmap (log entry #42690) targets, (audit note #29839) with a named executive (change record #6765) sponsor accountable for outcomes.",Data Analytics & AI; (ticket #44887) Data Analytics & AI.,on_track,execution,AI Use-Case Governance & (work order #33958) Evaluation Roadmap plans to (log entry #1162) bring the target process (review item #75509) into full audit-standard compliance (review item #67001) by whenever staffing frees (log entry #58782) up.,AI Use-Case Governance & (review item #46298) Evaluation Roadmap needs facilities (change record #19085) or network capacity confirmed (incident #29161) at 2 site(s) by (ticket #96841) the next fiscal year (change record #56997) kickoff.,AI Use-Case Governance & (case #32828) Evaluation Roadmap carries integration (incident #89148) risk if the upstream (case #76771) roadmap slips past the (review item #14926) next scheduled maintenance window.,14000000,18995332,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-08-01,2026-04-28,2,shaping,,2026-11-01
meridian-health,Revenue Cycle Denials AI Program,SVP Revenue Cycle,VP Enterprise Architecture,Stand up Revenue Cycle (ticket #50888) Denials AI Program as (review item #33960) the vehicle for resolving (log entry #32193) a documented revenue cycle (audit note #94800) shortfall this fiscal year.,Revenue Cycle; (incident #70493) Data Analytics & AI.,on_track,stabilization,Revenue Cycle Denials AI (ticket #29894) Program targets a 13-point (audit note #80804) lift in MyChart activation (log entry #9135) among MA members.,"Revenue Cycle Denials AI (log entry #35263) Program needs ServiceNow CMDB (review item #7169) data-quality remediation done, (audit note #62719) not yet scheduled.",Revenue Cycle Denials AI (change record #6581) Program faces change resistance (work order #84771) from an estimated 29% (ticket #4339) of the 1 affected (audit note #50120) teams.,10000000,14977875,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-11-01,2027-02-28,5,shaping,,2027-05-01
meridian-health,CAHPS Experience Improvement Initiative,VP Quality & Regulatory Affairs,VP Population Health & Care Management,"Close the gap that (change record #6474) CAHPS Experience Improvement Initiative (ticket #57541) was chartered to fix (audit note #76016) within Quality & Regulatory (incident #22184) Affairs, (ticket #71358) without disrupting adjacent live (incident #19456) workflows.",Quality & Regulatory Affairs; (incident #98807) Clinical Informatics.,at_risk,execution,CAHPS Experience Improvement Initiative (incident #32677) targets 78% self-service adoption (review item #69747) among the affected user (case #20976) population.,CAHPS Experience Improvement Initiative (log entry #75968) needs FY budget approval (change record #49562) plus 3 staffing backfill (audit note #70597) hire(s) before the vendor's (change record #59920) next release date.,CAHPS Experience Improvement Initiative (case #80421) carries regulatory risk if (log entry #93809) CMS guidance shifts before (case #32199) the next Epic upgrade (work order #58817) window.,29000000,35187901,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-01-01,2027-04-28,8,shaping,Key supplier resource unavailable until the next contract period.,2026-12-01
meridian-health,Interface Engine Consolidation (Bridges/Rhapsody),"Director, Interface Engineering & Integration",VP Compliance,"Deliver measurable information technology (change record #33949) & digital improvement through (log entry #44642) Interface Engine Consolidation (Bridges/Rhapsody), (change record #46282) sequenced against the current (audit note #41919) portfolio's higher-priority items.",Information Technology & Digital; (change record #39066) Data Analytics & AI.,at_risk,discovery,Interface Engine Consolidation (Bridges/Rhapsody) (work order #8740) aims to automate 50% (case #8624) of manual RAF chart-review (incident #13132) volume via triage.,Interface Engine Consolidation (Bridges/Rhapsody) (audit note #31508) needs facilities or network (review item #39709) capacity confirmed at 1 (work order #35643) site(s) by the next (audit note #60599) major version upgrade.,Interface Engine Consolidation (Bridges/Rhapsody) (audit note #80594) could slip 2 months (case #51982) if CMS window constraints (change record #3209) tighten before Q1 FY28.,13000000,10577431,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-08-01,2027-12-28,12,shaping,Dependency on a platform migration that has slipped two quarters.,2026-10-01
meridian-health,MyChart Digital Front Door Expansion,VP Member Services & Patient Experience,VP Population Health & Care Management,"Move Member Services & (incident #70876) Patient Experience forward on (work order #26539) the specific problem MyChart (work order #83538) Digital Front Door Expansion (audit note #53208) targets, (review item #1460) with a named executive (case #49770) sponsor accountable for outcomes.",Member Services & Patient (review item #36414) Experience; Clinical Informatics.,on_track,planning,MyChart Digital Front Door (incident #39875) Expansion targets retiring at (work order #42042) least 3 redundant point (case #70807) solution(s) once it lands.,MyChart Digital Front Door (review item #19349) Expansion needs the Q1 (case #61186) FY28 Epic window and (review item #84051) affiliated-practice change-readiness to proceed.,MyChart Digital Front Door (work order #43009) Expansion has a key-person (ticket #79307) dependency on 2 named (audit note #34419) subject-matter expert(s).,22000000,24497302,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-05-01,2026-10-28,9,shaping,,2026-09-01
