tenant_key,entity_id,entity_name,entity_short_name,entity_scope,parent_entity_id,parent_entity_name,bridge_id,function_ref,dependency_type,object_ref,role_in_function,criticality_to_function,primary_secondary,process_supported,data_exchanged,evidence_ref,data_provider_name,data_provider_role,source_artifact_type,source_artifact_name,capture_method,extraction_method,generated_by,validated_by,source_validation_status,source_as_of_date,known_gaps
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-001,SHA-MOVE-001,SUPPORTS,SHA-SYS-OCC,OCC disruption management console supports IROPS AI recovery cockpit,medium,primary,OCC disruption management console supports IROPS AI recovery cockpit,OCC disruption management console supports IROPS AI recovery cockpit,SHA-REL-0001,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-002,SHA-MOVE-001,SUPPORTS,SHA-SYS-FLIGHTOPS,Flight operations dispatch platform supports IROPS AI recovery cockpit,medium,secondary,Flight operations dispatch platform supports IROPS AI recovery cockpit,Flight operations dispatch platform supports IROPS AI recovery cockpit,SHA-REL-0002,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-003,SHA-MOVE-001,SUPPORTS,SHA-SYS-CREW,Crew scheduling and legality platform supports IROPS AI recovery cockpit,medium,secondary,Crew scheduling and legality platform supports IROPS AI recovery cockpit,Crew scheduling and legality platform supports IROPS AI recovery cockpit,SHA-REL-0003,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-004,SHA-MOVE-001,SUPPORTS,SHA-SYS-PSS,Passenger service system supports IROPS AI recovery cockpit,medium,primary,Passenger service system supports IROPS AI recovery cockpit,Passenger service system supports IROPS AI recovery cockpit,SHA-REL-0004,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-005,SHA-MOVE-001,SUPPORTS,SHA-SYS-DATA,Airline operations data lake candidate supports IROPS AI recovery cockpit,medium,secondary,Airline operations data lake candidate supports IROPS AI recovery cockpit,Airline operations data lake candidate supports IROPS AI recovery cockpit,SHA-REL-0005,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-006,SHA-MOVE-001,BLOCKS,SHA-RISK-01-01,No approved disruption recovery baseline,medium,secondary,No approved disruption recovery baseline,No approved disruption recovery baseline,SHA-REL-0006,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-007,SHA-MOVE-001,BLOCKS,SHA-RISK-01-02,No certified operational event spine,medium,primary,No certified operational event spine,No certified operational event spine,SHA-REL-0007,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-008,SHA-MOVE-001,BLOCKS,SHA-RISK-01-03,Crew legality control evidence not loaded,medium,secondary,Crew legality control evidence not loaded,Crew legality control evidence not loaded,SHA-REL-0008,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-009,SHA-MOVE-001,BLOCKS,SHA-RISK-01-04,Customer reaccommodation SLA not validated,medium,secondary,Customer reaccommodation SLA not validated,Customer reaccommodation SLA not validated,SHA-REL-0009,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
skyharbor-air,SHA-AIR,SkyHarbor Air,SkyHarbor,enterprise,,,SHA-BRIDGE-010,SHA-MOVE-002,SUPPORTS,SHA-SYS-CREW,Crew scheduling and legality platform supports Crew recovery decision support,medium,primary,Crew scheduling and legality platform supports Crew recovery decision support,Crew scheduling and legality platform supports Crew recovery decision support,SHA-REL-0010,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,skyharbor-air-v6-v7-upgrade-candidate-20260710,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-10,"Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded."
