source_id,risk_id,initiative_id,dimension,severity,status,risk_description,owner_role,required_action,governance_gate,evidence_state
src-risk,FCF-REG-001,,OCC,high,open,Remediate core data-lineage MRA,CIO,"lineage attestation, accountable owner signoff, and control testing",partial,review_required
src-risk,FCF-REG-002,,FinCEN/OCC,high,open,BSA AML case management remediation,CRO,"case quality sample, alert tuning evidence, staffing model, and escalation history",partial,review_required
src-risk,FCF-REG-003,,Federal Reserve,high,open,SR 11-7 model-risk management for AI-assisted decisions,CRO,"model inventory, independent validation, monitoring, and use limitation evidence",partial,review_required
src-risk,FCF-REG-004,,Federal banking regulators,high,open,GLBA safeguarding of customer information,CIO,"access review, encryption control, vendor control, and incident response evidence",partial,review_required
src-risk,FCF-REG-005,,FFIEC,high,open,Operational resilience for critical payments,CIO,"resilience tier, RTO/RPO test, failover evidence, and dependency map",partial,review_required
src-risk,FCF-REG-006,,OCC,high,open,Third-party risk concentration management,CIO,"exit plan, concentration analysis, contract term review, and board reporting",partial,review_required
src-risk,FCF-REG-007,,CFPB,medium,open,Digital account-opening adverse-action traceability,CIO,"decision reason code audit, customer notice sample, and KYC workflow trace",partial,review_required
src-risk,FCF-REG-008,,FINRA,medium,open,Wealth advisor supervision and client note retention,CIO,"supervision review, retention policy, exception report, and surveillance evidence",partial,review_required
src-risk,FCF-REG-009,,SEC,medium,open,Books and records retention for investment advisory workflows,CIO,"retention configuration, legal hold evidence, and archival retrieval test",partial,review_required
src-risk,FCF-REG-010,,PCI DSS,medium,open,Card payment data protection,CIO,"segmentation evidence, tokenization control, quarterly scan, and remediation log",partial,review_required
src-risk,FCF-REG-011,,SOX,medium,open,Finance close and access controls,CIO,"ITGC control evidence, access recertification, batch reconciliation, and change approval",partial,review_required
src-risk,FCF-REG-012,,NYDFS,medium,open,Cybersecurity program and incident reporting,CIO,"monitoring coverage, incident drill, vulnerability remediation, and board attestation",partial,review_required
src-risk,FCF-REG-013,,OCC,high,open,Quarterly access recertification for regulated platform,CIO,"owner attestation, exception list, sampled evidence, and remediation owner",partial,review_required
src-risk,FCF-REG-014,,FFIEC,high,open,Evidence retention for critical change window,CIO,"change ticket, rollback evidence, testing signoff, and production validation",partial,review_required
src-risk,FCF-REG-015,,Federal Reserve,high,open,Vendor due-diligence refresh and AI data-use attestation,CIO,"contract clause, security review, data-flow boundary, and exit readiness evidence",partial,review_required
src-risk,FCF-REG-016,,CFPB,medium,open,Customer-impact incident postmortem and remediation proof,CIO,"timeline, impact assessment, root cause, corrective action, and control validation",partial,review_required
src-risk,FCF-REG-017,,FinCEN,high,open,Data-quality control attestation for executive/regulatory report,CIO,"lineage extract, reconciliation sample, data steward signoff, and issue register",partial,review_required
src-risk,FCF-REG-018,,Internal Audit,medium,open,Operational resilience dependency review,CIO,"dependency map, DR test, RTO/RPO evidence, and unresolved risk acceptance",partial,review_required
src-risk,FCF-REG-019,,OCC,high,open,Quarterly access recertification for regulated platform,CIO,"owner attestation, exception list, sampled evidence, and remediation owner",partial,review_required
src-risk,FCF-REG-020,,FFIEC,high,open,Evidence retention for critical change window,CIO,"change ticket, rollback evidence, testing signoff, and production validation",partial,review_required
src-risk,FCF-REG-021,,Federal Reserve,high,open,Vendor due-diligence refresh and AI data-use attestation,CIO,"contract clause, security review, data-flow boundary, and exit readiness evidence",partial,review_required
src-risk,FCF-REG-022,,CFPB,medium,open,Customer-impact incident postmortem and remediation proof,CIO,"timeline, impact assessment, root cause, corrective action, and control validation",partial,review_required
src-risk,FCF-REG-023,,FinCEN,high,open,Data-quality control attestation for executive/regulatory report,CIO,"lineage extract, reconciliation sample, data steward signoff, and issue register",partial,review_required
src-risk,FCF-REG-024,,Internal Audit,medium,open,Operational resilience dependency review,CIO,"dependency map, DR test, RTO/RPO evidence, and unresolved risk acceptance",partial,review_required
src-risk,FCF-REG-025,,OCC,high,open,Quarterly access recertification for regulated platform,CIO,"owner attestation, exception list, sampled evidence, and remediation owner",partial,review_required
src-risk,FCF-REG-026,,FFIEC,high,open,Evidence retention for critical change window,CIO,"change ticket, rollback evidence, testing signoff, and production validation",partial,review_required
src-risk,FCF-REG-027,,Federal Reserve,high,open,Vendor due-diligence refresh and AI data-use attestation,CIO,"contract clause, security review, data-flow boundary, and exit readiness evidence",partial,review_required
src-risk,FCF-REG-028,,CFPB,medium,open,Customer-impact incident postmortem and remediation proof,CIO,"timeline, impact assessment, root cause, corrective action, and control validation",partial,review_required
src-risk,FCF-REG-029,,FinCEN,high,open,Data-quality control attestation for executive/regulatory report,CIO,"lineage extract, reconciliation sample, data steward signoff, and issue register",partial,review_required
src-risk,FCF-REG-030,,Internal Audit,medium,open,Operational resilience dependency review,CIO,"dependency map, DR test, RTO/RPO evidence, and unresolved risk acceptance",partial,review_required
src-risk,FCF-REG-031,,OCC,high,open,Quarterly access recertification for regulated platform,CIO,"owner attestation, exception list, sampled evidence, and remediation owner",partial,review_required
src-risk,FCF-REG-032,,FFIEC,high,open,Evidence retention for critical change window,CIO,"change ticket, rollback evidence, testing signoff, and production validation",partial,review_required
src-risk,FCF-REG-033,,Federal Reserve,high,open,Vendor due-diligence refresh and AI data-use attestation,CIO,"contract clause, security review, data-flow boundary, and exit readiness evidence",partial,review_required
src-risk,FCF-REG-034,,CFPB,medium,open,Customer-impact incident postmortem and remediation proof,CIO,"timeline, impact assessment, root cause, corrective action, and control validation",partial,review_required
src-risk,FCF-REG-035,,FinCEN,high,open,Data-quality control attestation for executive/regulatory report,CIO,"lineage extract, reconciliation sample, data steward signoff, and issue register",partial,review_required
src-risk,FCF-REG-036,,Internal Audit,medium,open,Operational resilience dependency review,CIO,"dependency map, DR test, RTO/RPO evidence, and unresolved risk acceptance",partial,review_required
src-risk,FCF-REG-037,,OCC,high,open,Quarterly access recertification for regulated platform,CIO,"owner attestation, exception list, sampled evidence, and remediation owner",partial,review_required
src-risk,FCF-REG-038,,FFIEC,high,open,Evidence retention for critical change window,CIO,"change ticket, rollback evidence, testing signoff, and production validation",partial,review_required
src-risk,FCF-REG-039,,Federal Reserve,high,open,Vendor due-diligence refresh and AI data-use attestation,CIO,"contract clause, security review, data-flow boundary, and exit readiness evidence",partial,review_required
src-risk,FCF-REG-040,,CFPB,medium,open,Customer-impact incident postmortem and remediation proof,CIO,"timeline, impact assessment, root cause, corrective action, and control validation",partial,review_required
src-portfolio,RISK-FCF-INIT-BRANCH-VISION-AI,FCF-INIT-BRANCH-VISION-AI,AI portfolio governance,high,Kill,KILL CANDIDATE: branch pilots show low teller adoption; privacy review unresolved; no verified branch throughput value.,SVP Retail Bank Ops,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",fail,review_required
src-portfolio,RISK-FCF-INIT-CONTACT-SENTIMENT-V1,FCF-INIT-CONTACT-SENTIMENT-V1,AI portfolio governance,high,Kill,KILL CANDIDATE: canned sentiment scores created coaching risk with no call-time reduction.,SVP Client Service,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",fail,review_required
src-portfolio,RISK-FCF-INIT-WEALTH-COPILOT-SHADOW,FCF-INIT-WEALTH-COPILOT-SHADOW,AI portfolio governance,high,Kill,KILL CANDIDATE: unapproved client-note data path and FINRA supervision gaps.,SVP Wealth Technology,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",fail,review_required
src-portfolio,RISK-FCF-INIT-FEDNOW-RTP-MODERNIZATION,FCF-INIT-FEDNOW-RTP-MODERNIZATION,AI portfolio governance,medium,Restructure,"RESTRUCTURE CANDIDATE: commercial-deposit value is real but core API, sanction screening and 24x7 ops gates are unresolved.",SVP Payments Technology,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",partial,review_required
src-portfolio,RISK-FCF-INIT-AML-TRIAGE-AI,FCF-INIT-AML-TRIAGE-AI,AI portfolio governance,medium,Restructure,"RESTRUCTURE CANDIDATE: case backlog value clear, but SR 11-7 validation evidence is incomplete.",Chief Risk Officer,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",partial,review_required
src-portfolio,RISK-FCF-INIT-CORE-BANKING-FUTURE,FCF-INIT-CORE-BANKING-FUTURE,AI portfolio governance,high,Hold,CONTESTED: CIO wants RFP now; Sentinel should hold until data migration and OCC remediation sequencing are resolved.,CIO,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",fail,review_required
src-portfolio,RISK-FCF-INIT-013,FCF-INIT-013,AI portfolio governance,medium,Restructure,Model inventory evidence automation is tied to Finance ERP and Procurement Systems with restructure posture and board/CXO evidence requirements.,CFO,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",partial,review_required
src-portfolio,RISK-FCF-INIT-018,FCF-INIT-018,AI portfolio governance,medium,Restructure,Debit-card disputes automation is tied to Open Banking and API Products with restructure posture and board/CXO evidence requirements.,Chief Product Officer,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",partial,review_required
src-portfolio,RISK-FCF-INIT-023,FCF-INIT-023,AI portfolio governance,medium,Restructure,"IAM privileged access cleanup is tied to ITSM, Observability and SRE with restructure posture and board/CXO evidence requirements.",VP Technology Service Mgmt,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",partial,review_required
src-portfolio,RISK-FCF-INIT-028,FCF-INIT-028,AI portfolio governance,medium,Restructure,Data retention and legal hold automation is tied to Digital Banking and Client Experience with restructure posture and board/CXO evidence requirements.,Chief Digital Officer,"Attach cited evidence, owner decision, and finance/control sign-off before scale or spend continuation.",partial,review_required
