tenant_key,scenario_as_of_date,contract_id,vendor,service_tower,process,period,location,owner,evidence_class,gate_state,opportunity_type,contract_value_usd,run_rate_baseline_usd,invoice_amount_usd,sla_credit_usd,process_volume,backlog,cycle_time_days,quality_rate,rework_rate,transition_cost_usd,retained_cost_usd,vendor_cost_usd,forecast_value_usd,finance_confirmed_value_usd,blocked_allowed_flag,block_reason
meridian-health,2027-06-30,MER-CTR-RCM-001,NorthBridge RCM Services LLC,claims intake,claims intake,2027-Q2,Denver service center,Revenue Cycle Operations Lead,contract_and_pricing,allowed,recovery,18600000,21480000,796312.5,12916.66,12000,420,4.8,0.97,0.05,465000,1288800,18600000,732916.66,420000,allowed,
meridian-health,2027-06-30,MER-CTR-RCM-001,NorthBridge RCM Services LLC,denial management,denial management,2027-Q2,remote US operations,Finance Transformation Controller,operations_and_sla,allowed,performance_credit,18600000,21480000,796312.5,6458.33,13700,475,5.5,0.96,0.06,465000,1288800,18600000,726458.33,420000,allowed,
meridian-health,2027-06-30,MER-CTR-RCM-001,NorthBridge RCM Services LLC,payment posting,payment posting,2027-Q2,offshore analytics pod,Revenue Cycle Operations Lead,transition_and_controls,allowed,transition_control,18600000,21480000,768025,6458.33,15400,530,6.2,0.95,0.07,465000,1288800,18600000,726458.33,420000,allowed,
meridian-health,2027-06-30,MER-CTR-RCM-001,NorthBridge RCM Services LLC,patient billing,patient billing,2027-Q2,Denver service center,Finance Transformation Controller,finance_and_value,allowed,finance_realization,18600000,21480000,768025,0,17100,585,6.9,0.95,0.07,465000,1288800,18600000,720000,420000,allowed,
meridian-health,2027-06-30,MER-CTR-HR-BPO-001,PeopleBridge Operations Inc.,payroll cases,payroll cases,2027-Q2,US HR service center,HR Shared Services Director,contract_and_pricing,blocked,recovery,12400000,15150000,530875,8611.12,12000,420,4.8,0.97,0.05,310000,909000,12400000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-HR-BPO-001,PeopleBridge Operations Inc.,benefits administration,benefits administration,2027-Q2,Manila HR case pod,HR Finance Partner,operations_and_sla,blocked,performance_credit,12400000,15150000,530875,4305.56,13700,475,5.5,0.96,0.06,310000,909000,12400000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-HR-BPO-001,PeopleBridge Operations Inc.,onboarding,onboarding,2027-Q2,retained HR COE,HR Shared Services Director,transition_and_controls,blocked,transition_control,12400000,15150000,512016.66,4305.56,15400,530,6.2,0.95,0.07,310000,909000,12400000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-HR-BPO-001,PeopleBridge Operations Inc.,offboarding,offboarding,2027-Q2,US HR service center,HR Finance Partner,finance_and_value,blocked,finance_realization,12400000,15150000,512016.66,0,17100,585,6.9,0.95,0.07,310000,909000,12400000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-FIN-BPO-001,LedgerWorks Managed Finance Ltd.,accounts payable,accounts payable,2027-Q2,Denver finance hub,Accounting Operations Director,contract_and_pricing,blocked,recovery,14200000,16900000,607937.5,9861.12,12000,420,4.8,0.97,0.05,355000,1014000,14200000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-FIN-BPO-001,LedgerWorks Managed Finance Ltd.,month-end close,month-end close,2027-Q2,nearshore finance center,FP&A Shared Services Lead,operations_and_sla,blocked,performance_credit,14200000,16900000,607937.5,4930.56,13700,475,5.5,0.96,0.06,355000,1014000,14200000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-FIN-BPO-001,LedgerWorks Managed Finance Ltd.,reconciliations,reconciliations,2027-Q2,retained controller team,Accounting Operations Director,transition_and_controls,blocked,transition_control,14200000,16900000,586341.66,4930.56,15400,530,6.2,0.95,0.07,355000,1014000,14200000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-FIN-BPO-001,LedgerWorks Managed Finance Ltd.,management reporting,management reporting,2027-Q2,Denver finance hub,FP&A Shared Services Lead,finance_and_value,blocked,finance_realization,14200000,16900000,586341.66,0,17100,585,6.9,0.95,0.07,355000,1014000,14200000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-SC-BPO-001,ProcureHealth Services LLC,requisitions,requisitions,2027-Q2,hospital supply desk,Procure-to-Pay Operations Lead,contract_and_pricing,blocked,recovery,9900000,11880000,423843.75,6875,12000,420,4.8,0.97,0.05,247500,712800,9900000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-SC-BPO-001,ProcureHealth Services LLC,PO conversion,PO conversion,2027-Q2,P2P command center,Supply Chain Finance Lead,operations_and_sla,blocked,performance_credit,9900000,11880000,423843.75,3437.5,13700,475,5.5,0.96,0.06,247500,712800,9900000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-SC-BPO-001,ProcureHealth Services LLC,invoice exceptions,invoice exceptions,2027-Q2,retained sourcing desk,Procure-to-Pay Operations Lead,transition_and_controls,blocked,transition_control,9900000,11880000,408787.5,3437.5,15400,530,6.2,0.95,0.07,247500,712800,9900000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-SC-BPO-001,ProcureHealth Services LLC,vendor master,vendor master,2027-Q2,hospital supply desk,Supply Chain Finance Lead,finance_and_value,blocked,finance_realization,9900000,11880000,408787.5,0,17100,585,6.9,0.95,0.07,247500,712800,9900000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-SSO-BPO-001,Helix Shared Services Group,cross-process governance,cross-process governance,2027-Q2,Denver retained hub,Shared Services Transition Lead,contract_and_pricing,blocked,recovery,24800000,31400000,1061750,17222.22,12000,420,4.8,0.97,0.05,620000,1884000,24800000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-SSO-BPO-001,Helix Shared Services Group,labor transition,labor transition,2027-Q2,transition war room,Enterprise Finance PMO,operations_and_sla,blocked,performance_credit,24800000,31400000,1061750,8611.11,13700,475,5.5,0.96,0.06,620000,1884000,24800000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-SSO-BPO-001,Helix Shared Services Group,knowledge transfer,knowledge transfer,2027-Q2,supplier delivery network,Shared Services Transition Lead,transition_and_controls,blocked,transition_control,24800000,31400000,1024033.34,8611.11,15400,530,6.2,0.95,0.07,620000,1884000,24800000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
meridian-health,2027-06-30,MER-CTR-SSO-BPO-001,Helix Shared Services Group,exit readiness,exit readiness,2027-Q2,Denver retained hub,Enterprise Finance PMO,finance_and_value,blocked,finance_realization,24800000,31400000,1024033.34,0,17100,585,6.9,0.95,0.07,620000,1884000,24800000,0,0,blocked,Unresolved fact/control/transition conflict blocks action and value claim.
