node_id,name,tenant_key
N0001,Executive Office Workflow Platform,harbortrust-bank
N0002,Executive Office,harbortrust-bank
N0003,Chief Strategy Officer,harbortrust-bank
N0004,Executive Office Operational Dataset,harbortrust-bank
N0005,Executive Office Analytics Mart,harbortrust-bank
N0006,Executive Office Reporting Workspace,harbortrust-bank
N0007,Executive Office Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0008,Primary Northeast Data Center,harbortrust-bank
N0009,Snowflake / Databricks Cloud Data Platform,harbortrust-bank
N0010,Enterprise Strategy governance council,harbortrust-bank
N0011,Enterprise profile and corporate priorities modernization and readiness program,harbortrust-bank
N0012,Executive Office Analyst / Steward,harbortrust-bank
N0013,ServiceNow,harbortrust-bank
N0014,Executive Office cycle time,harbortrust-bank
N0015,Executive Office data lineage and definition risk,harbortrust-bank
N0016,FIS Core Banking Platform,harbortrust-bank
N0017,Retail Deposits and Branch Operations,harbortrust-bank
N0018,Retail Banking COO,harbortrust-bank
N0019,Retail Deposits Branch Operations Operational Dataset,harbortrust-bank
N0020,Branch Teller Platform,harbortrust-bank
N0021,Retail Deposits Branch Operations Analytics Mart,harbortrust-bank
N0022,Digital Banking Servicing Portal,harbortrust-bank
N0023,Retail Deposits and Branch Operations Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0024,Retail Banking governance council,harbortrust-bank
N0025,Retail banking modernization and readiness program,harbortrust-bank
N0026,Retail Deposits and Branch Operations Analyst / Steward,harbortrust-bank
N0027,FIS,harbortrust-bank
N0028,Retail Deposits and Branch Operations cycle time,harbortrust-bank
N0029,Retail Deposits and Branch Operations data lineage and definition risk,harbortrust-bank
N0030,Commercial Lending and Treasury Workflow Platform,harbortrust-bank
N0031,Commercial Lending and Treasury,harbortrust-bank
N0032,Commercial Banking COO,harbortrust-bank
N0033,Commercial Lending Treasury Operational Dataset,harbortrust-bank
N0034,Commercial Lending and Treasury Analytics Mart,harbortrust-bank
N0035,Commercial Lending Treasury Analytics Mart,harbortrust-bank
N0036,Commercial Lending and Treasury Reporting Workspace,harbortrust-bank
N0037,Commercial Lending and Treasury Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0038,Commercial Banking governance council,harbortrust-bank
N0039,Commercial banking modernization and readiness program,harbortrust-bank
N0040,Commercial Lending and Treasury Analyst / Steward,harbortrust-bank
N0041,Azure,harbortrust-bank
N0042,Commercial Lending and Treasury cycle time,harbortrust-bank
N0043,Commercial Lending and Treasury data lineage and definition risk,harbortrust-bank
N0044,Cards Operations Workflow Platform,harbortrust-bank
N0045,Cards Operations,harbortrust-bank
N0046,Head of Cards,harbortrust-bank
N0047,Cards Operations Operational Dataset,harbortrust-bank
N0048,Cards Operations Analytics Mart,harbortrust-bank
N0049,Cards Operations Reporting Workspace,harbortrust-bank
N0050,Cards Operations Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0051,Cards and Consumer Lending governance council,harbortrust-bank
N0052,Cards modernization and readiness program,harbortrust-bank
N0053,Cards Operations Analyst / Steward,harbortrust-bank
N0054,Cards Operations cycle time,harbortrust-bank
N0055,Cards Operations data lineage and definition risk,harbortrust-bank
N0056,Payments Hub,harbortrust-bank
N0057,Payments Operations,harbortrust-bank
N0058,Payments Leader,harbortrust-bank
N0059,Payments Operations Operational Dataset,harbortrust-bank
N0060,ACH Wire Gateway,harbortrust-bank
N0061,Payments Operations Analytics Mart,harbortrust-bank
N0062,Real-Time Payments Adapter,harbortrust-bank
N0063,Payments Operations Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0064,Payments governance council,harbortrust-bank
N0065,Payments modernization and readiness program,harbortrust-bank
N0066,Payments Operations Analyst / Steward,harbortrust-bank
N0067,Informatica,harbortrust-bank
N0068,Payments Operations cycle time,harbortrust-bank
N0069,Payments Operations data lineage and definition risk,harbortrust-bank
N0070,Consumer Lending Operations Workflow Platform,harbortrust-bank
N0071,Consumer Lending Operations,harbortrust-bank
N0072,Head of Consumer Lending,harbortrust-bank
N0073,Consumer Lending Operations Operational Dataset,harbortrust-bank
N0074,Consumer Lending Operations Analytics Mart,harbortrust-bank
N0075,Consumer Lending Operations Reporting Workspace,harbortrust-bank
N0076,Consumer Lending Operations Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0077,Consumer Lending governance council,harbortrust-bank
N0078,Lending modernization and readiness program,harbortrust-bank
N0079,Consumer Lending Operations Analyst / Steward,harbortrust-bank
N0080,NICE,harbortrust-bank
N0081,Consumer Lending Operations cycle time,harbortrust-bank
N0082,Consumer Lending Operations data lineage and definition risk,harbortrust-bank
N0083,Wealth Advisory and Brokerage Workflow Platform,harbortrust-bank
N0084,Wealth Advisory and Brokerage,harbortrust-bank
N0085,Head of Wealth,harbortrust-bank
N0086,Wealth Advisory Brokerage Operational Dataset,harbortrust-bank
N0087,Wealth Advisory and Brokerage Analytics Mart,harbortrust-bank
N0088,Wealth Advisory Brokerage Analytics Mart,harbortrust-bank
N0089,Wealth Advisory and Brokerage Reporting Workspace,harbortrust-bank
N0090,Wealth Advisory and Brokerage Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0091,Wealth Management governance council,harbortrust-bank
N0092,Wealth modernization and readiness program,harbortrust-bank
N0093,Wealth Advisory and Brokerage Analyst / Steward,harbortrust-bank
N0094,Wealth Advisory and Brokerage cycle time,harbortrust-bank
N0095,Wealth Advisory and Brokerage data lineage and definition risk,harbortrust-bank
N0096,Fraud Alert Platform,harbortrust-bank
N0097,Fraud and Risk Operations,harbortrust-bank
N0098,CRO,harbortrust-bank
N0099,Fraud Risk Operations Operational Dataset,harbortrust-bank
N0100,AML Transaction Monitoring,harbortrust-bank
N0101,Fraud Risk Operations Analytics Mart,harbortrust-bank
N0102,Fraud Case Management,harbortrust-bank
N0103,Fraud and Risk Operations Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0104,Enterprise Risk governance council,harbortrust-bank
N0105,Fraud / risk modernization and readiness program,harbortrust-bank
N0106,Fraud and Risk Operations Analyst / Steward,harbortrust-bank
N0107,Experian,harbortrust-bank
N0108,Fraud and Risk Operations cycle time,harbortrust-bank
N0109,Fraud and Risk Operations data lineage and definition risk,harbortrust-bank
N0110,Compliance and Model Risk Management Workflow Platform,harbortrust-bank
N0111,Compliance and Model Risk Management,harbortrust-bank
N0112,Chief Compliance Officer,harbortrust-bank
N0113,Compliance Model Risk Management Operational Dataset,harbortrust-bank
N0114,Compliance and Model Risk Management Analytics Mart,harbortrust-bank
N0115,Compliance Model Risk Management Analytics Mart,harbortrust-bank
N0116,Compliance and Model Risk Management Reporting Workspace,harbortrust-bank
N0117,Compliance and Model Risk Management Primary Northeast Data Center Hosting Segment,harbortrust-bank
N0118,Compliance and Model Risk governance council,harbortrust-bank
N0119,Compliance / model risk modernization and readiness program,harbortrust-bank
N0120,Compliance and Model Risk Management Analyst / Steward,harbortrust-bank
N0121,Databricks,harbortrust-bank
N0122,Compliance and Model Risk Management cycle time,harbortrust-bank
