vendor_id,vendor_name,annual_spend_usd,relationship_owner,strategic_importance,performance_score,risk_score,financial_health,recent_issues_count,renewal_date,relationship_status,exit_preparedness,notes
ven:apex:001,SAP,3140000,person:apex:diana-lopez,Critical,4,Low,Strong (public),0,2027-03-31,Stable strategic,Documented exit plan (5-year),"S/4HANA + Concur + Ariba; broad-based dependency"
ven:apex:002,Salesforce,3290000,person:apex:priya-iyer,Critical,4,Medium,Strong (public),2,2026-09-15,Stable strategic but renewal stress,Documented exit plan (per-system),"Sales + Service + Commerce + Tableau; renewal coming with Einstein scope debate"
ven:apex:003,AWS,4280000,person:apex:raj-patel,Critical,5,Low,Strong (public),0,2027-06-30,Strong partnership,Multi-cloud architecture mitigates,"EDP commit; phase 2 migration in progress"
ven:apex:004,Oracle,2400000,person:apex:diana-lopez,Critical,3,Medium,Strong (public),3,2027-06-30,Stable but aging dependency,Sunset path being designed,"POS + Merchandising; aging on-prem; future direction TBD"
ven:apex:005,Microsoft,2840000,person:apex:raj-patel,Critical,4,Low,Strong (public),1,2027-06-30,Stable strategic,Diversified across Azure + M365,"M365 + Azure + Power BI; Copilot deferred 2025"
ven:apex:006,Wipro,3800000,person:apex:diana-lopez,High (declining),3,Medium,Strong,5,Multi-year,Tense — 2023 history,Strong exit assistance language in current contract,"AMS spend declining; in BAFO for 2026 consolidation"
ven:apex:007,Snowflake,1320000,person:apex:james-wright,Critical,5,Low,Strong (public),0,2026-11-30,Strong strategic,Cloud architecture allows alternatives,"28% YoY spend growth; FinOps pressure"
ven:apex:008,Workday,1140000,person:apex:diana-lopez,Critical,4,Low,Strong (public),0,2026-12-31,Stable strategic,Documented switching cost (high),"Recently renewed"
ven:apex:009,Splunk,1120000,person:apex:kevin-harrison,Critical,3,Medium,Cisco acquisition,2,2026-08-31,Tense — alternatives evaluated,Migration to alternative possible,"Cost concern; Cisco implications; alternatives being evaluated"
ven:apex:010,NICE,820000,person:apex:priya-iyer,Critical (declining),3,Medium,Strong (public),3,2026-11-30,Aging — replacement considered,CC AI program may replace,"Voice + WFM; subject of CC AI replacement evaluation"
ven:apex:011,Klaviyo,420000,person:apex:priya-iyer,High,4,Medium,Private (well-capitalized),1,2026-08-15,Stable but classification gap,Migrate-out plan possible,"Compliance gap remediation in progress"
ven:apex:012,Okta,640000,person:apex:kevin-harrison,Critical,5,Low,Strong (public),0,2027-01-15,Strong strategic,Documented replacement path,"Workforce + customer identity; well-managed"
ven:apex:013,CrowdStrike,540000,person:apex:kevin-harrison,Critical,5,Low,Strong (public),0,2027-03-31,Strong,Documented switching cost,"Strong tool"
ven:apex:014,Zscaler,720000,person:apex:raj-patel,Critical,4,Low,Strong (public),1,2026-12-31,Stable strategic,Replacement viable,"Replaced legacy proxy 2024"
ven:apex:015,OneTrust,310000,person:apex:rebecca-singh,High,4,Medium,Private,0,2026-11-30,Stable,Documented exit,"DSR + privacy program"
ven:apex:016,ServiceNow,890000,person:apex:raj-patel,High,4,Low,Strong (public),1,2026-09-30,Stable strategic,Modular replacement viable,"ITSM only"
ven:apex:017,Coupa,440000,person:apex:nathan-kohl,High,4,Low,Strong (public),0,2027-03-31,Stable,Documented exit,"Procure-to-pay; performing well"
ven:apex:018,Cloudflare,240000,person:apex:priya-iyer,Critical,5,Low,Strong (public),0,2026-08-31,Strong strategic,CDN swappable,"Performing well"
ven:apex:019,Databricks,680000,person:apex:james-wright,High,5,Low,Strong (private; pre-IPO),0,2026-08-31,Strong strategic,Snowflake alternative,"Growing usage; AI platform decision pending"
ven:apex:020,Datadog,420000,person:apex:raj-patel,High,4,Low,Strong (public),1,2026-12-31,Stable but cost concern,Replaceable,"Cost growth"
ven:apex:021,Tealium,310000,person:apex:priya-iyer,Sunset,3,Low,Private,1,2026-08-15,Wind-down,N/A — replacement is the plan,"Will be replaced by CDP"
ven:apex:022,Adobe,510000,person:apex:priya-iyer,Medium (declining),3,Medium,Strong (public),2,2026-12-31,Reducing scope,"Adobe Analytics likely sunset","Target + Analytics; consolidation candidates"
ven:apex:023,Deloitte,1840000,person:apex:carlos-rivera,High (project-based),4,Low,Strong (private),0,Per engagement,Strong,N/A,"Multi-engagement; CDP implementation partner"
ven:apex:024,Pinecone,120000,person:apex:james-wright,Low (likely sunset),3,Medium,Private,0,2026-08-31,Pilot — likely sunset,pgvector alternative,"Vector DB; pgvector under evaluation"
ven:apex:025,OpenAI,180000,person:apex:elena-fischer,High,4,Low,Strong (private),0,Pay-as-you-go,Stable,Anthropic alternative,"LLM provider; growing usage"
ven:apex:026,Anthropic,140000,person:apex:elena-fischer,Medium,4,Low,Strong (private),0,Pay-as-you-go,Diversification,OpenAI alternative,"LLM provider; added 2025"
ven:apex:027,Five9,120000,person:apex:priya-iyer,Pilot — TBD,3,Medium,Strong (public),0,2026-12-31,Pilot decision,N/A — pilot,"CC AI pilot; alternative to NICE"
ven:apex:028,Sterling Commerce (IBM),180000,person:apex:raj-patel,Critical (legacy),2,High,Strong (public),3,2027-06-30,Stable but aging,Modernization deferred,"Legacy EDI; technical debt"
