tenant_key,canonical_approval_event_id,business_case_id,project_id,event_type,approval_state,approver_role,event_date,amount_usd,amount_basis,notes,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,APPROVAL:FIN-BC-MER-001-SPONSOR,BC-MER-001,PRJ-MER-004,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,2,AI Portfolio and Business Case Tracker,FIN-BC-MER-001-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-001-FINANCE,BC-MER-001,PRJ-MER-004,target_review,sponsor_claimed,IT Finance Business Partner,2026-08-01,0,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,3,Finance approval ledger,FIN-BC-MER-001-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-002-SPONSOR,BC-MER-002,PRJ-MER-005,sponsor_claim,sponsor_claimed,Chief Digital Officer,2026-06-15,60740197,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,4,AI Portfolio and Business Case Tracker,FIN-BC-MER-002-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-002-FINANCE,BC-MER-002,PRJ-MER-005,target_review,finance_challenged,IT Finance Business Partner,2026-08-01,50055476,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,5,Finance approval ledger,FIN-BC-MER-002-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-003-SPONSOR,BC-MER-003,PRJ-MER-006,sponsor_claim,sponsor_claimed,VP Enterprise Platforms,2026-06-15,65583033,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,6,AI Portfolio and Business Case Tracker,FIN-BC-MER-003-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-003-FINANCE,BC-MER-003,PRJ-MER-006,target_review,cfo_approved_target,IT Finance Business Partner,2026-08-15,51180318,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,7,Finance approval ledger,FIN-BC-MER-003-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-004-SPONSOR,BC-MER-004,PRJ-MER-007,sponsor_claim,sponsor_claimed,"President, Medical Group",2026-06-15,64527782,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,8,AI Portfolio and Business Case Tracker,FIN-BC-MER-004-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-004-FINANCE,BC-MER-004,PRJ-MER-007,target_review,not_submitted,IT Finance Business Partner,2026-08-01,47820856,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,9,Finance approval ledger,FIN-BC-MER-004-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-005-SPONSOR,BC-MER-005,PRJ-MER-008,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,10,AI Portfolio and Business Case Tracker,FIN-BC-MER-005-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-005-FINANCE,BC-MER-005,PRJ-MER-008,actual_validation,finance_validated_actual,IT Finance Business Partner,2026-08-01,0,finance_validated_actual_ytd,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,11,Finance approval ledger,FIN-BC-MER-005-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-006-SPONSOR,BC-MER-006,PRJ-MER-009,sponsor_claim,sponsor_claimed,SVP Member Services,2026-06-15,41923410,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,12,AI Portfolio and Business Case Tracker,FIN-BC-MER-006-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-006-FINANCE,BC-MER-006,PRJ-MER-009,target_review,sponsor_claimed,IT Finance Business Partner,2026-08-01,34548723,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,13,Finance approval ledger,FIN-BC-MER-006-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-007-SPONSOR,BC-MER-007,PRJ-MER-010,sponsor_claim,sponsor_claimed,VP Controller,2026-06-15,36652370,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,14,AI Portfolio and Business Case Tracker,FIN-BC-MER-007-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-007-FINANCE,BC-MER-007,PRJ-MER-010,target_review,finance_challenged,IT Finance Business Partner,2026-08-01,28603129,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,15,Finance approval ledger,FIN-BC-MER-007-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-008-SPONSOR,BC-MER-008,PRJ-MER-011,sponsor_claim,sponsor_claimed,CMIO,2026-06-15,47811407,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,16,AI Portfolio and Business Case Tracker,FIN-BC-MER-008-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-008-FINANCE,BC-MER-008,PRJ-MER-011,target_review,cfo_approved_target,IT Finance Business Partner,2026-08-15,35432528,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,17,Finance approval ledger,FIN-BC-MER-008-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-009-SPONSOR,BC-MER-009,PRJ-MER-012,sponsor_claim,sponsor_claimed,VP Corporate IT,2026-06-15,29543720,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,18,AI Portfolio and Business Case Tracker,FIN-BC-MER-009-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-009-FINANCE,BC-MER-009,PRJ-MER-012,target_review,not_submitted,IT Finance Business Partner,2026-08-01,25791024,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,19,Finance approval ledger,FIN-BC-MER-009-FINANCE,2026-08-24
