tenantKey,layer,artifactGroup,path,present,fileCount,csvFileCount,dataRowCount,truthEligibility,refreshableLocally,requiredGate,smeValidationRequired,status
meridian-health,Layer 1 — Client Intake,registry-declared active input package,datasets/tenant-inputs/active/meridian-health/current,yes,24,24,3887,active-declared-source-package,no — active root is a hard gate,active-root-replacement,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
meridian-health,Layer 1 — Client Intake,adjacent standard pack (parallel copy of the same dimensions),datasets/tenant-inputs/meridian-health/standard-2026-07-v3,yes,25,25,4111,duplicate-truth-candidate,no — classify and reconcile first,retirement-manifest,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
meridian-health,Layer 1 — Client Intake,governed intake draft package,datasets/tenant-inputs/meridian-health/v2026-08-governed-intake,yes,27,25,4979,draft-not-active,yes,none for drafts; registry activation is gated,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
meridian-health,Layer 1 — Client Intake,interview and questionnaire discovery channel,datasets/tenant-inputs/meridian-health/interviews,yes,1,1,221,source-signal-not-deterministic-truth,yes — as draft copies inside the governed package,none for drafts,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
meridian-health,Layer 1 — Client Intake,candidate pack,datasets/tenant-inputs/candidates/meridian-health,no,0,0,0,not-active,no — classify only,retirement-manifest,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
meridian-health,Layer 2 — Source Adapters,generated adapter output,datasets/tenant-inputs/generated/meridian-health,yes,53,13,1348,disposable-build-output,"yes — dry-run only, no active write",none for dry-run,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
meridian-health,Layer 3 — Canonical Model,derived canonical context artifacts,datasets/tenant-inputs/meridian-health/derived,yes,11,0,0,derived-output-rebuildable,yes — as draft summaries only,canonical-store-write,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
meridian-health,Layer 4 — Products,approved narrative/product content,datasets/tenant-inputs/meridian-health/approved-content,yes,5,0,0,product-projection,no — readiness reporting only,product-projection-refresh,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
skyharbor-air,Layer 1 — Client Intake,registry-declared active input package,datasets/tenant-inputs/active/skyharbor-air/current,yes,31,26,5789,active-declared-source-package,no — active root is a hard gate,active-root-replacement,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
skyharbor-air,Layer 1 — Client Intake,adjacent standard pack (parallel copy of the same dimensions),datasets/tenant-inputs/skyharbor-air/standard-2026-07-v3,no,0,0,0,duplicate-truth-candidate,no — classify and reconcile first,retirement-manifest,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
skyharbor-air,Layer 1 — Client Intake,governed intake draft package,datasets/tenant-inputs/skyharbor-air/v2026-08-governed-intake,yes,6,5,128,draft-not-active,yes,none for drafts; registry activation is gated,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
skyharbor-air,Layer 1 — Client Intake,interview and questionnaire discovery channel,datasets/tenant-inputs/skyharbor-air/interviews,yes,5,3,748,source-signal-not-deterministic-truth,yes — as draft copies inside the governed package,none for drafts,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
skyharbor-air,Layer 1 — Client Intake,candidate pack,datasets/tenant-inputs/candidates/skyharbor-air,yes,1,1,124,not-active,no — classify only,retirement-manifest,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
skyharbor-air,Layer 2 — Source Adapters,generated adapter output,datasets/tenant-inputs/generated/skyharbor-air,no,0,0,0,disposable-build-output,"yes — dry-run only, no active write",none for dry-run,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
skyharbor-air,Layer 3 — Canonical Model,derived canonical context artifacts,datasets/tenant-inputs/skyharbor-air/derived,yes,1,0,0,derived-output-rebuildable,yes — as draft summaries only,canonical-store-write,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
skyharbor-air,Layer 4 — Products,approved narrative/product content,datasets/tenant-inputs/skyharbor-air/approved-content,yes,2,0,0,product-projection,no — readiness reporting only,product-projection-refresh,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
