canonical_id,canonical_type,tenant_key,contract_id,source_record_id,linked_entity_type,linked_entity_id,review_state
LINK-0001,evidence,meridian-health,MER-CTR-RCM-001,CLM-MER-CTR-RCM-001,contract,MER-CTR-RCM-001,accepted
LINK-0002,evidence,meridian-health,MER-CTR-RCM-001,DOCINV-DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,document,DOC-MER-CTR-RCM-001-PRICING-EXHIBIT,accepted
LINK-0003,evidence,meridian-health,MER-CTR-RCM-001,CLAUSE-DOC-MER-CTR-RCM-001-SLA-SCHEDULE-01,document_clause,DOC-MER-CTR-RCM-001-SLA-SCHEDULE,accepted
LINK-0004,evidence,meridian-health,MER-CTR-RCM-001,PRICE-MER-CTR-RCM-001-1,pricing_line,PL-MER-CTR-RCM-001-1,accepted
LINK-0005,evidence,meridian-health,MER-CTR-RCM-001,AP-MER-CTR-RCM-001-2026-07-1,invoice_line,APLINE-MER-CTR-RCM-001-2026-07-1,accepted
LINK-0006,evidence,meridian-health,MER-CTR-RCM-001,SLA-MER-CTR-RCM-001-2026-07-cycle_time,sla_event,SLA-MER-CTR-RCM-001-2026-07-cycle_time,accepted
LINK-0007,evidence,meridian-health,MER-CTR-RCM-001,FIN-MER-CTR-RCM-001-2027-Q1,finance_period,FIN-MER-CTR-RCM-001-2027-Q1,accepted
LINK-0008,evidence,meridian-health,MER-CTR-HR-BPO-001,CLM-MER-CTR-HR-BPO-001,contract,MER-CTR-HR-BPO-001,accepted
LINK-0009,evidence,meridian-health,MER-CTR-HR-BPO-001,DOCINV-DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,document,DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,accepted
LINK-0010,evidence,meridian-health,MER-CTR-HR-BPO-001,CLAUSE-DOC-MER-CTR-HR-BPO-001-SLA-SCHEDULE-01,document_clause,DOC-MER-CTR-HR-BPO-001-SLA-SCHEDULE,accepted
LINK-0011,evidence,meridian-health,MER-CTR-HR-BPO-001,PRICE-MER-CTR-HR-BPO-001-1,pricing_line,PL-MER-CTR-HR-BPO-001-1,accepted
LINK-0012,evidence,meridian-health,MER-CTR-HR-BPO-001,AP-MER-CTR-HR-BPO-001-2026-07-1,invoice_line,APLINE-MER-CTR-HR-BPO-001-2026-07-1,accepted
LINK-0013,evidence,meridian-health,MER-CTR-HR-BPO-001,SLA-MER-CTR-HR-BPO-001-2026-07-cycle_time,sla_event,SLA-MER-CTR-HR-BPO-001-2026-07-cycle_time,accepted
LINK-0014,evidence,meridian-health,MER-CTR-HR-BPO-001,FIN-MER-CTR-HR-BPO-001-2027-Q1,finance_period,FIN-MER-CTR-HR-BPO-001-2027-Q1,diagnosis_only
LINK-0015,evidence,meridian-health,MER-CTR-FIN-BPO-001,CLM-MER-CTR-FIN-BPO-001,contract,MER-CTR-FIN-BPO-001,accepted
LINK-0016,evidence,meridian-health,MER-CTR-FIN-BPO-001,DOCINV-DOC-MER-CTR-FIN-BPO-001-PRICING-EXHIBIT,document,DOC-MER-CTR-FIN-BPO-001-PRICING-EXHIBIT,accepted
LINK-0017,evidence,meridian-health,MER-CTR-FIN-BPO-001,CLAUSE-DOC-MER-CTR-FIN-BPO-001-SLA-SCHEDULE-01,document_clause,DOC-MER-CTR-FIN-BPO-001-SLA-SCHEDULE,accepted
LINK-0018,evidence,meridian-health,MER-CTR-FIN-BPO-001,PRICE-MER-CTR-FIN-BPO-001-1,pricing_line,PL-MER-CTR-FIN-BPO-001-1,accepted
LINK-0019,evidence,meridian-health,MER-CTR-FIN-BPO-001,AP-MER-CTR-FIN-BPO-001-2026-07-1,invoice_line,APLINE-MER-CTR-FIN-BPO-001-2026-07-1,accepted
LINK-0020,evidence,meridian-health,MER-CTR-FIN-BPO-001,SLA-MER-CTR-FIN-BPO-001-2026-07-cycle_time,sla_event,SLA-MER-CTR-FIN-BPO-001-2026-07-cycle_time,accepted
LINK-0021,evidence,meridian-health,MER-CTR-FIN-BPO-001,FIN-MER-CTR-FIN-BPO-001-2027-Q1,finance_period,FIN-MER-CTR-FIN-BPO-001-2027-Q1,diagnosis_only
LINK-0022,evidence,meridian-health,MER-CTR-SC-BPO-001,CLM-MER-CTR-SC-BPO-001,contract,MER-CTR-SC-BPO-001,accepted
LINK-0023,evidence,meridian-health,MER-CTR-SC-BPO-001,DOCINV-DOC-MER-CTR-SC-BPO-001-PRICING-EXHIBIT,document,DOC-MER-CTR-SC-BPO-001-PRICING-EXHIBIT,accepted
