signal_id,service_or_process,ticket_or_event_type,monthly_volume,severity_mix,mttr_hours,backlog_count,automation_candidate,root_cause_theme
FC-OPS-001,Core banking interface failures,incident,210,20% high / 58% medium / 22% low,4.5,44,yes,batch latency and data quality
FC-OPS-002,ACH/wire exceptions,data_quality,380,12% high / 50% medium / 38% low,5.2,96,partial,manual repair
FC-OPS-003,Card authorization incidents,incident,140,24% high / 54% medium / 22% low,3.1,28,yes,capacity at peak
FC-OPS-004,AML alert backlog,investigation,2100,8% high / 40% medium / 52% low,36,8400,partial,false positives
FC-OPS-005,Fraud dispute intake,service_request,480,15% high / 55% medium / 30% low,18,1200,yes,evidence assembly manual
FC-OPS-006,Contact center escalations,service_request,9400,10% high / 45% medium / 45% low,0.8,2200,yes,no unified context
FC-OPS-007,Regulatory report defects,data_quality,90,30% high / 50% medium / 20% low,22,40,partial,reconciliation gaps
FC-OPS-008,Lakehouse pipeline failures,incident,320,14% high / 52% medium / 34% low,6,110,partial,lineage and schema drift
FC-OPS-009,Mainframe batch overruns,incident,60,40% high / 45% medium / 15% low,7.5,18,no,legacy capacity
FC-OPS-010,Model monitoring breaches,risk_event,48,35% high / 50% medium / 15% low,30,22,no,drift and stale features
FC-OPS-011,Cards dispute SLA misses,service_request,220,18% high / 52% medium / 30% low,14,640,yes,manual evidence
FC-OPS-012,Privacy/data-access exceptions,risk_event,75,28% high / 52% medium / 20% low,26,34,partial,manual approvals
