archetype_code,activity_pack_code,applicability,notes,source_artifact,status
ARCH-01,AP-TECH-AI-01,required,,hand-authored-pr4,active
ARCH-01,AP-TECH-AI-02,required,,hand-authored-pr4,active
ARCH-01,AP-TECH-AI-03,required,,hand-authored-pr4,active
ARCH-01,AP-TECH-AI-04,required,,hand-authored-pr4,active
ARCH-01,AP-TECH-AI-05,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-01,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-02,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-03,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-04,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-05,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-06,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-07,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-08,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-09,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-10,required,,hand-authored-pr4,active
ARCH-01,AP-SHARED-11,conditional,Applies only when a third-party vendor/SI is engaged for delivery; excluded for a fully internally-delivered initiative.,hand-authored-pr4,active
ARCH-01,AP-SHARED-12,required,,hand-authored-pr4,active
ARCH-02,AP-TECH-DATA-01,required,,hand-authored-pr4,active
ARCH-02,AP-TECH-DATA-02,required,,hand-authored-pr4,active
ARCH-02,AP-TECH-DATA-03,required,,hand-authored-pr4,active
ARCH-02,AP-TECH-DATA-04,required,,hand-authored-pr4,active
ARCH-02,AP-TECH-DATA-05,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-01,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-02,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-03,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-04,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-05,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-06,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-07,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-08,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-09,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-10,required,,hand-authored-pr4,active
ARCH-02,AP-SHARED-11,conditional,Applies only when a third-party vendor/SI is engaged for delivery; excluded for a fully internally-delivered initiative.,hand-authored-pr4,active
ARCH-02,AP-SHARED-12,required,,hand-authored-pr4,active
ARCH-03,AP-TECH-APP-01,required,,hand-authored-pr4,active
ARCH-03,AP-TECH-APP-02,required,,hand-authored-pr4,active
ARCH-03,AP-TECH-APP-03,required,,hand-authored-pr4,active
ARCH-03,AP-TECH-APP-04,required,,hand-authored-pr4,active
ARCH-03,AP-TECH-APP-05,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-01,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-02,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-03,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-04,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-05,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-06,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-07,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-08,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-09,required,,hand-authored-pr4,active
ARCH-03,AP-SHARED-10,required,,hand-authored-pr4,active
