metric_id,metric_name,business_function,category,current_value,current_period,trend,target,frequency,source_system,owner,notes
tel:fcfi:001,Daily Active Digital Users (Consumer),Retail Banking,Digital,168000,FY2026 Q1 daily avg,Up 8% YoY,200000,Daily,sys:fcfi:digital-banking,person:fcfi:vincent-morales,"168K of 312K consumer accounts active daily; mobile 110K primary"
tel:fcfi:002,Digital Session Failure Rate,Retail Banking,Digital,1.8%,FY2026 Q1,Down from 2.4% Q4 2025,<1.0%,Daily,sys:fcfi:digital-banking,person:fcfi:vincent-morales,"Session failures (timeout + error); primary complaints in app store reviews"
tel:fcfi:003,Mobile App Page Load P99 (seconds),Retail Banking,Digital,4.2 seconds,FY2026 Q1,Down from 5.8s Q3 2025,<2.0 seconds,Hourly,sys:fcfi:digital-banking,person:fcfi:vincent-morales,"Infrastructure refresh Q2 2025 improved P99; target requires application optimization"
tel:fcfi:004,Digital Account Open Completion Rate,Retail Banking,Digital,67%,FY2026 Q1,Up 4pp YoY,80%,Weekly,sys:fcfi:digital-banking,person:fcfi:vincent-morales,"67% of digital account open sessions complete; 33% abandon primarily at ID verification step"
tel:fcfi:005,Branch Transactions per Day (per Branch),Retail Banking,Branch Operations,185,FY2026 Q1,Down 8% YoY (digital shift),N/A — tracking decline,Daily,sys:fcfi:cleartouch,person:fcfi:robert-landon,"Steady decline; digital shift reducing counter volume; teller productivity rising per remaining transactions"
tel:fcfi:006,ATM Cash Replenishment Cycle Time (hours),Retail Banking,Branch Operations,18.4 hours avg,FY2026 Q1,Flat YoY,<16 hours,Weekly,sys:fcfi:ncr-atm-mgmt,person:fcfi:robert-landon,"Currency management contract with Brinks; cycle time above target in 8 rural locations"
tel:fcfi:007,Debit Card Fraud Loss Rate (% of spend),Retail Banking,Fraud,0.082%,FY2026 Q1,Up 0.011pp YoY,<0.07%,Monthly,sys:fcfi:visa-dps,person:fcfi:patricia-holbrook,"Card-not-present fraud primary driver; real-time fraud scoring by Visa DPS flagging 92% of fraudulent attempts pre-auth"
tel:fcfi:008,ACH Return Rate,Retail Banking + Commercial,Payments,0.41%,FY2026 Q1,Flat YoY,<0.50% (NACHA threshold),Monthly,sys:fcfi:cleartouch,person:fcfi:robert-landon,"Within NACHA acceptable limits; commercial ACH originators monitored separately"
tel:fcfi:009,New Commercial Loan Turnaround Time (days),Commercial Banking,Loan Operations,18.4 days,FY2026 Q1,Up 2.1 days YoY,<14 days,Weekly,sys:fcfi:cleartouch,person:fcfi:thomas-yuen,"Increased due to enhanced CDD requirements on new commercial borrowers post-OCC exam; documentation backlog"
tel:fcfi:010,Commercial Loan Covenant Compliance Rate,Commercial Banking,Credit Risk,97.2%,FY2026 Q1,Down 0.8pp YoY,>98.5%,Quarterly (covenant tracking),sys:fcfi:cleartouch,person:fcfi:marcus-osei,"Declining due to increased watch-list credits requiring covenant waivers; 8 active waivers Q1 2026"
tel:fcfi:011,Treasury Management Implementation Cycle (days),Commercial Banking,Onboarding,22 days avg,FY2026 Q1,Down 4 days YoY,<18 days,Monthly,sys:fcfi:salesforce-fsc,person:fcfi:thomas-yuen,"Process improvement from 2025 operations initiative; ACH and positive pay most common products"
tel:fcfi:012,Commercial Credit Decision Turnaround (days),Commercial Banking,Underwriting,6.2 days,FY2026 Q1,Down 1.1 days YoY,<5.0 days,Weekly,sys:fcfi:cleartouch,person:fcfi:thomas-yuen,"Credit committee approval + document review; goal is same-week decision for credits <$5M"
tel:fcfi:013,Wealth Portfolio Performance Attribution Latency,Wealth Management,Performance Reporting,T+2 reporting,FY2026 Q1,Flat (persistent problem),T+0 target,Daily,sys:fcfi:advent-geneva,person:fcfi:diana-stern,"Batch processing delay between Advent Geneva and client portal (Orion); advisors manually refreshing daily; client complaints"
tel:fcfi:014,Wealth Client Meeting Capacity Utilization,Wealth Management,Advisor Productivity,78%,FY2026 Q1,Up 3pp YoY,85%,Monthly,sys:fcfi:salesforce-fsc,person:fcfi:diana-stern,"42 advisors; capacity at 78%; 15 advisors tracking above 85%; advisor hiring 2 planned FY2026"
tel:fcfi:015,Wealth Financial Plan Preparation Time (hours),Wealth Management,Advisor Productivity,14.2 hours avg,FY2026 Q1,Down 1.8 hours YoY,<8 hours,Monthly,sys:fcfi:orion-wealth,person:fcfi:diana-stern,"Manual data assembly from 3 systems; MoneyGuidePro + Orion + Advent manual export; platform consolidation the fix"
