tenant_key,process_name,business_function,process_owner,systems_used,volume_metric,cycle_time,pain_points,control_points,automation_candidate,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
skyharbor-air,INC-00001,,,APP-0365,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,2,APP-0365,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00002,,,APP-0304,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,3,APP-0304,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00003,,,APP-0558,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,4,APP-0558,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00004,,,APP-0363,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,5,APP-0363,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00005,,,APP-0047,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,6,APP-0047,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00006,,,APP-0171,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,7,APP-0171,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00007,,,APP-0370,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,8,APP-0370,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00008,,,APP-0203,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,9,APP-0203,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00009,,,APP-0043,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,10,APP-0043,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00010,,,APP-0515,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,11,APP-0515,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00011,,,APP-0101,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,12,APP-0101,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00012,,,APP-0430,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,13,APP-0430,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00013,,,APP-0395,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,14,APP-0395,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00014,,,APP-0571,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,15,APP-0571,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00015,,,APP-0183,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,16,APP-0183,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00016,,,APP-0506,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,17,APP-0506,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00017,,,APP-0448,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,18,APP-0448,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00018,,,APP-0317,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,19,APP-0317,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00019,,,APP-0580,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,20,APP-0580,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00020,,,APP-0190,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,21,APP-0190,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00021,,,APP-0076,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,22,APP-0076,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00022,,,APP-0456,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,23,APP-0456,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00023,,,APP-0095,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,24,APP-0095,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00024,,,APP-0285,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,25,APP-0285,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00025,,,APP-0585,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,26,APP-0585,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00026,,,APP-0054,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,27,APP-0054,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00027,,,APP-0578,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,28,APP-0578,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00028,,,APP-0144,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,29,APP-0144,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
skyharbor-air,INC-00029,,,APP-0083,,,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,,,,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,30,APP-0083,synthetic-demo,3e71d2265681bdb67d21892b8a52a63cadb3548f335bde700d09e1c5fe3d39f9,retained_from_active_source,none
