Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
FIRSTCAPITAL-PLAY-0001,FIRSTCAPITAL-MET-0001,top quartile operator,First Capital Financial comparable transformation play 1,First Capital Financial benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0002,FIRSTCAPITAL-MET-0002,top quartile operator,First Capital Financial comparable transformation play 2,First Capital Financial elapsed time for target process metric 2,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0003,FIRSTCAPITAL-MET-0003,top quartile operator,First Capital Financial comparable transformation play 3,First Capital Financial open control and governance pressure metric 3,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0004,FIRSTCAPITAL-MET-0004,top quartile operator,First Capital Financial comparable transformation play 4,First Capital Financial active usage of changed workflow metric 4,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0005,FIRSTCAPITAL-MET-0005,top quartile operator,First Capital Financial comparable transformation play 5,First Capital Financial unit cost across served population or customer journey metric 5,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0006,FIRSTCAPITAL-MET-0006,top quartile operator,First Capital Financial comparable transformation play 6,First Capital Financial benefit realization against committed value metric 6,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0007,FIRSTCAPITAL-MET-0007,top quartile operator,First Capital Financial comparable transformation play 7,First Capital Financial elapsed time for target process metric 7,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0008,FIRSTCAPITAL-MET-0008,top quartile operator,First Capital Financial comparable transformation play 8,First Capital Financial open control and governance pressure metric 8,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0009,FIRSTCAPITAL-MET-0009,top quartile operator,First Capital Financial comparable transformation play 9,First Capital Financial active usage of changed workflow metric 9,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0010,FIRSTCAPITAL-MET-0010,top quartile operator,First Capital Financial comparable transformation play 10,First Capital Financial unit cost across served population or customer journey metric 10,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0011,FIRSTCAPITAL-MET-0011,top quartile operator,First Capital Financial comparable transformation play 11,First Capital Financial benefit realization against committed value metric 11,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0012,FIRSTCAPITAL-MET-0012,top quartile operator,First Capital Financial comparable transformation play 12,First Capital Financial elapsed time for target process metric 12,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0013,FIRSTCAPITAL-MET-0013,top quartile operator,First Capital Financial comparable transformation play 13,First Capital Financial open control and governance pressure metric 13,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0014,FIRSTCAPITAL-MET-0014,top quartile operator,First Capital Financial comparable transformation play 14,First Capital Financial active usage of changed workflow metric 14,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0015,FIRSTCAPITAL-MET-0015,top quartile operator,First Capital Financial comparable transformation play 15,First Capital Financial unit cost across served population or customer journey metric 15,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0016,FIRSTCAPITAL-MET-0016,top quartile operator,First Capital Financial comparable transformation play 16,First Capital Financial benefit realization against committed value metric 16,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0017,FIRSTCAPITAL-MET-0017,top quartile operator,First Capital Financial comparable transformation play 17,First Capital Financial elapsed time for target process metric 17,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0018,FIRSTCAPITAL-MET-0018,top quartile operator,First Capital Financial comparable transformation play 18,First Capital Financial open control and governance pressure metric 18,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0019,FIRSTCAPITAL-MET-0019,top quartile operator,First Capital Financial comparable transformation play 19,First Capital Financial active usage of changed workflow metric 19,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0020,FIRSTCAPITAL-MET-0020,top quartile operator,First Capital Financial comparable transformation play 20,First Capital Financial unit cost across served population or customer journey metric 20,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0021,FIRSTCAPITAL-MET-0021,top quartile operator,First Capital Financial comparable transformation play 21,First Capital Financial benefit realization against committed value metric 21,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0022,FIRSTCAPITAL-MET-0022,top quartile operator,First Capital Financial comparable transformation play 22,First Capital Financial elapsed time for target process metric 22,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0023,FIRSTCAPITAL-MET-0023,top quartile operator,First Capital Financial comparable transformation play 23,First Capital Financial open control and governance pressure metric 23,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0024,FIRSTCAPITAL-MET-0024,top quartile operator,First Capital Financial comparable transformation play 24,First Capital Financial active usage of changed workflow metric 24,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0025,FIRSTCAPITAL-MET-0025,top quartile operator,First Capital Financial comparable transformation play 25,First Capital Financial unit cost across served population or customer journey metric 25,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0026,FIRSTCAPITAL-MET-0026,top quartile operator,First Capital Financial comparable transformation play 26,First Capital Financial benefit realization against committed value metric 26,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0027,FIRSTCAPITAL-MET-0027,top quartile operator,First Capital Financial comparable transformation play 27,First Capital Financial elapsed time for target process metric 27,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0028,FIRSTCAPITAL-MET-0028,top quartile operator,First Capital Financial comparable transformation play 28,First Capital Financial open control and governance pressure metric 28,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0029,FIRSTCAPITAL-MET-0029,top quartile operator,First Capital Financial comparable transformation play 29,First Capital Financial active usage of changed workflow metric 29,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0030,FIRSTCAPITAL-MET-0030,top quartile operator,First Capital Financial comparable transformation play 30,First Capital Financial unit cost across served population or customer journey metric 30,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0031,FIRSTCAPITAL-MET-0031,top quartile operator,First Capital Financial comparable transformation play 31,First Capital Financial benefit realization against committed value metric 31,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0032,FIRSTCAPITAL-MET-0032,top quartile operator,First Capital Financial comparable transformation play 32,First Capital Financial elapsed time for target process metric 32,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0033,FIRSTCAPITAL-MET-0033,top quartile operator,First Capital Financial comparable transformation play 33,First Capital Financial open control and governance pressure metric 33,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0034,FIRSTCAPITAL-MET-0034,top quartile operator,First Capital Financial comparable transformation play 34,First Capital Financial active usage of changed workflow metric 34,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0035,FIRSTCAPITAL-MET-0035,top quartile operator,First Capital Financial comparable transformation play 35,First Capital Financial unit cost across served population or customer journey metric 35,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0036,FIRSTCAPITAL-MET-0036,top quartile operator,First Capital Financial comparable transformation play 36,First Capital Financial benefit realization against committed value metric 36,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0037,FIRSTCAPITAL-MET-0037,top quartile operator,First Capital Financial comparable transformation play 37,First Capital Financial elapsed time for target process metric 37,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0038,FIRSTCAPITAL-MET-0038,top quartile operator,First Capital Financial comparable transformation play 38,First Capital Financial open control and governance pressure metric 38,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0039,FIRSTCAPITAL-MET-0039,top quartile operator,First Capital Financial comparable transformation play 39,First Capital Financial active usage of changed workflow metric 39,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0040,FIRSTCAPITAL-MET-0040,top quartile operator,First Capital Financial comparable transformation play 40,First Capital Financial unit cost across served population or customer journey metric 40,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0041,FIRSTCAPITAL-MET-0041,top quartile operator,First Capital Financial comparable transformation play 41,First Capital Financial benefit realization against committed value metric 41,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0042,FIRSTCAPITAL-MET-0042,top quartile operator,First Capital Financial comparable transformation play 42,First Capital Financial elapsed time for target process metric 42,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0043,FIRSTCAPITAL-MET-0043,top quartile operator,First Capital Financial comparable transformation play 43,First Capital Financial open control and governance pressure metric 43,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0044,FIRSTCAPITAL-MET-0044,top quartile operator,First Capital Financial comparable transformation play 44,First Capital Financial active usage of changed workflow metric 44,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0045,FIRSTCAPITAL-MET-0045,top quartile operator,First Capital Financial comparable transformation play 45,First Capital Financial unit cost across served population or customer journey metric 45,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0046,FIRSTCAPITAL-MET-0046,top quartile operator,First Capital Financial comparable transformation play 46,First Capital Financial benefit realization against committed value metric 46,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0047,FIRSTCAPITAL-MET-0047,top quartile operator,First Capital Financial comparable transformation play 47,First Capital Financial elapsed time for target process metric 47,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0048,FIRSTCAPITAL-MET-0048,top quartile operator,First Capital Financial comparable transformation play 48,First Capital Financial open control and governance pressure metric 48,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0049,FIRSTCAPITAL-MET-0049,top quartile operator,First Capital Financial comparable transformation play 49,First Capital Financial active usage of changed workflow metric 49,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0050,FIRSTCAPITAL-MET-0050,top quartile operator,First Capital Financial comparable transformation play 50,First Capital Financial unit cost across served population or customer journey metric 50,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0051,FIRSTCAPITAL-MET-0051,top quartile operator,First Capital Financial comparable transformation play 51,First Capital Financial benefit realization against committed value metric 51,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0052,FIRSTCAPITAL-MET-0052,top quartile operator,First Capital Financial comparable transformation play 52,First Capital Financial elapsed time for target process metric 52,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0053,FIRSTCAPITAL-MET-0053,top quartile operator,First Capital Financial comparable transformation play 53,First Capital Financial open control and governance pressure metric 53,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0054,FIRSTCAPITAL-MET-0054,top quartile operator,First Capital Financial comparable transformation play 54,First Capital Financial active usage of changed workflow metric 54,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0055,FIRSTCAPITAL-MET-0055,top quartile operator,First Capital Financial comparable transformation play 55,First Capital Financial unit cost across served population or customer journey metric 55,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0056,FIRSTCAPITAL-MET-0056,top quartile operator,First Capital Financial comparable transformation play 56,First Capital Financial benefit realization against committed value metric 56,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0057,FIRSTCAPITAL-MET-0057,top quartile operator,First Capital Financial comparable transformation play 57,First Capital Financial elapsed time for target process metric 57,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0058,FIRSTCAPITAL-MET-0058,top quartile operator,First Capital Financial comparable transformation play 58,First Capital Financial open control and governance pressure metric 58,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0059,FIRSTCAPITAL-MET-0059,top quartile operator,First Capital Financial comparable transformation play 59,First Capital Financial active usage of changed workflow metric 59,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
FIRSTCAPITAL-PLAY-0060,FIRSTCAPITAL-MET-0060,top quartile operator,First Capital Financial comparable transformation play 60,First Capital Financial unit cost across served population or customer journey metric 60,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
FIRSTCAPITAL-PLAY-0061,FIRSTCAPITAL-MET-0061,top quartile operator,First Capital Financial comparable transformation play 61,First Capital Financial benefit realization against committed value metric 61,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
FIRSTCAPITAL-PLAY-0062,FIRSTCAPITAL-MET-0062,top quartile operator,First Capital Financial comparable transformation play 62,First Capital Financial elapsed time for target process metric 62,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
FIRSTCAPITAL-PLAY-0063,FIRSTCAPITAL-MET-0063,top quartile operator,First Capital Financial comparable transformation play 63,First Capital Financial open control and governance pressure metric 63,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
FIRSTCAPITAL-PLAY-0064,FIRSTCAPITAL-MET-0064,top quartile operator,First Capital Financial comparable transformation play 64,First Capital Financial active usage of changed workflow metric 64,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
