vendor,renewal_date,annual_usd,owner,negotiation_theme
FIS,2027-02-15,38000000,CIO,180-day core transition; termination assistance capped at 12 months
DXC,2026-11-30,26000000,CIO,app-by-app removal with 120-day notice
Accenture,2026-09-30,18000000,CIO,statement-of-work termination for convenience
Deloitte,2026-08-31,14000000,CRO,quarterly SOW breakpoints
Salesforce,2027-01-31,12200000,CDO,annual volume true-down only
NICE,2026-12-31,11200000,CRO,module carve-out allowed after 90 days
SAP,2027-05-31,9800000,CFO,S/4 transition credit negotiable
ACI Worldwide,2026-10-31,8600000,SVP Payments,FedNow module removal after stabilization
Snowflake,2026-07-31,7600000,CDAO,committed-use drawdown reset annually
Databricks,2027-03-31,6400000,CDAO,workspace termination with data export SLA
Microsoft,2026-11-15,7220000,SVP Retail Bank Ops,90-day module removal with transition support
AWS,2027-12-15,697000,SVP Client Service,standard annual renewal notice
Google Cloud,2026-01-15,1374000,Chief Model Risk Officer,standard annual renewal notice
Oracle,2027-02-15,2051000,COO,standard annual renewal notice
Workday,2026-03-15,2728000,Chief Product Officer,standard annual renewal notice
ServiceNow,2027-04-15,3405000,Treasurer,90-day module removal with transition support
Splunk,2026-05-15,4082000,SVP Consumer Lending CIO,standard annual renewal notice
CrowdStrike,2027-06-15,4759000,SVP Cards,standard annual renewal notice
Palo Alto Networks,2026-07-15,5436000,CIO,standard annual renewal notice
Okta,2027-08-15,6113000,VP Technology Service Mgmt,standard annual renewal notice
SailPoint,2026-09-15,6790000,Chief Compliance Officer,90-day module removal with transition support
NCR,2027-10-15,7467000,Chief Procurement Officer,standard annual renewal notice
Fiserv,2026-11-15,944000,EVP Technology Operations,standard annual renewal notice
Fenergo,2027-12-15,1621000,SVP Payments Technology,standard annual renewal notice
nCino,2026-01-15,2298000,Chief Digital Officer,standard annual renewal notice
Murex,2027-02-15,2975000,SVP Commercial Bank CIO,90-day module removal with transition support
SAS,2026-03-15,3652000,SVP Wealth Technology,standard annual renewal notice
Pega,2027-04-15,4329000,Chief Risk Officer,standard annual renewal notice
Broadridge,2026-05-15,5006000,Chief Data and Analytics Officer,standard annual renewal notice
Genesys,2027-06-15,5683000,SVP Infrastructure,standard annual renewal notice
Verint,2026-07-15,6360000,CISO,90-day module removal with transition support
Twilio,2027-08-15,7037000,CFO,standard annual renewal notice
Blend,2026-09-15,514000,SVP Retail Bank Ops,standard annual renewal notice
Zelle/EWS,2027-10-15,1191000,SVP Client Service,standard annual renewal notice
The Clearing House,2026-11-15,1868000,Chief Model Risk Officer,standard annual renewal notice
Visa DPS,2027-12-15,2545000,COO,90-day module removal with transition support
Mastercard,2026-01-15,3222000,Chief Product Officer,standard annual renewal notice
FICO,2027-02-15,3899000,Treasurer,standard annual renewal notice
Moody's Analytics,2026-03-15,4576000,SVP Consumer Lending CIO,standard annual renewal notice
S&P Global,2027-04-15,5253000,SVP Cards,standard annual renewal notice
Bloomberg,2026-05-15,5930000,CIO,90-day module removal with transition support
Refinitiv,2027-06-15,6607000,VP Technology Service Mgmt,standard annual renewal notice
Tableau,2026-07-15,7284000,Chief Compliance Officer,standard annual renewal notice
Looker,2027-08-15,761000,Chief Procurement Officer,standard annual renewal notice
Informatica,2026-09-15,1438000,EVP Technology Operations,standard annual renewal notice
Collibra,2027-10-15,2115000,SVP Payments Technology,90-day module removal with transition support
Alation,2026-11-15,2792000,Chief Digital Officer,standard annual renewal notice
Confluent,2027-12-15,3469000,SVP Commercial Bank CIO,standard annual renewal notice
Red Hat,2026-01-15,4146000,SVP Wealth Technology,standard annual renewal notice
Kyndryl,2027-02-15,4823000,Chief Risk Officer,standard annual renewal notice
TCS,2026-03-15,5500000,Chief Data and Analytics Officer,90-day module removal with transition support
Wipro,2027-04-15,6177000,SVP Infrastructure,standard annual renewal notice
Infosys,2026-05-15,6854000,CISO,standard annual renewal notice
EPAM,2027-06-15,7531000,CFO,standard annual renewal notice
Thought Machine,2026-07-15,1008000,SVP Retail Bank Ops,standard annual renewal notice
Mambu,2027-08-15,1685000,SVP Client Service,90-day module removal with transition support
Q2,2026-09-15,2362000,Chief Model Risk Officer,standard annual renewal notice
Temenos,2027-10-15,3039000,COO,standard annual renewal notice
Featurespace,2026-11-15,3716000,Chief Product Officer,standard annual renewal notice
Feedzai,2027-12-15,4393000,Treasurer,standard annual renewal notice
Alloy,2026-01-15,5070000,SVP Consumer Lending CIO,90-day module removal with transition support
Plaid,2027-02-15,5747000,SVP Cards,standard annual renewal notice
Trulioo,2026-03-15,6424000,CIO,standard annual renewal notice
Socure,2027-04-15,7101000,VP Technology Service Mgmt,standard annual renewal notice
DocuSign,2026-05-15,578000,Chief Compliance Officer,standard annual renewal notice
Icertis,2027-06-15,1255000,Chief Procurement Officer,90-day module removal with transition support
Coupa,2026-07-15,1932000,EVP Technology Operations,standard annual renewal notice
Thomson Reuters,2027-08-15,2609000,SVP Payments Technology,standard annual renewal notice
Wolters Kluwer,2026-09-15,3286000,Chief Digital Officer,standard annual renewal notice
NVIDIA,2027-10-15,3963000,SVP Commercial Bank CIO,standard annual renewal notice
