tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,pattern_id,pattern_name,industry_domain,when_to_apply,signals,recommended_actions,corpus_context_label
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,sha-irops-agentic-readiness,IROPS agentic readiness gate,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,1,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,sha-irops-agentic-readiness,IROPS agentic readiness gate,airline_operations,Use when autonomous or semi-autonomous recovery is proposed.,crew legality|DOT obligations|weather disruption|passenger reaccommodation,start human-in-loop|capture audit trail|measure disruption cost avoided,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,sha-mainframe-modernization-sequencing,Mainframe modernization sequencing,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,sha-mainframe-modernization-sequencing,Mainframe modernization sequencing,airline_core_modernization,Use when teams propose replacing airline transaction systems.,IBM Z|CICS|DB2|MQ|batch windows,API expose first|strangle by capability|avoid risky big bang,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,sha-cdp-identity-value-gate,Customer identity/CDP value gate,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,sha-cdp-identity-value-gate,Customer identity/CDP value gate,airline_customer_data,Use when personalization value depends on fragmented identity and consent.,no CDP|Salesforce/Adobe overlap|loyalty data fragmentation,establish consent model|certify identity graph|tie to loyalty economics,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,sha-teradata-rationalization,Teradata/SAS/BI rationalization path,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,sha-teradata-rationalization,Teradata/SAS/BI rationalization path,airline_data_platform,Use when analytics simplification is blocked by legacy BI and data marts.,Teradata Vantage|SAS|BusinessObjects|Tableau|DataStage,map usage|retire duplicate marts|certify semantic layer,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,skyharbor-air-v4-pattern-05,SkyHarbor Air V4 context-to-move pattern 5,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:recommended_actions_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,skyharbor-air-v4-pattern-05,SkyHarbor Air V4 context-to-move pattern 5,value_realization,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,data_thin:recommended_actions_missing,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,skyharbor-air-v4-pattern-06,SkyHarbor Air V4 context-to-move pattern 6,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:recommended_actions_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,skyharbor-air-v4-pattern-06,SkyHarbor Air V4 context-to-move pattern 6,data_foundation,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,data_thin:recommended_actions_missing,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,skyharbor-air-v4-pattern-07,SkyHarbor Air V4 context-to-move pattern 7,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:recommended_actions_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,skyharbor-air-v4-pattern-07,SkyHarbor Air V4 context-to-move pattern 7,ai_governance,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,data_thin:recommended_actions_missing,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,skyharbor-air-v4-pattern-08,SkyHarbor Air V4 context-to-move pattern 8,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:recommended_actions_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,skyharbor-air-v4-pattern-08,SkyHarbor Air V4 context-to-move pattern 8,operating_model,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,data_thin:recommended_actions_missing,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,skyharbor-air-v4-pattern-09,SkyHarbor Air V4 context-to-move pattern 9,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:recommended_actions_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,skyharbor-air-v4-pattern-09,SkyHarbor Air V4 context-to-move pattern 9,cost_takeout,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,data_thin:recommended_actions_missing,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,MET-0001,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,BMK-0001,industry_corpus_pattern record,Cross-Industry Leaders,data_thin:when_to_apply_missing,data_thin:signals_missing,-3.18,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,MET-0002,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,BMK-0002,industry_corpus_pattern record,Legacy Flag Carriers,data_thin:when_to_apply_missing,data_thin:signals_missing,8.79,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,MET-0003,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,BMK-0003,industry_corpus_pattern record,Top-Quartile Airlines,data_thin:when_to_apply_missing,data_thin:signals_missing,-8.96,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,MET-0004,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,BMK-0004,industry_corpus_pattern record,Cross-Industry Leaders,data_thin:when_to_apply_missing,data_thin:signals_missing,5.94,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,MET-0005,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,BMK-0005,industry_corpus_pattern record,Cross-Industry Leaders,data_thin:when_to_apply_missing,data_thin:signals_missing,-0.44,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,MET-0006,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,BMK-0006,industry_corpus_pattern record,Global Network Carriers,data_thin:when_to_apply_missing,data_thin:signals_missing,-4.57,industry_pattern_context_not_tenant_fact
skyharbor-air,SkyHarbor Air Group,v6.0,industry_corpus_pattern,MET-0007,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,BMK-0007,industry_corpus_pattern record,Low-Cost Carriers,data_thin:when_to_apply_missing,data_thin:signals_missing,4.15,industry_pattern_context_not_tenant_fact
