tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,source_file_id,source_page,page_text,page_text_sha256,mapping_status,parser_version,synthetic_policy
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-MSA:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-MSA,1,"Master Services Agreement: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports contract review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",3becb2f782886c34d4e3fe2e11320eda90d3210aede7b38f83c970be7aba1fb0,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-SOW:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-SOW,1,"Statement of Work Legacy Analytics Operations: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports sow review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",51b97b4ddc0dee9c86281c80bf2832cbb9905c3225e72e7e4c7a33727f78c3aa,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-SLA-SCHEDULE:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-SLA-SCHEDULE,1,"SLA Schedule and Service Credit Exhibit: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports sla review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",905f205bad76bd7735b5cb8123adc639d3d2e416f2021f4179289fd582e44a9e,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-RATE-CARD:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-RATE-CARD,1,"Rate Card and Staffing Plan: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports pricing review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",ec0cc9a44f52736acf4e8c2641a5605ea1152e21144074ea63029a2b3abba422,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-CHANGE-ORDERS:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-CHANGE-ORDERS,1,"Change Order Pack: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports change_order review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",c99b0250708a42551abcd38da26d8c8f08ca0151d54d68065095c7deaf8c39be,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-MONTHLY-SERVICE-REVIEWS:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS,1,"Monthly Service Review Pack: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports performance review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",a0aa3260f9b61cbcf12a7b81a82e1edb940bbf9275da56b64b019da489d97961,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-INVOICE-PO-PACKET:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-INVOICE-PO-PACKET,1,"Invoice and PO Packet: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports finance review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",0c5727034e6f8f61a5c4eb49a5f5e28cb6e3c36863b09648abf6877296fb5696,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-AWS-CONSUMPTION:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-AWS-CONSUMPTION,1,"AWS and Databricks Consumption Evidence: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports cloud review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",a558c17588ab11780000696c4c89eaa70ce2c32f7b986a00b6bc51ae16f5d2f1,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-RFP:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-RFP,1,"RFP Package: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports rfp review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",5b6b21e0a2fd2a3345d71187dfc99cc4a78739440888bf7d2fead37635521063,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-VENDOR-PROPOSALS:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-VENDOR-PROPOSALS,1,"Vendor Proposal Pack: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports responses review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",97c7835e708df2995f790414dc1f19e3c580d0c23d67181ad4bcd942d147d55a,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:DOC-LAAMS-BAFO-DECISION:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-BAFO-DECISION,1,"BAFO and Executive Decision Pack: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports decision review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",aa1acf6823acf211a0a282bb6ee465fd539d071236ef37e2ed9a6190760f9acc,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:CSV-LAAMS-CONTRACT-REGISTER:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CSV-LAAMS-CONTRACT-REGISTER,1,"Contract register extract: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports contract review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",1c69c3cff74041cd1f1198614b9d07f06934ed7ddc6fa048b64ffee9b1612f2b,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:CSV-LAAMS-CONTRACT-TERMS:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CSV-LAAMS-CONTRACT-TERMS,1,"Contract terms extract: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports contract review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",82612655a5c56ec9e9e569a4b2b4472b0c58517ddbd6e414dbdb1e00140d0816,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:CSV-LAAMS-RATE-CARD:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CSV-LAAMS-RATE-CARD,1,"Rate card extract: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports pricing review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",ba22c7dcdc1878f73ba39079fc341965776af2770f9294747ed5fc178581e895,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:CSV-LAAMS-SOW-SCOPE:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CSV-LAAMS-SOW-SCOPE,1,"SOW scope catalog extract: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports sow review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",317c26fe9de848fbfb1ceff29aeee71800f932c353eeb0b8cc1785e23cb53c6f,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:CSV-LAAMS-CHANGE-ORDERS:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CSV-LAAMS-CHANGE-ORDERS,1,"Change order register extract: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports change_order review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",f4f4306169634c640e017cd9b9fedbd456826b79244c3db1eac71ae1b4f5bd29,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:CSV-LAAMS-APPLICATIONS:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CSV-LAAMS-APPLICATIONS,1,"Applications in scope extract: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports cmdb review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",69a5bee7a89f469e22f8124c01a38c347dc2c9f0c6604526775b402c770d9ed1,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:CSV-LAAMS-PIPELINES:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CSV-LAAMS-PIPELINES,1,"Data pipelines in scope extract: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports cmdb review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",9a7e5ebe85df15632e85f4e4c6bc751a78fc57263d048501001af672ee70c8e2,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
meridian-health,meridian-laams-new-event-rich-v2-20260908,page_text:MER-TECH-LAAMS-001:CSV-LAAMS-REPORTS:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CSV-LAAMS-REPORTS,1,"Reports and dashboards extract: synthetic demo evidence for Cognizant Technology Solutions MER-TECH-LAAMS-001. Supports cmdb review, Source 360 evidence grounding, New Event requirements, and Optimize candidate actions. This is not client truth and is not finance-confirmed realized value.",cef7609653002b35e2e5566c8ac4d6bad2d8ce0f16bf94631507b8bbc1b444ea,mapped_to_register_contract,synthetic-docx-page-parser-v2,synthetic_demo_only_not_client_truth
