edge_id,source_app_id,target_app_id,integration_type,latency_sla,kill_blocker_flag
INT-0001,APP-0117,APP-0474,SOAP,batch-hourly,false
INT-0002,APP-0525,APP-0418,DB link,batch-daily,false
INT-0003,APP-0355,APP-0529,ETL batch,batch-daily,false
INT-0004,APP-0038,APP-0501,Kafka,realtime,false
INT-0005,APP-0127,APP-0390,DB link,batch-hourly,false
INT-0006,APP-0202,APP-0098,file/SFTP,near-realtime,false
INT-0007,APP-0290,APP-0173,DB link,near-realtime,false
INT-0008,APP-0178,APP-0112,SOAP,near-realtime,false
INT-0009,APP-0111,APP-0119,SOAP,batch-hourly,false
INT-0010,APP-0344,APP-0100,SOAP,near-realtime,true
INT-0011,APP-0098,APP-0427,DB link,near-realtime,false
INT-0012,APP-0045,APP-0224,ETL batch,batch-daily,false
INT-0013,APP-0560,APP-0263,REST,batch-daily,false
INT-0014,APP-0238,APP-0362,DB link,batch-daily,false
INT-0015,APP-0070,APP-0292,SOAP,batch-daily,false
INT-0016,APP-0464,APP-0331,DB link,near-realtime,false
INT-0017,APP-0580,APP-0060,REST,batch-daily,false
INT-0018,APP-0173,APP-0253,Kafka,near-realtime,false
INT-0019,APP-0143,APP-0418,Kafka,near-realtime,false
INT-0020,APP-0348,APP-0101,file/SFTP,batch-hourly,false
INT-0021,APP-0401,APP-0343,ETL batch,near-realtime,false
INT-0022,APP-0291,APP-0591,file/SFTP,batch-hourly,false
INT-0023,APP-0037,APP-0053,DB link,batch-daily,false
INT-0024,APP-0351,APP-0434,file/SFTP,batch-hourly,true
INT-0025,APP-0031,APP-0463,ETL batch,batch-daily,false
INT-0026,APP-0577,APP-0418,SOAP,batch-daily,false
INT-0027,APP-0170,APP-0485,REST,realtime,false
INT-0028,APP-0321,APP-0267,MQ,realtime,false
INT-0029,APP-0436,APP-0335,DB link,batch-daily,false
INT-0030,APP-0445,APP-0003,REST,realtime,false
INT-0031,APP-0583,APP-0373,REST,near-realtime,false
INT-0032,APP-0556,APP-0046,ETL batch,realtime,false
INT-0033,APP-0230,APP-0036,SOAP,batch-hourly,false
INT-0034,APP-0273,APP-0268,ETL batch,batch-hourly,false
INT-0035,APP-0116,APP-0418,MQ,realtime,false
INT-0036,APP-0564,APP-0139,ETL batch,batch-daily,false
INT-0037,APP-0168,APP-0370,MQ,batch-hourly,false
INT-0038,APP-0406,APP-0400,file/SFTP,realtime,false
INT-0039,APP-0121,APP-0413,MQ,realtime,true
INT-0040,APP-0099,APP-0224,MQ,realtime,false
INT-0041,APP-0237,APP-0454,file/SFTP,near-realtime,false
INT-0042,APP-0399,APP-0083,file/SFTP,batch-hourly,false
INT-0043,APP-0429,APP-0005,Kafka,batch-hourly,false
INT-0044,APP-0411,APP-0582,MQ,batch-hourly,false
INT-0045,APP-0590,APP-0483,DB link,near-realtime,false
INT-0046,APP-0279,APP-0131,Kafka,batch-hourly,false
INT-0047,APP-0266,APP-0125,file/SFTP,batch-daily,false
INT-0048,APP-0535,APP-0389,REST,realtime,false
INT-0049,APP-0571,APP-0141,ETL batch,batch-hourly,false
INT-0050,APP-0437,APP-0210,Kafka,realtime,false
INT-0051,APP-0183,APP-0349,Kafka,batch-hourly,false
INT-0052,APP-0225,APP-0365,REST,near-realtime,true
INT-0053,APP-0151,APP-0405,DB link,batch-hourly,false
INT-0054,APP-0492,APP-0286,file/SFTP,batch-daily,true
INT-0055,APP-0410,APP-0258,SOAP,batch-daily,false
INT-0056,APP-0540,APP-0004,SOAP,batch-hourly,false
INT-0057,APP-0577,APP-0275,Kafka,batch-hourly,false
INT-0058,APP-0202,APP-0413,ETL batch,near-realtime,false
INT-0059,APP-0291,APP-0355,SOAP,near-realtime,false
INT-0060,APP-0302,APP-0461,ETL batch,batch-hourly,false
INT-0061,APP-0127,APP-0401,file/SFTP,realtime,false
INT-0062,APP-0450,APP-0287,file/SFTP,near-realtime,false
INT-0063,APP-0293,APP-0375,DB link,batch-hourly,true
INT-0064,APP-0032,APP-0048,REST,near-realtime,false
INT-0065,APP-0182,APP-0391,DB link,batch-daily,false
INT-0066,APP-0190,APP-0499,MQ,near-realtime,false
INT-0067,APP-0003,APP-0290,REST,batch-hourly,false
INT-0068,APP-0294,APP-0132,MQ,batch-hourly,false
INT-0069,APP-0233,APP-0166,DB link,near-realtime,false
INT-0070,APP-0469,APP-0515,file/SFTP,batch-hourly,false
INT-0071,APP-0411,APP-0204,SOAP,batch-hourly,true
INT-0072,APP-0483,APP-0438,MQ,batch-daily,false
INT-0073,APP-0114,APP-0019,DB link,near-realtime,false
INT-0074,APP-0464,APP-0552,SOAP,near-realtime,false
INT-0075,APP-0513,APP-0260,SOAP,batch-daily,false
INT-0076,APP-0489,APP-0269,REST,batch-daily,false
INT-0077,APP-0230,APP-0503,MQ,batch-hourly,false
INT-0078,APP-0311,APP-0318,file/SFTP,batch-hourly,false
INT-0079,APP-0246,APP-0581,ETL batch,batch-hourly,false
INT-0080,APP-0479,APP-0120,MQ,batch-hourly,false
INT-0081,APP-0439,APP-0036,Kafka,batch-daily,false
INT-0082,APP-0535,APP-0129,SOAP,batch-daily,false
INT-0083,APP-0174,APP-0229,Kafka,batch-hourly,true
INT-0084,APP-0330,APP-0283,ETL batch,realtime,false
INT-0085,APP-0001,APP-0007,ETL batch,realtime,false
INT-0086,APP-0318,APP-0140,SOAP,batch-daily,false
INT-0087,APP-0523,APP-0070,DB link,batch-hourly,false
INT-0088,APP-0015,APP-0564,ETL batch,realtime,false
INT-0089,APP-0319,APP-0137,file/SFTP,batch-daily,false
INT-0090,APP-0016,APP-0417,file/SFTP,near-realtime,false
INT-0091,APP-0256,APP-0338,ETL batch,near-realtime,false
INT-0092,APP-0583,APP-0033,MQ,batch-hourly,false
INT-0093,APP-0125,APP-0104,SOAP,batch-daily,false
INT-0094,APP-0451,APP-0237,ETL batch,near-realtime,false
INT-0095,APP-0119,APP-0316,MQ,batch-daily,false
INT-0096,APP-0423,APP-0119,Kafka,batch-hourly,false
INT-0097,APP-0058,APP-0578,MQ,batch-daily,false
INT-0098,APP-0144,APP-0537,SOAP,near-realtime,false
INT-0099,APP-0466,APP-0297,Kafka,near-realtime,false
INT-0100,APP-0519,APP-0188,SOAP,near-realtime,false
INT-0101,APP-0246,APP-0060,ETL batch,near-realtime,false
INT-0102,APP-0373,APP-0407,Kafka,near-realtime,true
INT-0103,APP-0221,APP-0537,DB link,near-realtime,false
INT-0104,APP-0228,APP-0285,REST,realtime,false
INT-0105,APP-0262,APP-0202,ETL batch,batch-daily,false
INT-0106,APP-0463,APP-0362,DB link,batch-hourly,false
INT-0107,APP-0194,APP-0116,file/SFTP,batch-hourly,false
INT-0108,APP-0390,APP-0542,DB link,realtime,false
INT-0109,APP-0514,APP-0057,SOAP,batch-hourly,false
INT-0110,APP-0185,APP-0380,DB link,near-realtime,false
INT-0111,APP-0072,APP-0357,MQ,batch-hourly,false
INT-0112,APP-0459,APP-0561,file/SFTP,realtime,false
INT-0113,APP-0581,APP-0281,file/SFTP,batch-daily,false
INT-0114,APP-0437,APP-0299,MQ,near-realtime,false
INT-0115,APP-0239,APP-0243,MQ,realtime,false
INT-0116,APP-0317,APP-0279,file/SFTP,near-realtime,false
INT-0117,APP-0041,APP-0391,Kafka,realtime,false
INT-0118,APP-0394,APP-0037,REST,batch-hourly,true
INT-0119,APP-0115,APP-0181,file/SFTP,near-realtime,false
INT-0120,APP-0466,APP-0152,MQ,batch-hourly,true
INT-0121,APP-0142,APP-0571,SOAP,near-realtime,false
INT-0122,APP-0058,APP-0479,ETL batch,batch-hourly,false
INT-0123,APP-0277,APP-0270,MQ,batch-daily,false
INT-0124,APP-0236,APP-0413,DB link,batch-hourly,false
INT-0125,APP-0253,APP-0568,Kafka,batch-daily,false
INT-0126,APP-0042,APP-0101,Kafka,batch-hourly,false
INT-0127,APP-0532,APP-0139,MQ,batch-hourly,false
INT-0128,APP-0526,APP-0163,ETL batch,realtime,false
INT-0129,APP-0433,APP-0251,SOAP,near-realtime,false
INT-0130,APP-0127,APP-0007,SOAP,near-realtime,false
INT-0131,APP-0390,APP-0179,ETL batch,realtime,true
INT-0132,APP-0564,APP-0287,REST,near-realtime,false
INT-0133,APP-0258,APP-0412,Kafka,realtime,false
INT-0134,APP-0524,APP-0365,ETL batch,realtime,true
INT-0135,APP-0144,APP-0124,ETL batch,batch-daily,false
INT-0136,APP-0175,APP-0163,SOAP,batch-hourly,false
INT-0137,APP-0574,APP-0128,ETL batch,batch-daily,false
INT-0138,APP-0490,APP-0473,SOAP,batch-daily,false
INT-0139,APP-0327,APP-0010,MQ,realtime,false
INT-0140,APP-0142,APP-0559,SOAP,realtime,true
INT-0141,APP-0427,APP-0586,MQ,batch-daily,false
INT-0142,APP-0442,APP-0360,file/SFTP,batch-hourly,false
INT-0143,APP-0008,APP-0237,Kafka,near-realtime,false
INT-0144,APP-0093,APP-0550,Kafka,batch-hourly,false
INT-0145,APP-0420,APP-0015,SOAP,realtime,false
INT-0146,APP-0106,APP-0261,SOAP,batch-daily,false
INT-0147,APP-0459,APP-0590,file/SFTP,batch-hourly,false
INT-0148,APP-0435,APP-0183,Kafka,realtime,false
INT-0149,APP-0400,APP-0220,SOAP,batch-daily,false
INT-0150,APP-0109,APP-0207,ETL batch,batch-daily,true
INT-0151,APP-0249,APP-0492,SOAP,batch-hourly,true
INT-0152,APP-0467,APP-0037,Kafka,batch-hourly,false
