tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,persona_id,persona_name,business_area,population_count,ai_relevance,work_context
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-001,Primary care physician,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-001,Primary care physician,Ambulatory,6700,High,"Clinical documentation, inbox, care gaps, longitudinal patient history"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-002,Care manager,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-002,Care manager,Population Health,2100,High,"Care gaps, risk panels, patient outreach, chronic condition programs"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-003,Utilization management nurse,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-003,Utilization management nurse,Health Plan,890,High,"Prior authorization, medical necessity, policy evidence, appeals"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-004,Claims examiner,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-004,Claims examiner,Claims,1450,High,"Adjudication exceptions, payment integrity, edits, provider disputes"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-005,Contact center agent,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-005,Contact center agent,Member Services,3300,High,"Intent detection, benefits, claims status, next-best-action"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-006,Provider quality analyst,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-006,Provider quality analyst,Quality,520,High,"HEDIS, STAR, attribution, provider benchmarking, measure closure"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-007,Revenue cycle coder,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-007,Revenue cycle coder,Revenue Cycle,1250,High,"Charge capture, CDI, denials, coding audit, compliance"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-008,Actuary,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-008,Actuary,Finance,210,Medium,"Product margin, capitation, risk adjustment, cost-of-care"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-009,Financial analyst,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-009,Financial analyst,Finance,640,Medium,"GL, close, provider contract accruals, reconciliation"
meridian-health,Healthcare Demo,v6.0,workforce_persona,MER-PER-010,Data engineer,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-PER-010,Data engineer,Data Platform,310,High,"FHIR, EDI, claims, clinical, pharmacy pipelines, quality rules"
