function_id,function_name,domain,leadership_owner_person_id,leadership_owner_name,headcount_total_fte,headcount_onshore_fte,headcount_offshore_fte,headcount_contractor_fte,fy2026_budget_usd,fy2026_capex_share_usd,fy2026_opex_share_usd,systems_owned_count,key_systems_summary,industry_benchmark_summary,notes
function:firstcapital:data-analytics,Data & Analytics (incl. MRM analytics),IT — Data,person:firstcapital:sandra-liu,Sandra Liu (CDO),245,198,38,9,78500000,12500000,66000000,12,"Snowflake EDW, Databricks (MRM-gated), Tableau Cloud, Alteryx, Collibra, regulatory reporting platform, data science + AI platform",Bank benchmark: $70-90M for $15-20B regional super-bank with regulatory + LOB analytics depth.,Gated relationship with MRM (James Park) for AI/ML use cases.
function:firstcapital:infrastructure-cloud,Infrastructure & Cloud,IT — Infrastructure,person:firstcapital:garrison-veres,Garrison Veres,385,245,128,12,145000000,22000000,123000000,22,"AWS primary cloud, Azure secondary (M365 + Azure OpenAI), VMware on-prem private cloud, Cisco network, branch connectivity",Bank infra typically 0.7-1.0% of EE (322-460 for 46k EE).,Bank-typical heavy on-prem private cloud for core banking; 480-branch network operations.
function:firstcapital:application-services,Application Services (Core Banking + LOB platforms),IT — Applications,person:firstcapital:reginald-hawthorne-bjornsson,Reginald Hawthorne-Bjornsson,820,480,320,20,285000000,32500000,252500000,38,"FIS Profile core banking, payments (FedNow build, ACH, wires, cards via TSYS), wealth (FIS Charlotte, Pershing), commercial (treasury mgmt), trading (Calypso, Murex)",Largest IT function; banks operate complex platform portfolios.,Core banking modernization decision live in FY2026 (replace vs. modernize FIS Profile).
function:firstcapital:information-security,Information Security,IT — Cyber,person:firstcapital:tobias-aboagye,Tobias Aboagye (CISO),220,178,32,10,128000000,18500000,109500000,14,"Okta, CyberArk, CrowdStrike, Palo Alto + Prisma, Splunk SIEM, Proofpoint, Zscaler, third-party risk tooling","Bank cyber 8-12% of IT FTE (192-288 for 2,400). FFIEC-compliant.","Includes IAM, SOC, security architecture, third-party risk."
function:firstcapital:enterprise-architecture,Enterprise Architecture,IT — Architecture,person:firstcapital:manuela-ostrowski-brennan,Manuela Ostrowski-Brennan,58,52,4,2,14500000,2500000,12000000,0,"Architecture review board; LOB, data, integration, AI architecture practices",Bank EA typically 50-80 at this scale.,Owns target-state architecture for AI-enabled bank + FedNow integration + core banking decision.
function:firstcapital:digital-banking-engineering,Digital Banking Engineering,IT — Digital,person:firstcapital:eira-hauptmann-park,Eira Hauptmann-Park,245,185,55,5,78500000,12500000,66000000,6,"Q2 platform, mobile/web engineering, online banking, commercial digital banking",Bank digital eng typically 8-12% of IT FTE.,Digital adoption from 41% to 60% target.
function:firstcapital:model-risk-management,Model Risk Management,IT — Risk Tech,person:firstcapital:ferris-adekoya-park,Ferris Adekoya-Park,85,78,5,2,22500000,3500000,19000000,2,"DataRobot model registry, MRM tooling, AI/ML attestation pipeline",Bank MRM typically 60-120 FTE under SR 11-7 governance.,Critical voice for every AI program initiation.
function:firstcapital:regulatory-reporting-tech,Regulatory Reporting Tech,IT — Risk Tech,person:firstcapital:eleanora-ouellette-park,Eleanora Ouellette-Park,95,88,5,2,32500000,4500000,28000000,4,"AxiomSL ControllerView, OneSumX, Call Report platform, FFIEC tooling",Bank reg-reporting tech typically 80-120 FTE at this scale.,OCC examination response + Basel + CCAR reporting.
function:firstcapital:ai-platform-mlops,AI Platform & MLOps (under MRM),IT — AI,person:firstcapital:ramses-mwakikagile,Ramses Mwakikagile,32,28,3,1,12500000,3500000,9000000,5,"Databricks MLOps, model registry, DataRobot, Anthropic Claude via Bedrock (gated)",Bank AI platform 25-50 FTE; growth gated by MRM.,Bridge between AI program portfolio and Model Risk Management.
function:firstcapital:epmo-program-mgmt,Enterprise IT PMO & AI Portfolio,IT — Governance,person:firstcapital:jamilla-quintero-adekoya,Jamilla Quintero-Adekoya,45,42,2,1,8500000,0,8500000,2,"ServiceNow Strategic Portfolio, AI program tracking, MRM intake coordination",Bank PMO typically 35-60 FTE at this scale.,Coordinates active strategic moves portfolio.
function:firstcapital:consumer-banking-ops,Consumer Banking Operations,Business — LOB,person:firstcapital:reuben-hayes-andersen,Reuben Hayes-Andersen,2480,2080,380,20,185000000,8500000,176500000,12,"Branch ops, contact center, consumer payment ops, deposit ops, lending servicing",Bank consumer ops 5-8% of total bank FTE; large branch + contact center.,Includes 480 branches + contact center modernization in flight.
function:firstcapital:commercial-banking-ops,Commercial Banking Operations,Business — LOB,person:firstcapital:daniel-ostrowski,Daniel Ostrowski (CFO Commercial),1850,1685,145,20,142000000,6500000,135500000,8,"Treasury management ops, commercial loan origination + servicing, commercial deposits",Bank commercial ops typically 4-6% of total bank FTE.,Treasury platform refresh + FedNow corporate connectivity.
