initiative_id,milestone_id,milestone_name,due_date,status,blocker_or_condition,source_file,source_row,value_source
FC-AI-001,FC-AI-001-MS-1,charter_approved,2026-07-13,complete,,ai-control-tower/T02_project-milestones.csv,2,tenant_file
FC-AI-001,FC-AI-001-MS-2,data_ready,2026-08-09,complete,,ai-control-tower/T02_project-milestones.csv,3,tenant_file
FC-AI-002,FC-AI-002-MS-1,charter_approved,2026-07-05,complete,,ai-control-tower/T02_project-milestones.csv,4,tenant_file
FC-AI-002,FC-AI-002-MS-2,data_ready,2026-08-13,complete,,ai-control-tower/T02_project-milestones.csv,5,tenant_file
FC-AI-003,FC-AI-003-MS-1,charter_approved,2026-07-03,complete,,ai-control-tower/T02_project-milestones.csv,6,tenant_file
FC-AI-003,FC-AI-003-MS-2,data_ready,2026-08-07,complete,,ai-control-tower/T02_project-milestones.csv,7,tenant_file
FC-AI-004,FC-AI-004-MS-1,charter_approved,2026-07-27,complete,,ai-control-tower/T02_project-milestones.csv,8,tenant_file
FC-AI-004,FC-AI-004-MS-2,data_ready,2026-08-24,complete,,ai-control-tower/T02_project-milestones.csv,9,tenant_file
FC-AI-005,FC-AI-005-MS-1,charter_approved,2026-07-02,complete,,ai-control-tower/T02_project-milestones.csv,10,tenant_file
FC-AI-005,FC-AI-005-MS-2,data_ready,2026-08-22,complete,,ai-control-tower/T02_project-milestones.csv,11,tenant_file
FC-AI-006,FC-AI-006-MS-1,charter_approved,2026-07-02,complete,,ai-control-tower/T02_project-milestones.csv,12,tenant_file
FC-AI-006,FC-AI-006-MS-2,data_ready,2026-08-16,complete,,ai-control-tower/T02_project-milestones.csv,13,tenant_file
FC-AI-007,FC-AI-007-MS-1,charter_approved,2026-07-21,complete,,ai-control-tower/T02_project-milestones.csv,14,tenant_file
FC-AI-007,FC-AI-007-MS-2,data_ready,2026-08-03,complete,,ai-control-tower/T02_project-milestones.csv,15,tenant_file
FC-AI-007,FC-AI-007-MS-3,model_validated,2026-09-19,complete,,ai-control-tower/T02_project-milestones.csv,16,tenant_file
FC-AI-008,FC-AI-008-MS-1,charter_approved,2026-07-20,complete,,ai-control-tower/T02_project-milestones.csv,17,tenant_file
FC-AI-008,FC-AI-008-MS-2,data_ready,2026-08-03,complete,,ai-control-tower/T02_project-milestones.csv,18,tenant_file
FC-AI-008,FC-AI-008-MS-3,model_validated,2026-09-01,complete,,ai-control-tower/T02_project-milestones.csv,19,tenant_file
FC-AI-009,FC-AI-009-MS-1,charter_approved,2026-07-06,complete,,ai-control-tower/T02_project-milestones.csv,20,tenant_file
FC-AI-009,FC-AI-009-MS-2,data_ready,2026-08-22,complete,,ai-control-tower/T02_project-milestones.csv,21,tenant_file
FC-AI-009,FC-AI-009-MS-3,model_validated,2026-09-04,complete,,ai-control-tower/T02_project-milestones.csv,22,tenant_file
FC-AI-009,FC-AI-009-MS-4,pilot_live,2026-10-12,at_risk,Awaiting model-risk validation and source evidence gate,ai-control-tower/T02_project-milestones.csv,23,tenant_file
FC-AI-009,FC-AI-009-MS-5,scale_gate,2026-11-23,planned,Awaiting model-risk validation and source evidence gate,ai-control-tower/T02_project-milestones.csv,24,tenant_file
FC-AI-010,FC-AI-010-MS-1,charter_approved,2026-07-13,complete,,ai-control-tower/T02_project-milestones.csv,25,tenant_file
FC-AI-010,FC-AI-010-MS-2,data_ready,2026-08-22,complete,,ai-control-tower/T02_project-milestones.csv,26,tenant_file
FC-AI-010,FC-AI-010-MS-3,model_validated,2026-09-20,complete,,ai-control-tower/T02_project-milestones.csv,27,tenant_file
FC-AI-010,FC-AI-010-MS-4,pilot_live,2026-10-27,cancelled,No measurable value after pilot; sunset and reallocate budget,ai-control-tower/T02_project-milestones.csv,28,tenant_file
FC-AI-011,FC-AI-011-MS-1,charter_approved,2026-07-15,complete,,ai-control-tower/T02_project-milestones.csv,29,tenant_file
FC-AI-011,FC-AI-011-MS-2,data_ready,2026-08-03,complete,,ai-control-tower/T02_project-milestones.csv,30,tenant_file
FC-AI-011,FC-AI-011-MS-3,model_validated,2026-09-01,complete,,ai-control-tower/T02_project-milestones.csv,31,tenant_file
FC-AI-011,FC-AI-011-MS-4,pilot_live,2026-10-01,planned,Awaiting model-risk validation and source evidence gate,ai-control-tower/T02_project-milestones.csv,32,tenant_file
FC-AI-012,FC-AI-012-MS-1,charter_approved,2026-07-28,complete,,ai-control-tower/T02_project-milestones.csv,33,tenant_file
FC-AI-012,FC-AI-012-MS-2,data_ready,2026-08-06,complete,,ai-control-tower/T02_project-milestones.csv,34,tenant_file
FC-AI-012,FC-AI-012-MS-3,model_validated,2026-09-18,complete,,ai-control-tower/T02_project-milestones.csv,35,tenant_file
FC-AI-013,FC-AI-013-MS-1,charter_approved,2026-07-25,complete,,ai-control-tower/T02_project-milestones.csv,36,tenant_file
