vendor_id,vendor_name,scope,category,annual_spend_bucket,performance_score,risk_score,financial_health_rating,strategic_alignment_rating,recent_issues_summary,escalation_path,owner_person_id
vendor:firstcapital:fis-global,FIS Global,system,Core Banking + Wealth,Tier 1 ($100M+),3.6,4.2,A-,High,Core banking dependency; advisor desktop + trust depth; replace-vs-modernize discussion live in FY2026.,person:firstcapital:patricia-huang,person:firstcapital:nadia-rahman
vendor:firstcapital:microsoft,Microsoft,system,Productivity + Cloud + AI,Tier 1 ($50-100M),4.4,2.8,A+,High,M365 anchor; Azure secondary cloud; Copilot pilot under MRM oversight.,person:firstcapital:patricia-huang,person:firstcapital:nadia-rahman
vendor:firstcapital:amazon-web-services,Amazon Web Services,system,Cloud Platform,Tier 1 ($20-50M),4.4,2.4,A+,High,Primary public cloud; data + analytics + selected production. EDP renegotiation 2027.,person:firstcapital:phaedra-andersen,person:firstcapital:ethan-brooks
vendor:firstcapital:oracle,Oracle,system,ERP + Database,Tier 2 ($20-50M),3.8,3.2,A,Medium,Oracle ERP Cloud + on-prem databases; database licensing concentration risk.,person:firstcapital:rashid-eldridge,person:firstcapital:ethan-brooks
vendor:firstcapital:workday,Workday,system,HCM + Finance Planning,Tier 2 ($10-20M),4.2,2.4,A,High,HCM + payroll + Adaptive Planning; healthy.,person:firstcapital:rosalind-castellanos,person:firstcapital:nadia-rahman
vendor:firstcapital:servicenow,ServiceNow,system,Enterprise Platform,Tier 2 ($10-20M),4.4,2.2,A+,High,"ITSM, SecOps, GRC, HR Service Delivery. Expanding footprint.",person:firstcapital:cassidy-olabode-park,person:firstcapital:ethan-brooks
vendor:firstcapital:salesforce,Salesforce,system,CRM + Marketing,Tier 2 ($10-20M),3.9,2.6,A,High,Financial Services Cloud + Tableau Cloud + Marketing Cloud (Adobe primary).,person:firstcapital:priya-mehta,person:firstcapital:nadia-rahman
vendor:firstcapital:snowflake,Snowflake,system,Data Platform,Tier 3 ($5-10M),4.3,2.0,A,High,Enterprise data cloud; LOB analytics platform.,person:firstcapital:bjorn-ngangole,person:firstcapital:ethan-brooks
vendor:firstcapital:aci-worldwide,ACI Worldwide,system,Payments,Tier 3 ($5-10M),3.6,3.4,A-,Medium,ACH engine; modernization decisions paired with FedNow program.,person:firstcapital:kira-tanaka-riveras,person:firstcapital:ethan-brooks
vendor:firstcapital:tsys,TSYS (Global Payments),system,Cards,Tier 3 ($10-20M),3.8,2.8,A-,High,Card issuing + auth/clearing/settlement.,person:firstcapital:aalia-subramaniam,person:firstcapital:ethan-brooks
