workbook,role,workstreams,canonical_targets,had_start_here_before,start_here_named_workstream_before,had_review_queue_before,had_sme_review_fields_before,sheets_before,sheets_after,recommended_action,applied,sha256_before,sha256_after
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/00_enterprise_profile.xlsx,canonical-dimension template,WS01 Enterprise Strategy and Operating Model,00_enterprise_profile.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,9f8220d5126e2e6f7f31b50910f23effba4d6dc4ff9a7465d3828d223b4c757f,300b052522fea1ccb93fbc523163c4b366e54f872d1964580eb91b50a299ccf8
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/01_business_functions.xlsx,canonical-dimension template,"WS01 Enterprise Strategy and Operating Model | WS02 Organization, Workforce, and Decision Rights | WS09 Operations, KPIs, and Process Evidence",01_business_functions.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,5e607fe1d49187b734613f3e98dc9759b8a234a7fe1348b40991866abe8bffee,45be7fe96932ed7c9ad6c9b964df0a778d04cbe7cdfdbe65a3238de839349f40
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/02_org_ownership.xlsx,canonical-dimension template,"WS02 Organization, Workforce, and Decision Rights",02_org_ownership.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,9e475e59b3a2db96773f18bc7f2b1dd09b0f9c1e1916bc7e1ffef004f7f7862b,a37416807d8d08190e5b5af4f6c7495326aaf9354e062de3237ccc253dc81d3f
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/03_workforce_roles.xlsx,canonical-dimension template,"WS02 Organization, Workforce, and Decision Rights",03_workforce_roles.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,7610a1c3960b6b4fb087f01bb2b9d164b2e2fea89a7d9864f271f03d0dc30575,436677aa1db121fe63376c20c052036bff0142b22c85042dd857120fae057849
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/04_applications_systems.xlsx,canonical-dimension template,"WS03 Applications, Infrastructure, and Architecture | WS08 Risk, Security, Controls, and Compliance",04_applications_systems.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations | Data Platform Segments | Use Case Boundary,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations | Data Platform Segments | Use Case Boundary,Refresh the governed Start Here sheet in place.,applied,f6d0cd51812f8ccf8a6e8551628ee8ebe77adedb84ffd08dae11dcc517aa5df8,8ce7eea95a42dce7e5828c291649873c43a74f757e37ab893435da17e6b5efc8
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/05_data_assets_integrations.xlsx,canonical-dimension template,"WS04 Data, Integration, and Analytics",05_data_assets_integrations.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,907b4b3cd879a8747d92e0ebf5c3b3f057a7a457b1db9707290195d8b4401c7b,07e94492cc8afcfbce59c218f05cffe1c35e039b12f947c9ae826cb5a2e33c96
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/06_infrastructure_platforms.xlsx,canonical-dimension template,"WS03 Applications, Infrastructure, and Architecture | WS04 Data, Integration, and Analytics",06_infrastructure_platforms.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations | CMDB Mapping,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations | CMDB Mapping,Refresh the governed Start Here sheet in place.,applied,79acd0cdbde25d95b2db32f16d65e0dc789e6691f8d0a890af36160a37679dbf,b1c63718c2ae68d295c68e360f408a5aebcdd9c114417ef7968b6afc565f67e1
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/07_vendors_contracts.xlsx,canonical-dimension template,"WS05 Vendors, Contracts, and Procurement | WS06 Finance, Spend, and Value",07_vendors_contracts.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,24a1f41b5d04f2026ccb2f4bd303890cf7a2c773f7627b873a88b335cf2aee27,b0f9a08f10aee76f09694db8786063a00cb0753f9f56779568dc742977d9bdd5
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/08_it_budget_spend_value.xlsx,canonical-dimension template,"WS05 Vendors, Contracts, and Procurement | WS06 Finance, Spend, and Value",08_spend_value.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations | Tower Views,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations | Tower Views,Refresh the governed Start Here sheet in place.,applied,ebee41701e01432d70aa4e9eb5a9c042f0b7560250f5b6a559baac766a6b7d61,ff57aed30ce3512c91b239350351780570084901bbe89f613b4b8b3d1a2150a2
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/09_programs_initiatives.xlsx,canonical-dimension template,"WS01 Enterprise Strategy and Operating Model | WS06 Finance, Spend, and Value | WS07 Programs, Portfolio, and Change",09_programs_initiatives.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,c0976660fe6db1b4bce64a6f0462ab9811a7d2ad5b23b72fe8ada3adfe8027fb,d15f278a8c14669ca7e57c5808161b020a61328b45f80dd6776ed6fb4f6c9e0d
