tenant_key,leader_id,leader_name,role,reports_to_role,organization_area,source_basis,source_file,confidence,caveat
meridian-health,MR-LEADER-01,Meridian Leader 1,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-CLINICAL,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-02,Meridian Leader 2,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-RC,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-03,Meridian Leader 3,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-ANC,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-04,Meridian Leader 4,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-OR-ED,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-05,Meridian Leader 5,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-INTEGRATION,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-06,Meridian Leader 6,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-INFRA,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-07,Meridian Leader 7,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-SECURITY,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-08,Meridian Leader 8,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-DATA-AI,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-09,Meridian Leader 9,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-DIGITAL,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-10,Meridian Leader 10,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-POPHEALTH,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-11,Meridian Leader 11,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-RESEARCH,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-12,Meridian Leader 12,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-CORP-IT,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-13,Meridian Leader 13,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-WORKFORCE,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-14,Meridian Leader 14,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-IMAGING,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
