tenant_key,node_id,business_label,node_type,source_file,readable_summary,confidence,caveat
meridian-health,MER-IT-001,Office of CDIO,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-002,Epic and Clinical Systems,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-003,Health Plan Core and Claims Platforms,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-004,Data Platform Migration Office,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-005,Integration and Interoperability,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-006,Contact Center and CRM Platforms,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-007,"Finance, ERP and Reporting",org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-008,"Security, Privacy and Resilience",org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-009,Cloud and Infrastructure,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
meridian-health,MER-IT-010,ServiceNow and IT Operations,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
