tenant_key,map_id,vendor_id,vendor_name,contract_or_scope,annual_value_usd,renewal_date,supported_system_id,supported_system_name,owner_role,source_basis,confidence,caveat
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-1,FC-VEN-001,FIS,cards_payments,16300000,2026-07-06,FC-APP-001,Fiserv Core Deposits,Treasurer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-2,FC-VEN-002,Fiserv,core_platform,21200000,2026-04-15,FC-APP-001,Fiserv Core Deposits,Chief Financial Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-3,FC-VEN-003,Temenos,cards_payments,6500000,2026-12-13,FC-APP-004,Temenos Account Master,Chief Risk Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-4,FC-VEN-004,Thought Machine,channels_crm,17500000,2026-12-23,FC-APP-002,Thought Machine Loan Servicing,Head of Consumer Banking,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-5,FC-VEN-005,TSYS,channels_crm,26200000,2026-05-02,FC-APP-031,TSYS Tokenization Vault,Head of Cards & Payments,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-6,FC-VEN-006,Mastercard,risk_aml_ai,2200000,2026-07-23,FC-APP-029,Mastercard Rewards Engine,Chief Risk Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-7,FC-VEN-007,Visa DPS,finance_erp,9000000,2026-11-02,FC-APP-027,Visa DPS Card Authorization,Head of Commercial Banking,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-8,FC-VEN-008,Marqeta,finance_erp,18300000,2026-09-06,FC-APP-032,Marqeta Dispute Manager,Head of Wealth Management,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-9,FC-VEN-009,ACI Worldwide,data_ai_platform,24300000,2026-02-26,FC-APP-052,ACI Worldwide ISO 20022 Hub,Head of Commercial Banking,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-10,FC-VEN-010,Volante,finance_erp,12800000,2026-02-02,FC-APP-053,Volante Bill Pay,Chief Risk Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-11,FC-VEN-011,NICE Actimize,cards_payments,19600000,2026-07-22,FC-APP-073,NICE Actimize KYC Orchestrator,Head of Commercial Banking,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-12,FC-VEN-012,SAS,infra_security,19300000,2026-11-24,FC-APP-070,SAS Sanctions Screening,Head of Consumer Banking,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-13,FC-VEN-013,Feedzai,infra_security,13300000,2026-06-04,FC-APP-083,Feedzai Fraud Scoring 3,Treasurer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-14,FC-VEN-014,Featurespace,channels_crm,15700000,2026-04-20,FC-APP-069,Featurespace Transaction Monitoring,Head of Consumer Banking,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-15,FC-VEN-015,Moody's,finance_erp,2300000,2026-01-19,FC-APP-090,Moody's Risk Rating,Head of Wealth Management,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-16,FC-VEN-016,Numerix,data_ai_platform,10900000,2026-05-23,FC-APP-088,Numerix Market Risk VaR,Head of Commercial Banking,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-17,FC-VEN-017,Murex,channels_crm,7200000,2026-12-10,FC-APP-092,Murex CCAR Workbench,Treasurer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
first-capital-financial,first-capital-financial-VENDOR-SYSTEM-18,FC-VEN-018,Calypso,data_ai_platform,27800000,2026-07-16,FC-APP-105,Calypso FX Trading,Chief Financial Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
