tenant_key,check,expected,observed,status,detail
skyharbor-air,source template file count,19,19,pass,
skyharbor-air,source row threshold,>=4000,4840,pass,
skyharbor-air,canonical records manifest match,4840,4840,pass,
skyharbor-air,canonical facts manifest match,9680,9680,pass,
skyharbor-air,facts have evidence ids,0,0,pass,
skyharbor-air,no orphan canonical facts,0,0,pass,
skyharbor-air,evidence registry count,140,140,pass,
skyharbor-air,graph node threshold,>=1500,1600,pass,
skyharbor-air,graph edge threshold,>=2500,2600,pass,
skyharbor-air,no orphan graph edges,0,0,pass,
skyharbor-air,gap threshold,>=2000,2100,pass,
skyharbor-air,retrieval chunk threshold,>=4000,4600,pass,
skyharbor-air,retrieval chunks candidate-preview only,0,0,pass,
skyharbor-air,Home dimensions,19,19,pass,
skyharbor-air,Tower approved programs,12,12,pass,
skyharbor-air,Tower candidate AI opportunities,12,12,pass,
skyharbor-air,Moves candidate opportunities,12,12,pass,
skyharbor-air,Source vendor contexts,12,12,pass,
skyharbor-air,no Azure/Postgres mutation,false,false,pass,
skyharbor-air,no active pointer update,false,false,pass,
