budget_line_id,category,owner_team,annual_budget_usd,spend_type,capex_usd,opex_usd,labor_usd,vendor_usd,fiscal_year,notes
FCF-BDG-001,Core Banking Run & Sustain,TEAM-FCF-CORE,98000000,opex,0,98000000,78000000,20000000,2026,FIS Horizon + IBM mainframe + DXC AMS
FCF-BDG-002,Digital & Payments Investment,TEAM-FCF-DIGITAL,72000000,mixed,28000000,44000000,18000000,26000000,2026,"Mobile banking, FedNow/RTP, account opening"
FCF-BDG-003,Risk & Compliance Technology,TEAM-FCF-RISK,58000000,opex,0,58000000,22000000,36000000,2026,"NICE Actimize, Fenergo, regulatory tooling"
FCF-BDG-004,Data & AI Platform,TEAM-FCF-DATA,55000000,mixed,20000000,35000000,14000000,21000000,2026,"Snowflake, Databricks, ML engineering"
FCF-BDG-005,Cloud & Infrastructure,TEAM-FCF-CLOUD,48000000,opex,0,48000000,8000000,40000000,2026,"AWS, Azure, colocation; DC exit in progress"
FCF-BDG-006,Commercial Banking Technology,TEAM-FCF-COMMLEND,42000000,mixed,12000000,30000000,12000000,18000000,2026,"nCino, Hogan migration, credit technology"
FCF-BDG-007,Cybersecurity,TEAM-FCF-CYBER,38000000,opex,0,38000000,6000000,32000000,2026,"Splunk, CrowdStrike, IAM, pen testing"
FCF-BDG-008,Regulatory Remediation PMO,TEAM-FCF-REG,28000000,opex,0,28000000,4000000,24000000,2026,OCC MRA remediation; BSA/AML enhancement
FCF-BDG-009,Finance & ERP Systems,TEAM-FCF-ERP,24000000,opex,0,24000000,6000000,18000000,2026,"SAP ECC, Workday; S/4HANA migration TBD"
FCF-BDG-010,AI Program Investments,TEAM-FCF-DATA,35000000,capex,35000000,0,4000000,8000000,2026,"Copilot, AML AI, fraud graph, credit automation"
