tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_adapter_id,source_adapter_name,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,interview_id,interview_group,priority_theme,decision_supported,evidence_needed,system_or_vendor_mentioned,data_domain_mentioned,key_initiative,known_challenge,use_case,data_domain,systems,value_hypothesis,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner,caveat,generated_fields,generation_basis,inherited_line_of_business,inherited_function_tier,inherited_segment_hops
meridian-health,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,,602,On-site,Vendor-supplied,,,No certified medallion architecture,,,,medium,,MER-SA07-03_WORKFORCE_ROLES-0001,MER-HS,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0001,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,strategy,Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,Epic Clarity,EMR clinical,Unified clinical + claims lakehouse,No certified medallion architecture,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,,215,On-site,Employee,,,No certified semantic layer,,,,high,,MER-SA07-03_WORKFORCE_ROLES-0002,MER-HS,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0002,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,operating model,Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,SQL Server reporting marts,coding,Governed data foundation for AI / LLM automation,No certified semantic layer,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: Call center optimization,,840,On-site,Vendor-supplied,,,Intent taxonomy not certified,,,,high,,MER-SA07-03_WORKFORCE_ROLES-0003,MER-HS,CEO / Enterprise Strategy: Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0003,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,vendor,Call center optimization phase-gate and evidence-readiness decision,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,Claims administration platform,claims status,Call center optimization,Intent taxonomy not certified,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: Provider quality and performance,,733,Remote,Contractor,,,Near-real-time quality layer not proven,,,,high,,MER-SA07-03_WORKFORCE_ROLES-0004,MER-HS,CEO / Enterprise Strategy: Provider quality and performance,"CEO / Enterprise Strategy says Provider quality and performance is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0004,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,platform,Provider quality and performance phase-gate and evidence-readiness decision,Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven,Power BI reporting estate,care gaps,Provider quality and performance,Near-real-time quality layer not proven,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: End-to-end cost transparency,,675,Hybrid,Contractor,,,Provider contract terms not digitized in governed form,,,,medium,,MER-SA07-03_WORKFORCE_ROLES-0005,MER-HS,CEO / Enterprise Strategy: End-to-end cost transparency,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but data is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0005,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,data,End-to-end cost transparency phase-gate and evidence-readiness decision,Provider contract terms not digitized in governed form; Claims and GL calendar alignment not proven; Cost allocation rules not loaded; Margin semantic model not certified,Claims administration platform,cost-of-care,End-to-end cost transparency,Provider contract terms not digitized in governed form,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: Payment integrity and leakage reduction,,752,Remote,Employee,,,Provider entity resolution not proven,,,,high,,MER-SA07-03_WORKFORCE_ROLES-0006,MER-HS,CEO / Enterprise Strategy: Payment integrity and leakage reduction,"CEO / Enterprise Strategy says Payment integrity and leakage reduction is promising, but modernization is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0006,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,modernization,Payment integrity and leakage reduction phase-gate and evidence-readiness decision,Rules and model lineage not governed; Provider entity resolution not proven; Investigation workflow evidence not loaded; Recovery realization tracking not loaded,SAS analytics estate,claims anomalies,Payment integrity and leakage reduction,Provider entity resolution not proven,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: Automated close and reporting,,685,Hybrid,Vendor-supplied,,,Close workflow integration not proven,,,,high,,MER-SA07-03_WORKFORCE_ROLES-0007,MER-HS,CEO / Enterprise Strategy: Automated close and reporting,"CEO / Enterprise Strategy says Automated close and reporting is promising, but AI readiness is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0007,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,AI readiness,Automated close and reporting phase-gate and evidence-readiness decision,Manual reporting maintenance load; Certified finance semantic layer not loaded; Close workflow integration not proven; Metric governance not formalized,Tableau reporting estate,close process,Automated close and reporting,Close workflow integration not proven,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,,191,Hybrid,Employee,,,AWS/Databricks foundation not ready,,,,high,,MER-SA07-03_WORKFORCE_ROLES-0008,MER-HS,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but risk is not decision-grade until Claims administration platform evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0008,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,risk,Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,Claims administration platform,pharmacy,Unified clinical + claims lakehouse,AWS/Databricks foundation not ready,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,,836,Hybrid,Vendor-supplied,,,No formal data governance,,,,medium,,MER-SA07-03_WORKFORCE_ROLES-0009,MER-HS,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but metrics is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0009,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,metrics,Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,Epic Clarity,semantic layer,Governed data foundation for AI / LLM automation,No formal data governance,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
meridian-health,CEO / Enterprise Strategy: Call center optimization,,182,On-site,Vendor-supplied,,,Real-time integration not proven,,,,high,,MER-SA07-03_WORKFORCE_ROLES-0010,MER-HS,CEO / Enterprise Strategy: Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but value is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",03_workforce_roles,MER-SA07-INT-EVID-0010,candidate,executive_interview,SA07,SA07 Executive Interview Insights,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_phi_free_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,MER-INT-01,CEO / Enterprise Strategy,value,Call center optimization phase-gate and evidence-readiness decision,Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,CRM / member case management,next-best-action content,Call center optimization,Real-time integration not proven,,,,,,,,,,,,,,,,,,,,,,,role_count;location_model;employment_type,synthetic_demo_attribute_generation_2026_08_not_client_evidence,UNDECLARED,UNDECLARED,
