Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
PLAY-0001,MET-0078,Digital-native peer,Digital-native peer automated ancillary revenue per pax,Ancillary Revenue per Pax (Maintenance),+1.7 $,crew-ops AI|predictive maintenance|computer-vision bag tracking,Platform Consolidation,Commercial
PLAY-0002,MET-0112,Digital-native peer,Digital-native peer re-engineered turnaround time,Turnaround Time (Customer),-2.3 minutes,generative customer assistant|digital twin of operations|real-time ops data|network optimization solver,Generative Assist,Operations
PLAY-0003,MET-0131,Top-quartile carrier,Top-quartile carrier digitized safety incident rate,Safety Incident Rate (Corporate),-0.8 rate,dynamic pricing engine|network optimization solver|loyalty personalization engine|automated revenue accounting,Self-Service Shift,Operations
PLAY-0004,MET-0057,LCC archetype,LCC archetype digitized net promoter score,Net Promoter Score (Pax) (Operations),+1.0 score,network optimization solver|predictive maintenance|real-time ops data|self-service rebooking,Self-Service Shift,Customer
PLAY-0005,MET-0142,Flag-carrier peer,Flag-carrier peer consolidated turnaround time,Turnaround Time (Corporate),-1.5 minutes,crew-ops AI|self-service rebooking|rebooking automation,Generative Assist,Operations
PLAY-0006,MET-0123,Top-quartile carrier,Top-quartile carrier deployed AI for employee attrition rate,Employee Attrition Rate (Corporate),-2.2 %,self-service rebooking|demand-sensing ML|generative customer assistant|crew-ops AI,Platform Consolidation,Workforce
PLAY-0007,MET-0173,Best-in-class operator,Best-in-class operator re-engineered cargo yield,Cargo Yield (Finance),+2.7 $,rebooking automation|automated revenue accounting|dynamic pricing engine|crew-ops AI,Generative Assist,Cargo
PLAY-0008,MET-0124,Cross-industry leader,Cross-industry leader deployed AI for forecast accuracy,Forecast Accuracy (Corporate),+4.1 %,crew-ops AI|demand-sensing ML|fuel-burn optimization,AI Optimization,Commercial
PLAY-0009,MET-0161,Flag-carrier peer,Flag-carrier peer digitized safety incident rate,Safety Incident Rate (Finance),-3.1 rate,digital twin of operations|demand-sensing ML|dynamic pricing engine,Real-time Decisioning,Operations
PLAY-0010,MET-0026,Top-quartile carrier,Top-quartile carrier deployed AI for loyalty member growth,Loyalty Member Growth,+4.4 %,demand-sensing ML|predictive maintenance,AI Optimization,Loyalty
PLAY-0011,MET-0090,Digital-native peer,Digital-native peer deployed AI for disruption recovery time,Disruption Recovery Time (Maintenance),-3.7 hours,rebooking automation|predictive maintenance|dynamic pricing engine,Self-Service Shift,Operations
PLAY-0012,MET-0027,Best-in-class operator,Best-in-class operator digitized net promoter score,Net Promoter Score (Pax),+2.7 score,rebooking automation|automated revenue accounting|computer-vision bag tracking,Generative Assist,Customer
PLAY-0013,MET-0005,Top-quartile carrier,Top-quartile carrier optimized ebit margin,EBIT Margin,+1.5 %,generative customer assistant|crew-ops AI|cargo capacity optimizer|dynamic pricing engine,Automation,Finance
