initiative_id,title,committed_usd,projected_value_usd,sentinel_posture
INIT-SAP-ERP-FUTURE,SAP ERP Future Decision,14000000,0,HOLD
INIT-COMMERCE-OPT,Commerce Cloud Optimization + Einstein Activation,6800000,18500000,CONTINUE
INIT-CDP-MIGRATION-PH2,CDP Migration Phase 2,4600000,7200000,RESTRUCTURE
INIT-O9-COMPLETION,o9 Completion,5200000,11000000,RESTRUCTURE
INIT-FORECAST-AI-V2,Demand Forecasting AI v2,3800000,14200000,CONTINUE
INIT-LOYALTY-REPLACEMENT,Punchh Loyalty Replacement,2100000,0,KILL
INIT-MAINFRAME-MOD-ASSESS,Mainframe Modernization Assessment,1400000,0,KILL
INIT-AS400-SUNSET,AS-400 Sunset,890000,0,KILL
INIT-AI-PRODUCTIVITY,AI Productivity Program,1800000,8200000,CONTINUE
INIT-STORE-MOD,Store Associate Mobile Refresh,6200000,15600000,CONTINUE
INIT-RETURNS-MOD,Returns Workflow Modernization,2900000,6900000,CONTINUE
INIT-PRICING-MOD,Pricing Engine Modernization,3600000,9800000,CONTINUE
INIT-INVENTORY-VIS,Real-Time Inventory Visibility,4800000,21000000,CONTINUE_WITH_WARNING
INIT-FINOPS,FinOps / Cloud Cost Optimization,1500000,6400000,CONTINUE
INIT-WORKDAY-PHASE-2,Workday HCM Phase 2,4200000,9800000,CONTINUE
INIT-SERVICENOW-MATURITY,ServiceNow ITSM Maturity,1600000,5100000,CONTINUE
INIT-IDENTITY-MOD,Identity Modernization,2200000,7400000,CONTINUE
INIT-SDWAN-REFRESH,SD-WAN Refresh,5100000,18000000,CONTINUE
INIT-SECURITY-CONSOL,Security Stack Consolidation,3400000,8400000,CONTINUE
INIT-WIPRO-AMS-OPT,SAP ECC AMS Optimization,900000,5800000,CONTINUE
INIT-MARKETPLACES,Marketplaces Expansion,2700000,12800000,CONTINUE
INIT-CUSTOMER-SERVICE-AI,Customer Service AI,3300000,9600000,CONTINUE_WITH_WARNING
INIT-PIM,PIM Implementation,2400000,7600000,CONTINUE
INIT-MMM,Marketing Mix Modeling Modernization,1800000,6400000,CONTINUE
INIT-PERSONALIZATION,Personalization Engine Refresh,2600000,11200000,CONTINUE
INIT-SEARCH,Product Search Modernization,1200000,5200000,CONTINUE
INIT-TAX-COMPLIANCE,Tax + Compliance Modernization,1300000,4200000,CONTINUE
INIT-RETURNS-FRAUD,Returns Fraud Detection,1900000,8800000,CONTINUE
INIT-UKG-WFM,Workforce Management Modernization,3600000,10400000,CONTINUE
INIT-SUSTAINABILITY,Sustainability Reporting Platform,1100000,3700000,CONTINUE
