"route","classification","confidence","kind","app_group","ref_count","nav_ref_count","source_path","reasons"
"/","keep","high","public-root","public","33","2","src/app/(public)/page.tsx","primary app route"
"/","keep","high","public-root","root","33","2","src/app/page.tsx","primary app route"
"/access","keep","high","access","root","8","0","src/app/access/page.tsx","auth/access route"
"/access-denied","keep","high","access","root","5","0","src/app/access-denied/page.tsx","auth/access route"
"/admin","keep","high","admin-internal","maestro","489","11","src/app/(maestro)/admin/page.tsx","primary app route"
"/admin/agent-readiness","keep","high","admin-internal","maestro","41","1","src/app/(maestro)/admin/agent-readiness/page.tsx","referenced by shell/navigation config"
"/admin/audit","keep","medium","admin-internal","maestro","44","0","src/app/(maestro)/admin/audit/page.tsx","has detected code/docs/test references"
"/admin/candidate-preview","keep","medium","admin-internal","maestro","14","0","src/app/(maestro)/admin/candidate-preview/page.tsx","has detected code/docs/test references"
"/admin/cfo-attestation","keep","medium","admin-internal","maestro","2","0","src/app/(maestro)/admin/cfo-attestation/page.tsx","has detected code/docs/test references"
"/admin/compliance","keep","high","admin-internal","maestro","13","1","src/app/(maestro)/admin/compliance/page.tsx","referenced by shell/navigation config"
"/admin/connectors","keep","high","admin-internal","maestro","87","1","src/app/(maestro)/admin/connectors/page.tsx","referenced by shell/navigation config"
"/admin/context-layer","keep","medium","admin-internal","maestro","32","0","src/app/(maestro)/admin/context-layer/page.tsx","has detected code/docs/test references"
"/admin/context-layer/approval-queue","keep","medium","admin-internal","maestro","10","0","src/app/(maestro)/admin/context-layer/approval-queue/page.tsx","has detected code/docs/test references"
"/admin/context-layer/evidence-map","keep","medium","admin-internal","maestro","1","0","src/app/(maestro)/admin/context-layer/evidence-map/page.tsx","has detected code/docs/test references"
"/admin/context-layer/syncs","keep","medium","admin-internal","maestro","3","0","src/app/(maestro)/admin/context-layer/syncs/page.tsx","has detected code/docs/test references"
"/admin/context-layer/templates","keep","medium","admin-internal","maestro","11","0","src/app/(maestro)/admin/context-layer/templates/page.tsx","has detected code/docs/test references"
