initiative_id,initiative_name,business_area,owner_role,stage,promised_benefit_usd,measured_value_usd,value_confidence,status,primary_blocker,evidence_id,source_file,source_row,value_source
FC-AI-001,Real-time scam & APP fraud detection,Financial Crimes,Chief Risk Officer,ideate,47000000,0,low,kill_candidate,No measurable value after pilot; sunset and reallocate budget,FC-EVID-001,ai-control-tower/T00_ai-investment-super-template.csv,2,tenant_file
FC-AI-002,AML alert triage & false-positive reduction,Financial Crimes,BSA/AML Officer,ideate,12000000,0,high,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-002,ai-control-tower/T00_ai-investment-super-template.csv,3,tenant_file
FC-AI-003,SAR narrative drafting copilot,Financial Crimes,BSA/AML Officer,ideate,38000000,0,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-003,ai-control-tower/T00_ai-investment-super-template.csv,4,tenant_file
FC-AI-004,Contact center next-best-action assist,Customer Care,Head of Customer Experience,ideate,41000000,0,medium,restructure,Scope too broad; re-baseline against a single high-value workflow,FC-EVID-004,ai-control-tower/T00_ai-investment-super-template.csv,5,tenant_file
FC-AI-005,Commercial credit spreading automation,Commercial Banking,Head of Commercial Banking,ideate,27000000,0,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-005,ai-control-tower/T00_ai-investment-super-template.csv,6,tenant_file
FC-AI-006,Customer 360 lakehouse foundation,"Data, Analytics & AI",Chief Data & Analytics Officer,ideate,30000000,0,high,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-006,ai-control-tower/T00_ai-investment-super-template.csv,7,tenant_file
FC-AI-007,Certified semantic layer for KPIs,"Data, Analytics & AI",Chief Data & Analytics Officer,design,17000000,96687,medium,false_positive,Reported automation not reproducible in evidence; reclassify,FC-EVID-007,ai-control-tower/T00_ai-investment-super-template.csv,8,tenant_file
FC-AI-008,Engineering code-assist productivity,Technology,Chief Information Officer,design,37000000,1208161,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-008,ai-control-tower/T00_ai-investment-super-template.csv,9,tenant_file
FC-AI-009,Regulatory close & reconciliation automation,Finance,Chief Financial Officer,design,11000000,416844,high,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-009,ai-control-tower/T00_ai-investment-super-template.csv,10,tenant_file
FC-AI-010,Cards dispute & chargeback automation,Cards & Payments,Head of Cards & Payments,design,26000000,166217,low,kill_candidate,No measurable value after pilot; sunset and reallocate budget,FC-EVID-010,ai-control-tower/T00_ai-investment-super-template.csv,11,tenant_file
FC-AI-011,Wealth advisor proposal generation,Wealth Management,Head of Wealth Management,design,43000000,2158702,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-011,ai-control-tower/T00_ai-investment-super-template.csv,12,tenant_file
FC-AI-012,Payments exception repair automation,Operations,Chief Operating Officer,design,14000000,500324,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-012,ai-control-tower/T00_ai-investment-super-template.csv,13,tenant_file
FC-AI-013,Credit risk model SR 11-7 evidence automation,Risk,Chief Risk Officer,design,44000000,1841337,medium,restructure,Scope too broad; re-baseline against a single high-value workflow,FC-EVID-013,ai-control-tower/T00_ai-investment-super-template.csv,14,tenant_file
FC-AI-014,KYC refresh & onboarding intelligence,Financial Crimes,BSA/AML Officer,mobilize,34000000,3637080,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-014,ai-control-tower/T00_ai-investment-super-template.csv,15,tenant_file
FC-AI-015,Collections prioritization optimization,Operations,Chief Operating Officer,mobilize,18000000,2126838,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-015,ai-control-tower/T00_ai-investment-super-template.csv,16,tenant_file
FC-AI-016,Branch banker knowledge assist,Consumer Banking,Head of Consumer Banking,mobilize,21000000,428036,medium,false_positive,Reported automation not reproducible in evidence; reclassify,FC-EVID-016,ai-control-tower/T00_ai-investment-super-template.csv,17,tenant_file
FC-AI-017,Marketing personalization & retention,Consumer Banking,Head of Consumer Banking,mobilize,30000000,3321334,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-017,ai-control-tower/T00_ai-investment-super-template.csv,18,tenant_file
FC-AI-018,Treasury liquidity forecasting,Treasury,Treasurer,mobilize,43000000,5952785,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-018,ai-control-tower/T00_ai-investment-super-template.csv,19,tenant_file
FC-AI-019,Complaint & fair-lending surveillance NLP,Compliance,Chief Compliance Officer,mobilize,20000000,449702,low,kill_candidate,No measurable value after pilot; sunset and reallocate budget,FC-EVID-019,ai-control-tower/T00_ai-investment-super-template.csv,20,tenant_file
FC-AI-020,Mainframe code modernization assist,Technology,Chief Information Officer,mobilize,23000000,2725054,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-020,ai-control-tower/T00_ai-investment-super-template.csv,21,tenant_file
FC-AI-021,Document intelligence for commercial onboarding,Commercial Banking,Head of Commercial Banking,mobilize,43000000,4737000,high,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-021,ai-control-tower/T00_ai-investment-super-template.csv,22,tenant_file
FC-AI-022,Sanctions screening tuning,Financial Crimes,BSA/AML Officer,pilot,41000000,9951623,medium,restructure,Scope too broad; re-baseline against a single high-value workflow,FC-EVID-022,ai-control-tower/T00_ai-investment-super-template.csv,23,tenant_file
FC-AI-023,Statement & disclosure generation copilot,Operations,Chief Operating Officer,pilot,45000000,12287491,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-023,ai-control-tower/T00_ai-investment-super-template.csv,24,tenant_file
FC-AI-024,Card rewards personalization,Cards & Payments,Head of Cards & Payments,pilot,25000000,5327800,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-024,ai-control-tower/T00_ai-investment-super-template.csv,25,tenant_file
FC-AI-025,Voice biometrics authentication,Customer Care,Head of Customer Experience,pilot,41000000,1714160,medium,false_positive,Reported automation not reproducible in evidence; reclassify,FC-EVID-025,ai-control-tower/T00_ai-investment-super-template.csv,26,tenant_file
FC-AI-026,Trade surveillance anomaly detection,Treasury & Capital Markets,Treasurer,pilot,21000000,4409150,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-026,ai-control-tower/T00_ai-investment-super-template.csv,27,tenant_file
FC-AI-027,Loan servicing virtual agent,Operations,Chief Operating Officer,pilot,17000000,3883320,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-027,ai-control-tower/T00_ai-investment-super-template.csv,28,tenant_file
FC-AI-028,ESG & climate risk data automation,Risk,Chief Risk Officer,pilot,31000000,1143289,low,kill_candidate,No measurable value after pilot; sunset and reallocate budget,FC-EVID-028,ai-control-tower/T00_ai-investment-super-template.csv,29,tenant_file
FC-AI-029,Enterprise search over policy & procedures,Compliance,Chief Compliance Officer,pilot,30000000,7746837,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-029,ai-control-tower/T00_ai-investment-super-template.csv,30,tenant_file
FC-AI-030,Deposit pricing optimization,Consumer Banking,Head of Consumer Banking,scale,22000000,11077962,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-030,ai-control-tower/T00_ai-investment-super-template.csv,31,tenant_file
FC-AI-031,Synthetic data for model development,"Data, Analytics & AI",Chief Data & Analytics Officer,scale,36000000,21362034,high,restructure,Scope too broad; re-baseline against a single high-value workflow,FC-EVID-031,ai-control-tower/T00_ai-investment-super-template.csv,32,tenant_file
FC-AI-032,Wire fraud interdiction,Financial Crimes,Chief Risk Officer,scale,43000000,23379836,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-032,ai-control-tower/T00_ai-investment-super-template.csv,33,tenant_file
FC-AI-033,Mortgage underwriting decision support,Consumer Banking,Head of Consumer Banking,scale,43000000,24768103,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-033,ai-control-tower/T00_ai-investment-super-template.csv,34,tenant_file
FC-AI-034,Vendor contract intelligence,Finance,Chief Financial Officer,scale,22000000,1814885,high,false_positive,Reported automation not reproducible in evidence; reclassify,FC-EVID-034,ai-control-tower/T00_ai-investment-super-template.csv,35,tenant_file
FC-AI-035,Branch staffing & demand forecasting,Consumer Banking,Head of Consumer Banking,scale,28000000,14734961,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-035,ai-control-tower/T00_ai-investment-super-template.csv,36,tenant_file
FC-AI-036,IT incident root-cause copilot,Technology,Chief Information Officer,production,31000000,24719244,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-036,ai-control-tower/T00_ai-investment-super-template.csv,37,tenant_file
FC-AI-037,Regulatory change interpretation assist,Compliance,Chief Compliance Officer,production,36000000,3260888,low,kill_candidate,No measurable value after pilot; sunset and reallocate budget,FC-EVID-037,ai-control-tower/T00_ai-investment-super-template.csv,38,tenant_file
FC-AI-038,Small business cash-flow insights,Commercial Banking,Head of Commercial Banking,production,19000000,10330850,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-038,ai-control-tower/T00_ai-investment-super-template.csv,39,tenant_file
FC-AI-039,Anti-money-laundering network analytics,Financial Crimes,BSA/AML Officer,production,8000000,4435180,high,scale_candidate,Within governance threshold; expand under monitored rollout,FC-EVID-039,ai-control-tower/T00_ai-investment-super-template.csv,40,tenant_file
FC-AI-040,Customer churn early-warning model,Consumer Banking,Head of Consumer Banking,retired,48000000,1953629,medium,restructure,Scope too broad; re-baseline against a single high-value workflow,FC-EVID-040,ai-control-tower/T00_ai-investment-super-template.csv,41,tenant_file
FC-AI-041,Capital markets research summarization,Treasury & Capital Markets,Treasurer,retired,16000000,929469,medium,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-001,ai-control-tower/T00_ai-investment-super-template.csv,42,tenant_file
FC-AI-042,Privacy & data-access governance automation,"Cyber, Privacy & Resilience",Chief Information Security Officer,retired,40000000,2063932,high,on_track,Awaiting model-risk validation and source evidence gate,FC-EVID-002,ai-control-tower/T00_ai-investment-super-template.csv,43,tenant_file
