control_id,control_name,domain,owner_role,status,risk_severity,evidence_status,gap_or_condition,regulatory_or_policy_anchor,source_file,source_row,value_source
LAK-CTRL-001,SOX payment approval evidence,sox,CFO,blocked,critical,missing_machine_readable_evidence,Attach test/signoff source before go-live,SOX,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,2,tenant_file
LAK-CTRL-002,bank signer recertification,treasury_control,Treasurer,operating,medium,source_available,Standard review cadence,Treasury policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,3,tenant_file
LAK-CTRL-003,Kyriba role design,identity_access,CIO,operating,medium,source_available,Standard review cadence,Cyber/IAM policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,4,tenant_file
LAK-CTRL-004,SWIFT connectivity control,data_governance,Chief Supply Chain Officer,review_required,high,source_available,Standard review cadence,SOX,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,5,tenant_file
LAK-CTRL-005,SAP-Kyriba interface reconciliation,sox,Controller,operating,medium,missing_machine_readable_evidence,Attach test/signoff source before go-live,Treasury policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,6,tenant_file
LAK-CTRL-006,cash forecast approval,treasury_control,Chief Procurement Officer,blocked,critical,source_available,Standard review cadence,Cyber/IAM policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,7,tenant_file
LAK-CTRL-007,AI narrative source citation,identity_access,Chief Data Officer,review_required,high,source_available,Standard review cadence,SOX,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,8,tenant_file
LAK-CTRL-008,vendor access review,data_governance,CISO,operating,medium,source_available,Standard review cadence,Treasury policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,9,tenant_file
LAK-CTRL-009,close evidence retention,sox,CFO,operating,medium,missing_machine_readable_evidence,Attach test/signoff source before go-live,Cyber/IAM policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,10,tenant_file
LAK-CTRL-010,finance data semantic owner,treasury_control,Treasurer,review_required,high,source_available,Standard review cadence,SOX,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,11,tenant_file
