tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,spend_id,amount_usd,amount_type,owner,program_id,vendor_id,system_id,committed_vs_discretionary,renewal_or_gate_date,value_linkage,unit_economics
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-001,96 analytics/technology resources modeled for planning; client source owner must validate.,skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,2,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-001,not_provided,ops_technology_resource_count,Airline Operations Technology,,SHA-VEN-IBM,,not_loaded,phase_gate,96 analytics/technology resources modeled for planning; client source owner must validate.,resource_count
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-002,Roughly 72 percent maintenance / run support mix modeled for planning.,skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,3,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-002,not_provided,maintenance_share,Airline Operations Technology,,SHA-VEN-IBM,,not_loaded,phase_gate,Roughly 72 percent maintenance / run support mix modeled for planning.,work_mix
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-003,Roughly 28 percent net-new modernization capacity modeled for planning.,skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,4,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-003,not_provided,net_new_share,Airline Operations Technology,,SHA-VEN-AWS,,not_loaded,phase_gate,Roughly 28 percent net-new modernization capacity modeled for planning.,work_mix
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-004,"Frame IROPS AI as a human-in-loop decision support candidate only after recovery baselines, operational event lineage, crew legality controls, and customer service evidence are validated; quantify after Finance and Operations sign off.",skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,5,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-004,not_provided,value_hypothesis,Operations,SHA-MOVE-001,,,not_loaded,phase_gate,"Frame IROPS AI as a human-in-loop decision support candidate only after recovery baselines, operational event lineage, crew legality controls, and customer service evidence are validated; quantify after Finance and Operations sign off.",baseline_required
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-005,"Use crew recovery decision support as a controlled workflow redesign candidate; quantify only after legality, reserve, hotel, and mobile acknowledgement baselines are loaded and reviewed.",skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,6,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-005,not_provided,value_hypothesis,Crew Operations,SHA-MOVE-002,,,not_loaded,phase_gate,"Use crew recovery decision support as a controlled workflow redesign candidate; quantify only after legality, reserve, hotel, and mobile acknowledgement baselines are loaded and reviewed.",baseline_required
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-006,"Improve customer recovery only after identity, consent, PSS boundary, and notification outcome evidence are approved; quantify after baseline contact containment and reaccommodation SLA metrics are loaded.",skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,7,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-006,not_provided,value_hypothesis,Customer Operations,SHA-MOVE-003,,,not_loaded,phase_gate,"Improve customer recovery only after identity, consent, PSS boundary, and notification outcome evidence are approved; quantify after baseline contact containment and reaccommodation SLA metrics are loaded.",baseline_required
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-007,"Sequence modernization through dependency mapping and strangler/API exposure only after interface inventory, incident/change evidence, settlement constraints, and rollback plan are validated; quantify after risk and run-cost baselines are loaded.",skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,8,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-007,not_provided,value_hypothesis,Technology,SHA-MOVE-004,,,not_loaded,phase_gate,"Sequence modernization through dependency mapping and strangler/API exposure only after interface inventory, incident/change evidence, settlement constraints, and rollback plan are validated; quantify after risk and run-cost baselines are loaded.",baseline_required
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-008,"Tower should track IROPS outcomes as proxy metrics until Finance, Operations, and Technology approve cost baselines, metric definitions, vendor linkage, and adoption evidence; quantify only after those gates pass.",skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,9,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-008,not_provided,value_hypothesis,Finance,SHA-MOVE-005,,,not_loaded,phase_gate,"Tower should track IROPS outcomes as proxy metrics until Finance, Operations, and Technology approve cost baselines, metric definitions, vendor linkage, and adoption evidence; quantify only after those gates pass.",baseline_required
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-009,"Treat airline AI data foundation as a prerequisite Move; quantify only after source lineage, quality rules, owner signoff, and AI consumption controls are loaded and validated.",skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,10,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-009,not_provided,value_hypothesis,Technology,SHA-MOVE-006,,,not_loaded,phase_gate,"Treat airline AI data foundation as a prerequisite Move; quantify only after source lineage, quality rules, owner signoff, and AI consumption controls are loaded and validated.",baseline_required
skyharbor-air,SkyHarbor Air,v6.1.0-skyharbor-upgrade-candidate-20260710,spend_value,SHA-SPEND-010,"Use vendor and AMS economics only as a sourcing/readiness frame until contract values, support-scope evidence, run/change split, and renewal terms are loaded; quantify after procurement and finance signoff.",skyharbor-air-v6-v7-upgrade-candidate-20260710,AbarVa synthetic data steward,existing_skyharbor_synthetic_v6_plus_v7_upgrade_structuring,derived_value_hypotheses,11,2026-07-10,2026-01-01,2026-07-09,workshop_refresh,medium,synthetic_demo,synthetic_demo_planning_grade_no_real_airline_production_data,Home|Intelligence|Tower|Moves|Source,current_state|gap|relationship|recommendation|planning_scenario,"Do not claim real flight, passenger, crew, customer, aircraft, or operational production records. | Do not claim IROPS AI, autonomous recovery, crew recovery automation, or customer reaccommodation automation is production-ready. | Do not claim audited savings, realized ROI, disruption cost reduction, OTP improvement, or NPS lift. | Do not claim IBM, AWS, Sabre, Amadeus, Salesforce, SAP, Snowflake, or Databricks contract values unless explicitly loaded. | Do not make cross-tenant claims or use non-SkyHarbor facts to answer SkyHarbor questions.","Synthetic airline planning-grade substrate; not real SkyHarbor production data. | Existing tenant upgrade candidate; do not treat as active until promotion proof passes. | No client-approved system inventory, contract economics, or operational baseline is loaded. | No production IROPS AI, autonomous recovery, or Tower value outcome is proven. | No workshop signoff for owners, baseline metrics, control evidence, or data quality scores is loaded.",2026-07-09T00:00:00Z,2026-07-09T00:00:00Z,SHA-SPEND-010,not_provided,value_hypothesis,Finance,SHA-MOVE-007,,,not_loaded,phase_gate,"Use vendor and AMS economics only as a sourcing/readiness frame until contract values, support-scope evidence, run/change split, and renewal terms are loaded; quantify after procurement and finance signoff.",baseline_required
