tenant_key,map_id,vendor_id,vendor_name,contract_or_scope,annual_value_usd,renewal_date,supported_system_id,supported_system_name,owner_role,source_basis,confidence,caveat
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-1,CON-00001,SAP,Managed Service,85440000,2026-09-04,APP-00044,HR-SAP-Manager-0044,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-2,CON-00002,Infosys,Capacity Reservation,77560000,2028-05-21,APP-00096,Tax-Infosys-Hub-0096,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-3,CON-00003,Informatica,Perpetual License,47570000,2026-12-09,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-4,CON-00004,Informatica,Perpetual License,119140000,2026-05-10,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-5,CON-00005,Amadeus,Perpetual License,117570000,2027-08-07,APP-00018,Loyalty-Amadeus-Service-0018,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-6,CON-00006,IBM,Capacity Reservation,94560000,2027-07-31,APP-00061,Crew-IBM-Hub-0061,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-7,CON-00007,Oracle,Enterprise Agreement,77080000,2027-02-21,APP-00010,Real-Oracle-Service-0010,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-8,CON-00008,Red Hat,Support & Maintenance,83270000,2025-07-04,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-9,CON-00009,Accenture,Support & Maintenance,119170000,2028-11-29,APP-00042,Storage-Accenture-Suite-0042,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-10,CON-00010,Informatica,Support & Maintenance,29610000,2028-09-10,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-11,CON-00011,IBM,Managed Service,47380000,2026-02-01,APP-00061,Crew-IBM-Hub-0061,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-12,CON-00012,IBM,Managed Service,101800000,2026-09-03,APP-00061,Crew-IBM-Hub-0061,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-13,CON-00013,NetApp,Managed Service,58880000,2024-01-15,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-14,CON-00014,SAP,SaaS Subscription,52760000,2026-05-01,APP-00044,HR-SAP-Manager-0044,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-15,CON-00015,Salesforce,Perpetual License,31220000,2027-08-17,APP-00035,Parts-Salesforce-Manager-0035,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-16,CON-00016,Informatica,SaaS Subscription,31500000,2028-02-15,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-17,CON-00017,MuleSoft,Managed Service,80900000,2024-03-05,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-18,CON-00018,TCS,Managed Service,125560000,2023-10-08,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-19,CON-00019,Dell EMC,Consumption Commit,137280000,2024-06-03,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-20,CON-00020,Fortinet,SaaS Subscription,86320000,2024-12-20,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-21,CON-00021,Databricks,SaaS Subscription,76620000,2025-11-06,APP-00021,Loyalty-Databricks-Platform-0021,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-22,CON-00022,NetApp,Managed Service,139370000,2026-08-28,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-23,CON-00023,SAP,SaaS Subscription,113150000,2027-05-02,APP-00044,HR-SAP-Manager-0044,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-24,CON-00024,Accenture,Capacity Reservation,94450000,2025-04-16,APP-00042,Storage-Accenture-Suite-0042,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-25,CON-00025,Databricks,Enterprise Agreement,113090000,2027-02-01,APP-00021,Loyalty-Databricks-Platform-0021,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-26,CON-00026,Cisco,Capacity Reservation,31530000,2027-03-22,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-27,CON-00027,ServiceNow,Managed Service,46960000,2026-02-26,APP-00006,Airworthiness-ServiceNow-Hub-0006,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-28,CON-00028,Fortinet,Perpetual License,11230000,2027-07-28,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-29,CON-00029,Oracle,Professional Services,87250000,2028-02-13,APP-00010,Real-Oracle-Service-0010,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-30,CON-00030,Infosys,Consumption Commit,58460000,2027-06-05,APP-00096,Tax-Infosys-Hub-0096,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-31,CON-00031,NetApp,Capacity Reservation,8940000,2025-01-31,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-32,CON-00032,Snowflake,Managed Service,32549999,2025-12-17,APP-00002,Disruption-Snowflake-Manager-0002,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-33,CON-00033,Snowflake,Consumption Commit,112930000,2026-11-04,APP-00002,Disruption-Snowflake-Manager-0002,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-34,CON-00034,Palo Alto,SaaS Subscription,7930000,2026-04-15,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-35,CON-00035,ServiceNow,Professional Services,32049999,2023-08-04,APP-00006,Airworthiness-ServiceNow-Hub-0006,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-36,CON-00036,Dell EMC,Managed Service,21830000,2025-08-18,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-37,CON-00037,Accenture,SaaS Subscription,26310000,2028-04-25,APP-00042,Storage-Accenture-Suite-0042,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-38,CON-00038,SAP,Capacity Reservation,122140000,2026-04-23,APP-00044,HR-SAP-Manager-0044,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-39,CON-00039,Microsoft,Professional Services,68910000,2026-12-26,APP-00034,Flight-Microsoft-Platform-0034,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
