audit_date,module,schema_table,object_kind,business_purpose,system_of_record,tenant_isolation,primary_business_keys,main_relationships,state_model,temporal_support,evidence_lineage,data_quality,current_consumers,metrics_produced,canonical_equivalent,future_classification,classification_rationale,migration_complexity,cutover_requirement,source_files,parsed_columns_sample,code_reference_count,confidence
2026-07-27,Moves,public.move_artifact_review_decisions,table,Generated or reviewed deliverable/artifact persistence.,Domain workflow system of record,RLS/policy marker observed (tenant_id; tenant_key; reviewer_user_id),id,id; tenant_id; tenant_key; move_id; artifact_id; reviewer_user_id,phase,artifact_version; created_at,artifact_id; artifact_version; missing_evidence,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.program,retain_operational,Review workflow state remains in Moves; accepted decisions may emit canonical decision/evidence records later.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260628160000_move_artifact_review_decisions.sql,id; tenant_id; tenant_key; move_id; phase; artifact_id; artifact_version; reviewer_user_id; reviewer_email; decision; rationale; carried_forward_caveats; missing_evidence; allowed_next_action; ready_for_p3_draft; ready_for_p3_final; p2_final_approved; created_at,0,high: migration DDL parsed
2026-07-27,Moves,public.move_artifacts,table,Generated or reviewed deliverable/artifact persistence.,Domain workflow system of record,RLS/policy marker observed (tenant_id; tenant_key),artifact_id,artifact_id; tenant_id; tenant_key; move_id; supersedes_artifact_id; superseded_by_artifact_id,phase; status; superseded_by_artifact_id; lifecycle_state,version; created_at; updated_at,artifact_id; artifact_type; artifact_family; source_basis; confidence; citation_ready; supersedes_artifact_id; superseded_by_artifact_id,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.program,retain_operational,Generated and uploaded Move artifacts remain workflow records; only approved evidence/facts should be published.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260610170000_move_artifacts_v1.sql,artifact_id; tenant_id; tenant_key; move_id; phase; archetype; artifact_type; artifact_family; title; description; file_name; file_format; blob_container; blob_path; blob_sha256; file_size; version; status; generated_by; generated_at; uploaded_by; uploaded_at; source_basis; confidence,0,high: migration DDL parsed
2026-07-27,Moves,public.move_dependencies,table,"Moves lifecycle, phase, charter, or execution planning state.",Domain workflow system of record,tenant/user column observed (client_id),id,id; client_id; from_move_id; to_move_id,Not explicit in parsed columns,created_at; updated_at; updated_by,No parsed lineage fields; inspect write path before promotion,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/lib/tower/value-states/__tests__/repository.azure-read.test.ts; src/lib/tower/value-states/repository.ts,,knowledge.program,retain_operational,Needed for domain workflow unless a later live data review proves it obsolete.,Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260523090000_client_extension_it_productivity.sql,id; client_id; from_move_id; to_move_id; relation_type; note; created_at; updated_at; created_by; updated_by; deleted_at,2,high: migration DDL parsed
2026-07-27,Moves,public.move_instances,table,"Moves lifecycle, phase, charter, or execution planning state.",Domain workflow system of record,RLS/policy marker observed (client_id),instance_id,instance_id; template_id; client_id; engagement_id; created_by_id,status,template_version_pinned; created_at; updated_at,artifact_completion_jsonb,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/lib/tower/value-states/repository.ts,,knowledge.program,retain_operational,"Workflow, review, template, or draft state remains domain-owned unless it emits accepted/published facts.",Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260523100000_templates_data_layer.sql,instance_id; template_id; template_version_pinned; client_id; engagement_id; sponsor_assignments_jsonb; current_gate; status; artifact_completion_jsonb; gate_skeleton_jsonb; options_jsonb; created_by_id; created_at; updated_at,1,high: migration DDL parsed
2026-07-27,Moves,public.move_template_artifacts,table,Generated or reviewed deliverable/artifact persistence.,Domain workflow system of record,RLS/policy marker observed (policy only),id,id; gate_id; artifact_id,Not explicit in parsed columns,created_at; updated_at,artifact_id,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.program,retain_operational,"Template content is product configuration, not enterprise Knowledge.",Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260523100000_templates_data_layer.sql,id; gate_id; artifact_id; name; toc_jsonb; schema_jsonb; template_markdown; depth_score; created_at; updated_at,0,high: migration DDL parsed
2026-07-27,Moves,public.move_template_audit_log,table,"Moves lifecycle, phase, charter, or execution planning state.",Candidate/domain-derived; not canonical until promoted,RLS/policy marker observed (client_id),id,id; template_id; instance_id; client_id; actor_id,Not explicit in parsed columns,Current-state unknown; live profiling required,No parsed lineage fields; inspect write path before promotion,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.program,archive,Audit/history object should be retained but not promoted as enterprise truth.,Low,Archive-only; no runtime cutover.,supabase/migrations/20260523100000_templates_data_layer.sql,id; template_id; instance_id; client_id; actor_id; event_type; context_jsonb; occurred_at,0,high: migration DDL parsed
2026-07-27,Moves,public.move_template_gates,table,"Moves lifecycle, phase, charter, or execution planning state.",Domain workflow system of record,RLS/policy marker observed (policy only),id,id; template_id; gate_id,Not explicit in parsed columns,created_at; updated_at,required_artifacts; evidence_anchors,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.program,retain_operational,"Workflow, review, template, or draft state remains domain-owned unless it emits accepted/published facts.",Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260523100000_templates_data_layer.sql,id; template_id; gate_id; sequence_index; name; sponsor_raci_jsonb; required_artifacts; evidence_anchors; numeric_kill_criteria_jsonb; sensitivity_analysis_template; pre_mortem_required; time_budget_p50_days; time_budget_p90_days; hand_off_ritual; maturity_target; depth_score; created_at; updated_at,0,high: migration DDL parsed
2026-07-27,Moves,public.move_template_review_state,table,"Moves lifecycle, phase, charter, or execution planning state.",Domain workflow system of record,RLS/policy marker observed (policy only),id,id; template_id; reviewer_id; submitted_by_id,Not explicit in parsed columns,created_at,No parsed lineage fields; inspect write path before promotion,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.program,retain_operational,"Workflow, review, template, or draft state remains domain-owned unless it emits accepted/published facts.",Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260523100000_templates_data_layer.sql,id; template_id; decision; reviewer_id; submitted_by_id; comment; depth_score; context_jsonb; created_at,0,high: migration DDL parsed
2026-07-27,Moves,public.move_template_versions,table,"Moves lifecycle, phase, charter, or execution planning state.",Domain workflow system of record,RLS/policy marker observed (policy only),id,id; template_id; created_by_id,status,version; created_at,No parsed lineage fields; inspect write path before promotion,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",No focused code consumer found,,knowledge.program,retain_operational,"Workflow, review, template, or draft state remains domain-owned unless it emits accepted/published facts.",Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260523100000_templates_data_layer.sql,id; template_id; version; status; snapshot_jsonb; created_by_id; created_at,0,high: migration DDL parsed
2026-07-27,Moves,public.move_templates,table,"Moves lifecycle, phase, charter, or execution planning state.",Domain workflow system of record,RLS/policy marker observed (policy only),id,id; parent_version_id; primary_author_id; approved_by_id,status; published_at,version; parent_version_id; created_at; updated_at,No parsed lineage fields; inspect write path before promotion,"Static repo audit only: requires live row profiling for nulls, duplicates, stale rows, broken links",src/lib/tower/value-states/repository.ts,,knowledge.program,retain_operational,"Workflow, review, template, or draft state remains domain-owned unless it emits accepted/published facts.",Low,Keep domain owner path; publish outbox if facts are accepted.,supabase/migrations/20260523100000_templates_data_layer.sql,id; slug; kind; name; summary; sponsor_raci_jsonb; version; parent_version_id; status; depth_score; published_at; retired_at; vertical_overlays; horizon_default; intended_personas; primary_author_id; approved_by_id; created_at; updated_at,1,high: migration DDL parsed
