data_domain_id,domain_name,data_owner,data_steward,source_systems,critical_data_elements,classification,quality_score,retention_policy,ai_use_allowed,last_quality_review,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
DATA-001,Clinical Encounter Domain 1,Chief Medical Information Officer,EHR Platform Engineering,Epic Hyperspace|ServiceNow ITSM and CMDB,Service ID|Owner|Status|Timestamp,Restricted,0.72,Enterprise retention schedule,Prohibited,2026-04-01,Data catalog,DATA-1,Data Governance,2026-05-01,0.82,true,
DATA-002,Revenue Cycle Domain 1,VP Revenue Cycle,Clinical Informatics,Epic Caboodle|Oracle ERP Cloud,Service ID|Owner|Status|Timestamp,Internal,0.73,Enterprise retention schedule,Allowed,2026-04-02,Data catalog,DATA-2,Data Governance,2026-05-01,0.82,true,
DATA-003,Contact Center Domain 1,VP Customer Operations,Integration Operations,Mirth Connect Integration Engine|Workday HCM,Service ID|Owner|Status|Timestamp,Internal,0.74,Enterprise retention schedule,Allowed,2026-04-03,Data catalog,DATA-3,Data Governance,2026-05-01,0.82,true,
DATA-004,Research Operations Domain 1,Research Technology Office,Revenue Cycle Technology,Enterprise Contact Center Service|Research Data Lake,Service ID|Owner|Status|Timestamp,Confidential,0.75,Enterprise retention schedule,Conditional,2026-04-04,Data catalog,DATA-4,Data Governance,2026-05-01,0.82,true,
DATA-005,Payer Operations Domain 1,Chief Medical Information Officer,Contact Center Technology,Salesforce Health Cloud|Databricks Clinical Analytics Workspace,Service ID|Owner|Status|Timestamp,Restricted,0.76,Enterprise retention schedule,Allowed,2026-04-05,Data catalog,DATA-5,Data Governance,2026-05-01,0.82,true,
DATA-006,Provider Directory Domain 1,VP Revenue Cycle,Cloud Platform Services,ServiceNow ITSM and CMDB|Snowflake Enterprise Warehouse,Service ID|Owner|Status|Timestamp,Internal,0.77,Enterprise retention schedule,Allowed,2026-04-06,Data catalog,DATA-6,Data Governance,2026-05-01,0.82,true,
DATA-007,Workforce Domain 1,VP Customer Operations,Research Technology Office,Oracle ERP Cloud|Okta Identity Service,Service ID|Owner|Status|Timestamp,Confidential,0.78,Enterprise retention schedule,Prohibited,2026-04-07,Data catalog,DATA-7,Data Governance,2026-05-01,0.82,true,
DATA-008,Financial Planning Domain 1,Research Technology Office,Payer Platform Operations,Workday HCM|Imprivata Clinical SSO,Service ID|Owner|Status|Timestamp,Internal,0.79,Enterprise retention schedule,Allowed,2026-04-08,Data catalog,DATA-8,Data Governance,2026-05-01,0.82,true,
DATA-009,Clinical Encounter Domain 2,Chief Medical Information Officer,Cybersecurity Governance,Research Data Lake|AWS Production Landing Zone,Service ID|Owner|Status|Timestamp,Restricted,0.8,Enterprise retention schedule,Allowed,2026-04-09,Data catalog,DATA-9,Data Governance,2026-05-01,0.82,true,
DATA-010,Revenue Cycle Domain 2,VP Revenue Cycle,IT Sourcing,Databricks Clinical Analytics Workspace|Azure Production Landing Zone,Service ID|Owner|Status|Timestamp,Confidential,0.81,Enterprise retention schedule,Conditional,2026-04-10,Data catalog,DATA-10,Data Governance,2026-05-01,0.82,true,
