tenant_key,node_id,business_label,node_type,source_file,readable_summary,confidence,caveat
first-capital-financial,FC-IT-001,Office of the CIO,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-002,Core Banking Platforms,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-003,Cards & Payments Technology,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-004,Channels & Digital Engineering,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-005,Data Platform & AI Engineering,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-006,Integration & API Platform,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-007,"Risk, Treasury & Finance Systems",org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-008,Financial Crimes Technology,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-009,"Cyber, Privacy & Resilience",org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-010,Cloud & Infrastructure,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-011,ServiceNow & IT Operations,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-012,AI Governance & Model Risk Tech,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-IT-013,Developer Experience & DevSecOps,org_team,F03_it-org-ownership.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-BF-001,Consumer Banking & Deposits,business_function,F02_business-org-functions.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-BF-002,Commercial & Corporate Banking,business_function,F02_business-org-functions.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-BF-003,Cards & Payments,business_function,F02_business-org-functions.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
first-capital-financial,FC-BF-004,Wealth & Asset Management,business_function,F02_business-org-functions.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.
