tenant_key,source_record_id,ai_program_id,ai_use_case_id,business_function,process_area,kpi_name,kpi_definition,baseline_value,target_value,actual_value,metric_unit,measurement_period_start,measurement_period_end,measurement_owner,source_system,usage_record_ids,benefit_record_ids,finance_validated_value_usd,value_claim_status,tower_claim_allowed,evidence_id,caveat
meridian-health,SA11-001,AIPGM-001,AIUC-001,Health Plan & Payer Operations,Risk adjustment coding review,Risk adjustment coding review AI-Assisted Outcome KPI,Operational outcome KPI tracking RAF Coding Gap AI Assistant's effect on risk adjustment coding review.,19.5,37.6,32.1,percent,2026-01-01,2026-06-30,"President, Meridian Health Plan",Epic Tapestry,SA09-001,SA08-001,0,disputed_needs_evidence,false,EVID-AI-001,Illustrative KPI numbers for (work order #99122) RAF Coding Gap AI (work order #94160) Assistant; (work order #37343) validate against real operational (incident #26098) data before citing.
meridian-health,SA11-002,AIPGM-002,AIUC-002,Clinical Informatics,Physician note generation,Physician note generation AI-Assisted Outcome KPI,Operational outcome KPI tracking Ambient Clinical Documentation (DAX Copilot)'s effect on physician note generation.,24.8,42.2,90.7,minutes,2026-01-01,2026-06-30,CMIO,Epic Hyperspace,SA09-002,SA08-002,0,pending_finance_validation,false,EVID-AI-002,Illustrative KPI numbers for (work order #72125) Ambient Clinical Documentation (DAX (change record #89540) Copilot); (case #17566) validate against real source-system (review item #96623) data before citing.
meridian-health,SA11-003,AIPGM-003,AIUC-003,Revenue Cycle,Claims denial triage,Claims denial triage AI-Assisted Outcome KPI,Operational outcome KPI tracking Denials Prediction & Prevention Model's effect on claims denial triage.,83.4,41.7,94.7,minutes,2026-01-01,2026-06-30,SVP Revenue Cycle,Epic Resolute Hospital Billing,SA09-003,SA08-003,0,pending_finance_validation,false,EVID-AI-003,Illustrative KPI numbers for (review item #87404) Denials Prediction & Prevention (incident #55188) Model; (incident #13501) validate against real warehouse (ticket #13634) data before citing.
meridian-health,SA11-004,AIPGM-004,AIUC-004,Quality & Regulatory Affairs,Care gap outreach targeting,Care gap outreach targeting AI-Assisted Outcome KPI,Operational outcome KPI tracking HEDIS Care Gap Prioritization Engine's effect on care gap outreach targeting.,70.8,94.3,33.3,cases/day,2026-01-01,2026-06-30,CQO,Epic Healthy Planet,SA09-004,SA08-004,0,pending_finance_validation,false,EVID-AI-004,"HEDIS Care Gap Prioritization (log entry #11390) Engine KPI figures approximate (case #86714) a plausible extract, (ticket #44974) 2 cycles out of (review item #26260) date, (change record #80974) not a live system (review item #42591) pull."
meridian-health,SA11-005,AIPGM-005,AIUC-005,Nursing Operations,Inpatient deterioration alerting,Inpatient deterioration alerting AI-Assisted Outcome KPI,Operational outcome KPI tracking Sepsis Early-Warning Model's effect on inpatient deterioration alerting.,14.2,47.7,82.2,percent,2026-01-01,2026-06-30,CNO,Epic ClinDoc,SA09-005,SA08-005,0,disputed_needs_evidence,false,EVID-AI-005,Illustrative KPI numbers for (incident #52574) Sepsis Early-Warning Model; (log entry #58132) validate against real warehouse (log entry #33568) data before citing.
meridian-health,SA11-006,AIPGM-006,AIUC-006,Population Health & Care Management,Discharge risk scoring,Discharge risk scoring AI-Assisted Outcome KPI,Operational outcome KPI tracking Readmission Risk Stratification Model's effect on discharge risk scoring.,58.5,46.4,30.3,cases/day,2026-01-01,2026-06-30,VP Population Health & Care Management,Epic Healthy Planet,SA09-006,SA08-006,0,pending_finance_validation,false,EVID-AI-006,"Readmission Risk Stratification Model (work order #39593) KPI figures approximate a (log entry #89851) plausible extract, (incident #39551) 1 cycles out of (work order #22883) date, (review item #38130) not a live system (audit note #86079) pull."
meridian-health,SA11-007,AIPGM-007,AIUC-007,Health Plan & Payer Operations,Utilization management triage,Utilization management triage AI-Assisted Outcome KPI,Operational outcome KPI tracking Prior Authorization AI Triage's effect on utilization management triage.,65.4,62.6,41.3,percent,2026-01-01,2026-06-30,"President, Meridian Health Plan",Epic Tapestry,SA09-007,SA08-007,2956000,finance_validated,true,EVID-AI-007,"Prior Authorization AI Triage's (case #60118) KPI feed is synthetic (incident #66275) here, illustrative only."
meridian-health,SA11-008,AIPGM-008,AIUC-008,Member Services & Patient Experience,Member inbound call deflection,Member inbound call deflection AI-Assisted Outcome KPI,Operational outcome KPI tracking Contact Center Virtual Assistant's effect on member inbound call deflection.,27.8,34.9,55.5,cases/day,2026-01-01,2026-06-30,VP Member Services & Patient Experience,Salesforce,SA09-008,SA08-008,0,pending_finance_validation,false,EVID-AI-008,"Contact Center Virtual Assistant's (case #82851) KPI feed is synthetic (audit note #33601) here, not warehouse-sourced."
meridian-health,SA11-009,AIPGM-009,AIUC-009,Ambulatory & Physician Network Operations,Ambulatory scheduling,Ambulatory scheduling AI-Assisted Outcome KPI,Operational outcome KPI tracking No-Show Prediction & Scheduling Optimization's effect on ambulatory scheduling.,14.3,94.7,14.3,minutes,2026-01-01,2026-06-30,"President, Meridian Medical Group",Epic Cadence,SA09-009,SA08-009,0,disputed_needs_evidence,false,EVID-AI-009,"No-Show Prediction & Scheduling (ticket #27025) Optimization's KPI feed is (log entry #96174) synthetic here, illustrative only."
meridian-health,SA11-010,AIPGM-010,AIUC-010,Revenue Cycle,Charge integrity review,Charge integrity review AI-Assisted Outcome KPI,Operational outcome KPI tracking Charge Capture Anomaly Detection's effect on charge integrity review.,27.1,34.0,37.9,minutes,2026-01-01,2026-06-30,SVP Revenue Cycle,Epic Resolute Professional Billing,SA09-010,SA08-010,0,disputed_needs_evidence,false,EVID-AI-010,Illustrative KPI numbers for (log entry #39892) Charge Capture Anomaly Detection; (incident #31898) validate against real warehouse (incident #8041) data before citing.
