tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps
meridian-health,Employed Physician (Primary Care),Ambulatory & Physician Network Operations,382,clinic_based,employed_physician,no,Board-certified primary care; Epic Ambulatory documentation; population health registry use,the legacy Cerner instance (audit note #21670) downtime during open enrollment (audit note #62978) forces a manual paper/fallback (case #34625) workaround.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Employed Physician (Specialty),Ambulatory & Physician Network Operations,444,clinic_based,employed_physician,no,Specialty board certification; Epic Ambulatory and specialty modules (Cupid/Kaleidoscope/Wisdom),"Epic Hyperspace interface to (review item #38998) the affiliated Community Connect (ticket #82293) practice feed drops messages (audit note #37724) during month-end close, (ticket #31043) needs manual fix.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Affiliated/Community Connect Physician,Ambulatory & Physician Network Operations,171,clinic_based,affiliated_independent,no,Independent practice ownership; Epic Community Connect documentation,the ServiceNow queue downtime (work order #94402) during open enrollment forces (change record #69891) a manual paper/fallback workaround.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Advanced Practice Provider (NP/PA),Ambulatory & Physician Network Operations,261,clinic_based,employed,no,State APP licensure; Epic Ambulatory documentation; collaborative practice agreements,Inconsistent denial reason code (case #85367) definitions between Epic Healthy (review item #23099) Planet and the legacy (change record #73524) HealthEdge parallel path create (log entry #17124) rework.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Hospitalist,Acute Care Clinical Operations,155,hospital_based,employed_physician,no,Inpatient medicine; Epic ClinDoc; multi-hospital credentialing,Duplicate data entry between (work order #22759) the ServiceNow queue and (case #93463) the HEDIS abstraction tool (audit note #1277) during month-end close.,High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Registered Nurse — Inpatient,Nursing Operations,3365,hospital_based,employed,no,Epic Rover/ClinDoc bedside documentation; barcode medication administration; acuity-based staffing,the ServiceNow queue downtime (ticket #34860) during the STARS measurement (ticket #9263) window forces a manual (change record #26341) paper/fallback workaround.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Registered Nurse — Ambulatory,Ambulatory & Physician Network Operations,663,clinic_based,employed,no,Epic Ambulatory triage documentation; telephonic triage protocols,"New-hire ramp-up on Epic (log entry #86453) Resolute runs 51% over (case #10227) target, thin docs.",Low,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Registered Nurse — Case Management,Population Health & Care Management,236,hybrid,employed,no,Epic Healthy Planet care planning; InterQual/MCG criteria application; discharge planning,the legacy Cerner instance (audit note #45563) downtime during the nightly (ticket #63894) batch window forces a (review item #56089) manual paper/fallback workaround.,High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Medical Assistant,Ambulatory & Physician Network Operations,787,clinic_based,employed,no,Rooming workflow; Epic Ambulatory intake documentation; point-of-care testing,"Epic Healthy Planet interface (review item #67083) to the HEDIS abstraction (log entry #42596) tool drops messages during (review item #71469) the nightly batch window, (case #34539) needs manual fix.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Patient Access Representative,Patient Access & Registration,429,hospital_based,employed,partial,Epic Prelude registration; insurance verification; financial counseling scripts,"the Cotiviti workqueue interface (work order #48143) to Epic Caboodle drops (review item #35958) messages during the RADV (ticket #77795) audit cycle, (change record #29969) needs manual fix.",Medium-High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
