tenant_key,as_of_date,business_case_id,project_id,initiative_name,initiative_classification,primary_tool_or_platform,vendor_name,domain_key,domain_name,business_value_type,business_value_story,cost_to_build_low_usd,cost_to_build_high_usd,approved_investment_usd,projected_annual_value_low_usd,projected_annual_value_high_usd,roi_low_multiple,roi_high_multiple,payback_months_target,benefit_realization_lag_months,success_metric,baseline_value,target_value,metric_unit,proof_needed,business_sponsor_role,finance_partner_role,finance_status,cfo_approval_date,committee_decision,readiness_score,confidence_level,gating_constraint,value_tracking_cadence,board_claimable_ytd_usd,finance_validated_ytd_usd,source_system,source_record_id,extract_date,quality_state
meridian-health,2026-08-24,BC-MER-001,PRJ-MER-004,Enterprise AI platform foundation,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,14760000,20160000,18000000,0,0,,,,3,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,sponsor_claimed,,shape,42,low,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-001,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-002,PRJ-MER-005,Digital front door personalization,ai_use_case,Digital front door AI decisioning,Internal build,digital,Digital & Member Experience,Grow revenue,"AI improves member experience, conversion, retention, and channel containment.",9184000,12544000,11200000,50055476,60740197,4,4.8,3,6,digital conversion lift,0,3.2,percent,"Show conversion, retention, channel shift, and net financial impact against baseline.",Chief Digital Officer,IT Finance Business Partner,finance_challenged,,fund,53,medium,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-002,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-003,PRJ-MER-006,ServiceNow operations AI rollout,ai_enabled_tool_rollout,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",8528000,11648000,10400000,51180318,65583033,4.4,5.6,3,9,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",VP Enterprise Platforms,IT Finance Business Partner,cfo_approved_target,2026-08-15,fund,64,medium,workflow adoption,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-003,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-004,PRJ-MER-007,Epic ambulatory access optimization,ai_assisted_automation,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",7298000,9968000,8900000,47820856,64527782,4.8,6.5,3,12,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.","President, Medical Group",IT Finance Business Partner,not_submitted,,challenge,75,high,control review,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-004,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-005,PRJ-MER-008,Data quality and interoperability foundation,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,8036000,10976000,9800000,0,0,,,,3,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,finance_validated_actual,,shape,86,low,Finance value treatment,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-005,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-006,PRJ-MER-009,Contact center AI assist,ai_use_case,Contact center agent assist,Genesys,digital,Digital & Member Experience,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",7052000,9632000,8600000,34548723,41923410,3.6,4.4,3,6,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",SVP Member Services,IT Finance Business Partner,sponsor_claimed,,fund,48,medium,baseline definition,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-006,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-007,PRJ-MER-010,Workday finance close AI assistant,ai_enabled_tool_rollout,Workday AI,Workday,corporate_it,Corporate IT,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",5248000,7168000,6400000,28603129,36652370,4,5.1,3,9,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Controller,IT Finance Business Partner,finance_challenged,,challenge,59,medium,data quality,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-007,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-008,PRJ-MER-011,Clinical documentation ambient pilot,ai_use_case,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",5904000,8064000,7200000,35432528,47811407,4.4,5.9,3,12,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",CMIO,IT Finance Business Partner,cfo_approved_target,2026-08-15,fund,70,high,workflow adoption,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-008,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-009,PRJ-MER-012,Copilot secure productivity rollout,ai_enabled_tool_rollout,Microsoft 365 Copilot,Microsoft,corporate_it,Corporate IT,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",3936000,5376000,4800000,25791024,29543720,4.8,5.5,3,3,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Corporate IT,IT Finance Business Partner,not_submitted,,shape,81,low,control review,monthly,0,0,AI Portfolio and Business Case Tracker,BC-MER-009,2026-08-24,synthetic_review_ready
meridian-health,2026-08-24,BC-MER-010,PRJ-MER-013,Prior authorization automation,ai_use_case,Prior auth document AI,Internal build,apps,Enterprise Applications,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",6478000,8848000,7900000,46018096,55841008,5.2,6.3,3,6,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Claims Operations,IT Finance Business Partner,finance_validated_actual,,fund,43,medium,Finance value treatment,monthly,13136248,13136248,AI Portfolio and Business Case Tracker,BC-MER-010,2026-08-24,synthetic_review_ready
