tenant_key,interview_id,interview_group,executive_area,stakeholder_role,question_id,question,synthetic_answer,priority_theme,pain_point,initiative_link,evidence_needed,evidence_id,source_row_id,confidence,answer_basis,active_candidate_status,candidate_contract_version,load_run_id,source_type,generated_at,truth_statement
first-capital-financial,FCF-INT-01-Q01,CEO / enterprise strategy,Enterprise strategy,CEO,Q01,Which enterprise decision is blocked by missing evidence?,"CEO says Digital Banking Modernization and Contact center agent assist are useful candidate planning topics, but the team needs payments hub lineage, data retention control evidence, and owner signoff before active runtime or value claims.",decision readiness,decision confidence,Digital Banking Modernization,payments hub lineage; data retention control evidence; finance baseline; owner attestation,FCF-INT-EVID-00001,FCF-INT-ROW-00001,high,interview-only-gap-generating,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q02,CEO / enterprise strategy,Enterprise strategy,CEO,Q02,Which operating constraint creates the most friction?,"CEO says Payments Platform Resilience and Personalized digital banking insights are useful candidate planning topics, but the team needs ACH and wire operations lineage, access controls control evidence, and owner signoff before active runtime or value claims.",operating model,operational friction,Personalized digital banking insights,ACH and wire operations lineage; access controls control evidence; finance baseline; owner attestation,FCF-INT-EVID-00002,FCF-INT-ROW-00002,medium,synthetic-evidence-backed,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q03,CEO / enterprise strategy,Enterprise strategy,CEO,Q03,Which data lineage gap should be fixed first?,"CEO says Fraud and Financial Crimes Transformation and Loan document intake automation are useful candidate planning topics, but the team needs fraud detection platform lineage, audit logging control evidence, and owner signoff before active runtime or value claims.",data lineage,lineage uncertainty,Loan document intake automation,fraud detection platform lineage; audit logging control evidence; finance baseline; owner attestation,FCF-INT-EVID-00003,FCF-INT-ROW-00003,medium,synthetic-evidence-backed,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q04,CEO / enterprise strategy,Enterprise strategy,CEO,Q04,Which system dependency creates the greatest risk?,"CEO says Core Banking Simplification and Regulatory change impact analyzer are useful candidate planning topics, but the team needs AML/KYC case management lineage, customer consent control evidence, and owner signoff before active runtime or value claims.",systems,integration risk,Core Banking Simplification,AML/KYC case management lineage; customer consent control evidence; finance baseline; owner attestation,FCF-INT-EVID-00004,FCF-INT-ROW-00004,high,synthetic-evidence-backed,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q05,CEO / enterprise strategy,Enterprise strategy,CEO,Q05,Which vendor obligation needs contract evidence?,"CEO says Data Governance and Lakehouse Foundation and Wealth advisor research assistant are useful candidate planning topics, but the team needs CRM and banker desktop lineage, regulatory reporting accuracy control evidence, and owner signoff before active runtime or value claims.",vendor,contract evidence,Wealth advisor research assistant,CRM and banker desktop lineage; regulatory reporting accuracy control evidence; finance baseline; owner attestation,FCF-INT-EVID-00005,FCF-INT-ROW-00005,high,interview-only-gap-generating,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q06,CEO / enterprise strategy,Enterprise strategy,CEO,Q06,Which budget line needs a finance-approved baseline?,"CEO says Regulatory Reporting Automation and Collections prioritization assistant are useful candidate planning topics, but the team needs contact center platform lineage, operational resilience control evidence, and owner signoff before active runtime or value claims.",finance,baseline proof,Collections prioritization assistant,contact center platform lineage; operational resilience control evidence; finance baseline; owner attestation,FCF-INT-EVID-00006,FCF-INT-ROW-00006,medium,synthetic-evidence-backed,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q07,CEO / enterprise strategy,Enterprise strategy,CEO,Q07,Which control blocks AI movement beyond pilot?,"CEO says Contact Center Experience Transformation and Branch workforce knowledge assistant are useful candidate planning topics, but the team needs mobile banking platform lineage, third-party risk control evidence, and owner signoff before active runtime or value claims.",AI governance,control gate,Contact Center Experience Transformation,mobile banking platform lineage; third-party risk control evidence; finance baseline; owner attestation,FCF-INT-EVID-00007,FCF-INT-ROW-00007,medium,synthetic-evidence-backed,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q08,CEO / enterprise strategy,Enterprise strategy,CEO,Q08,Which workforce role needs change evidence?,"CEO says Cloud Resilience and Zero Trust and IT incident and change-risk copilot are useful candidate planning topics, but the team needs online banking platform lineage, cyber risk control evidence, and owner signoff before active runtime or value claims.",workforce,adoption proof,IT incident and change-risk copilot,online banking platform lineage; cyber risk control evidence; finance baseline; owner attestation,FCF-INT-EVID-00008,FCF-INT-ROW-00008,high,synthetic-evidence-backed,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q09,CEO / enterprise strategy,Enterprise strategy,CEO,Q09,Which metric should Tower validate before executives act?,"CEO says Branch Workforce Productivity and Model risk documentation assistant are useful candidate planning topics, but the team needs cloud lakehouse foundation lineage, fraud loss control evidence, and owner signoff before active runtime or value claims.",metrics,measurement gap,Model risk documentation assistant,cloud lakehouse foundation lineage; fraud loss control evidence; finance baseline; owner attestation,FCF-INT-EVID-00009,FCF-INT-ROW-00009,high,interview-only-gap-generating,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
first-capital-financial,FCF-INT-01-Q10,CEO / enterprise strategy,Enterprise strategy,CEO,Q10,Which handoff should Moves or Source receive only after evidence closes?,"CEO says Wealth Advisor Desktop Modernization and Finance close anomaly detection are useful candidate planning topics, but the team needs enterprise risk platform lineage, vendor concentration control evidence, and owner signoff before active runtime or value claims.",handoff,evidence gate,Wealth Advisor Desktop Modernization,enterprise risk platform lineage; vendor concentration control evidence; finance baseline; owner attestation,FCF-INT-EVID-00010,FCF-INT-ROW-00010,medium,synthetic-evidence-backed,candidate,first-capital-financial-rich-standard-candidate-20260717,FCF-CANDIDATE-LOAD-20260717,synthetic executive interview,2026-07-17T00:00:00.000Z,"This is planning-grade synthetic enterprise context. It is not real client production data, not PHI/PII/payment-card data, and not a claim of realized financial value."
