agent_id,agent_name,parent_system_id,vendor,capability_type,business_function,active_users,ai_feature_status,approved_data_scope,regulated_workflow,monthly_cost_incremental_usd,verified_value,model_risk_assessed,sr117_required,notes
FCF-ERP-001,Workday Illuminate (AI Assistant),FCF-APP-WORKDAY-HCM,Workday,conversational_hr_ai,FCF-BF-HR,14200,active_default_on,internal_hr_only,false,0,Manager self-service HR query reduction 34%; no time study,false,false,"Default-on in Workday HCM; employees using for payroll queries, PTO, benefits. No formal approval or tracking. No incremental cost (bundled). No model risk assessment done. Gap: no usage telemetry, no benefit measurement, no data governance review."
FCF-ERP-002,SAP Joule (ERP AI Assistant),FCF-APP-SAP-ECC,SAP,erp_conversational_ai,FCF-BF-FINANCE,0,disabled_pending_review,none,true,0,none — not yet enabled,false,true,"Joule features shipped in SAP ECC update but DISABLED per CFO directive pending data policy review. Finance data (GL, AP, regulatory reporting) is in-scope for SR 11-7 if Joule is used for financial modeling or reporting. Re-enable requires: data classification review, model risk pre-assessment, CFO + Chief Model Risk Officer approval."
FCF-ERP-003,ServiceNow Now Assist — IT Service Management,FCF-APP-SERVICENOW,ServiceNow,itsm_ai_deflection,FCF-BF-TECH,1200,active_approved,internal_itsm_tickets,false,38000,Auto-resolve rate 31% of L1 tickets; avg MTTR L1 reduced 2.1hr,false,false,"Approved for IT incident and request management. 31% auto-resolution rate. CMDB-grounded answers only — no hallucination risk above threshold. Not assessed for model risk (IT ops, not financial model). Monthly cost bundled in Now Assist license."
FCF-ERP-004,ServiceNow Now Assist — GRC & Compliance,FCF-APP-SERVICENOW,ServiceNow,grc_ai_policy_assistant,FCF-BF-RISK,940,piloting,internal_grc_only,true,12000,Evidence-packaging time reduced 3.2hr per audit cycle in pilot,false,true,"GRC AI for control evidence packaging and policy Q&A. PILOT only. Regulatory workflows (OCC, FRB, FinCEN) mean SR 11-7 pre-assessment required before production. OCC has flagged AI in compliance workflows as an examination point. Gap: no model risk pre-assessment filed."
FCF-ERP-005,ServiceNow Now Assist — HR Case Management,FCF-APP-SERVICENOW,ServiceNow,hr_case_ai,FCF-BF-HR,280,active_approved,internal_hr_cases_no_pii_in_prompt,false,8000,HR case deflection rate 28%; avg resolution time -1.4 days,false,false,HR case management AI. Approved with restriction: PII must not be included in AI prompt (ticket descriptions scrubbed before AI). Benefit is directional — no formal time study.
FCF-ERP-006,Salesforce Einstein — Wealth Advisor Insights,FCF-APP-SALESFORCE-FSC,Salesforce,crm_next_best_action,FCF-BF-WEALTH,0,disabled_pending_approval,none,true,0,none,false,true,"Einstein Next Best Action for wealth advisors is available in FSC license but DISABLED. FINRA supervision issue: if AI recommends a portfolio action, the recommendation must be supervised and attributed. No compliant supervision model in place. Same blocker as Wealth Advisor Copilot kill."
FCF-ERP-007,Salesforce Einstein — Retail CRM AI,FCF-APP-SALESFORCE-FSC,Salesforce,crm_lead_scoring,FCF-BF-RETAIL,840,active_conditional,internal_crm_no_credit_data,false,18000,Lead conversion rate +8% on AI-scored leads; directional only (no control group),false,false,"Einstein lead scoring active for retail banking. Conditional: cannot use credit data as input (ECOA/fair lending risk). No formal model risk assessment — not classified as a ""credit model"" per MRM policy. Gap: fair lending review pending for CFPB examination readiness."
FCF-ERP-008,Pega GenAI Blueprint — Loan Operations,FCF-APP-PEGA-CASE,Pega,process_automation_ai,FCF-BF-OPS,0,pending_approval,pending,true,0,Projected: 40% reduction in loan modification case handling time,false,true,"Pega GenAI Blueprint for loan operations case automation. Approval in progress. Regulated workflow (loan modification, loss mitigation) requires SR 11-7 pre-assessment and CFPB examination readiness. Use case is high value but pipeline is gated behind compliance review."
FCF-ERP-009,Databricks Mosaic AI — Fraud Real-Time Scoring,FCF-APP-DATABRICKS,Databricks,ml_real_time_scoring,FCF-BF-RISK,160,active_approved,internal_restricted_card_transactions,true,98000,$26.1M fraud loss avoidance YTD (verified),true,true,Fraud graph v2 real-time scoring — the one fully SR 11-7 compliant AI model in production at First Capital. MRM validation complete. OCC no-objection. This is the gold standard for how AI should be governed here.
FCF-ERP-010,Snowflake Cortex — Analytics AI,FCF-APP-SNOWFLAKE,Snowflake,data_analytics_ai,FCF-BF-TECH,380,active_conditional,aggregate_masked_only,false,42000,Data analyst query time -22%; directional,false,false,"Cortex AI for analytics use. Restricted to masked or aggregate data. No production model risk (analytics only, not decisioning). AI-generated SQL is reviewed before execution. Gap: no formal usage telemetry or benefit measurement."
