tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,evidence_type,evidence_location,evidence_owner
skyharbor-air,SHA-V3-0001,SHA-AIR,AMS/IMS sourcing readiness synthetic evidence bundle,AMS/IMS sourcing readiness synthetic evidence bundle,13_evidence_sources,SHA-V3-EVID-0240,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/skyharbor-air-v3-v7-context-v1,AbarVa synthetic data steward
skyharbor-air,SHA-V3-0002,SHA-AIR,Existing managed-services contract optimization synthetic evidence bundle,Existing managed-services contract optimization synthetic evidence bundle,13_evidence_sources,SHA-V3-EVID-0241,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/skyharbor-air-v3-v7-context-v1,AbarVa synthetic data steward
skyharbor-air,SHA-V3-0003,SHA-AIR,IROPS decision support synthetic evidence bundle,IROPS decision support synthetic evidence bundle,13_evidence_sources,SHA-V3-EVID-0242,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/skyharbor-air-v3-v7-context-v1,AbarVa synthetic data steward
skyharbor-air,SHA-V3-0004,SHA-AIR,Crew recovery optimization synthetic evidence bundle,Crew recovery optimization synthetic evidence bundle,13_evidence_sources,SHA-V3-EVID-0243,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/skyharbor-air-v3-v7-context-v1,AbarVa synthetic data steward
skyharbor-air,SHA-V3-0005,SHA-AIR,Contact center agent assist synthetic evidence bundle,Contact center agent assist synthetic evidence bundle,13_evidence_sources,SHA-V3-EVID-0244,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/skyharbor-air-v3-v7-context-v1,AbarVa synthetic data steward
skyharbor-air,SHA-V3-0006,SHA-AIR,Maintenance analytics synthetic evidence bundle,Maintenance analytics synthetic evidence bundle,13_evidence_sources,SHA-V3-EVID-0245,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/skyharbor-air-v3-v7-context-v1,AbarVa synthetic data steward
skyharbor-air,SHA-V3-0007,SHA-AIR,Baggage disruption analytics synthetic evidence bundle,Baggage disruption analytics synthetic evidence bundle,13_evidence_sources,SHA-V3-EVID-0246,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/skyharbor-air-v3-v7-context-v1,AbarVa synthetic data steward
skyharbor-air,SHA-V3-0030,SHA-AIR,"Boundary: Synthetic planning-grade airline context; not real SkyHarbor, Delta, or proprietary airline data.","Boundary: Synthetic planning-grade airline context; not real SkyHarbor, Delta, or proprietary airline data.",13_evidence_sources,SHA-V3-EVID-0280,candidate,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
skyharbor-air,SHA-V3-0031,SHA-AIR,"Boundary: No realized savings, SLA credits, operational improvement, safety, or customer-experience outcomes are claimed.","Boundary: No realized savings, SLA credits, operational improvement, safety, or customer-experience outcomes are claimed.",13_evidence_sources,SHA-V3-EVID-0281,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
skyharbor-air,SHA-V3-0032,SHA-AIR,"Boundary: AWS, lakehouse, and modernization platforms are target-state unless current-state evidence is explicitly loaded.","Boundary: AWS, lakehouse, and modernization platforms are target-state unless current-state evidence is explicitly loaded.",13_evidence_sources,SHA-V3-EVID-0282,active,medium,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
skyharbor-air,SHA-V3-0033,SHA-AIR,"Boundary: Contracts, invoices, tickets, and interview answers are synthetic evidence used to support later Source generation.","Boundary: Contracts, invoices, tickets, and interview answers are synthetic evidence used to support later Source generation.",13_evidence_sources,SHA-V3-EVID-0283,active,high,synthetic_v3_context_generation,synthetic_airline_v3_context_generation,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
