vendor_id,vendor_name,scope,category,annual_spend_bucket,performance_score,risk_score,financial_health_rating,strategic_alignment_rating,recent_issues_summary,escalation_path,owner_person_id
vendor:meridian:001,Epic,plan,Cloud,$500K-$1M,56,41,A,5,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:harold-kim
vendor:meridian:002,Oracle Cerner,shared,RCM,$1M-$5M,57,42,A,1,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:anita-krishnamurthy
vendor:meridian:003,HealthEdge,provider,Plan admin,$5M+,58,43,A,5,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:david-park
vendor:meridian:004,SS&C,plan,Security,<$500K,59,44,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:marcus-reid
vendor:meridian:005,Innovaccer,shared,Analytics,$500K-$1M,60,45,BBB,5,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:jennifer-wexler
vendor:meridian:006,Meridian custom,provider,EHR,$1M-$5M,61,46,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:sarah-obrien
vendor:meridian:007,ZeOmega,plan,Cloud,$5M+,62,47,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:rebecca-hollings
vendor:meridian:008,Cohere Health,shared,RCM,<$500K,63,48,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:james-okonjo
vendor:meridian:009,Snowflake,provider,Plan admin,$500K-$1M,64,49,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:patricia-okafor
vendor:meridian:010,Amazon Web Services,plan,Security,$1M-$5M,65,50,BBB,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:margaret-liu
vendor:meridian:011,Microsoft,shared,Analytics,$5M+,66,51,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:karen-mercer
vendor:meridian:012,Workday,provider,EHR,<$500K,67,52,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:robert-chen
vendor:meridian:013,ServiceNow,plan,Cloud,$500K-$1M,68,53,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:thomas-hartwell
vendor:meridian:014,Okta,shared,RCM,$1M-$5M,69,54,A,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:lakshmi-venkatesan
vendor:meridian:015,Imprivata,provider,Plan admin,$5M+,70,55,BBB,3,Standard monitoring; BAA and AI/ML clauses reviewed.,Owner to VP / sponsor / legal as needed,person:meridian:andrew-fitzgerald
