transition_commitment_id,proposal_id,lot_id,transition_window,knowledge_transfer_commitment,go_no_go_dependencies,source_id
TRANS-BID-AIRDN-A-LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,LOT-AIRDN-01,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-01
TRANS-BID-AIRDN-B-LOT-AIRDN-01,BID-AIRDN-B-LOT-AIRDN-01,LOT-AIRDN-01,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-01
TRANS-BID-AIRDN-C-LOT-AIRDN-01,BID-AIRDN-C-LOT-AIRDN-01,LOT-AIRDN-01,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-01
TRANS-BID-AIRDN-A-LOT-AIRDN-02,BID-AIRDN-A-LOT-AIRDN-02,LOT-AIRDN-02,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-02
TRANS-BID-AIRDN-B-LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,LOT-AIRDN-02,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-02
TRANS-BID-AIRDN-C-LOT-AIRDN-02,BID-AIRDN-C-LOT-AIRDN-02,LOT-AIRDN-02,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-02
TRANS-BID-AIRDN-A-LOT-AIRDN-03,BID-AIRDN-A-LOT-AIRDN-03,LOT-AIRDN-03,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-03
TRANS-BID-AIRDN-B-LOT-AIRDN-03,BID-AIRDN-B-LOT-AIRDN-03,LOT-AIRDN-03,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-03
TRANS-BID-AIRDN-C-LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,LOT-AIRDN-03,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-03
TRANS-BID-AIRDN-A-LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,LOT-AIRDN-04,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-04
TRANS-BID-AIRDN-B-LOT-AIRDN-04,BID-AIRDN-B-LOT-AIRDN-04,LOT-AIRDN-04,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-04
TRANS-BID-AIRDN-C-LOT-AIRDN-04,BID-AIRDN-C-LOT-AIRDN-04,LOT-AIRDN-04,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-04
TRANS-BID-AIRDN-A-LOT-AIRDN-05,BID-AIRDN-A-LOT-AIRDN-05,LOT-AIRDN-05,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-05
TRANS-BID-AIRDN-B-LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,LOT-AIRDN-05,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-05
TRANS-BID-AIRDN-C-LOT-AIRDN-05,BID-AIRDN-C-LOT-AIRDN-05,LOT-AIRDN-05,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-05
TRANS-BID-AIRDN-A-LOT-AIRDN-06,BID-AIRDN-A-LOT-AIRDN-06,LOT-AIRDN-06,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-06
TRANS-BID-AIRDN-B-LOT-AIRDN-06,BID-AIRDN-B-LOT-AIRDN-06,LOT-AIRDN-06,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-06
TRANS-BID-AIRDN-C-LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,LOT-AIRDN-06,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-06
TRANS-BID-AIRDN-A-LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,LOT-AIRDN-07,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-07
TRANS-BID-AIRDN-B-LOT-AIRDN-07,BID-AIRDN-B-LOT-AIRDN-07,LOT-AIRDN-07,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-07
TRANS-BID-AIRDN-C-LOT-AIRDN-07,BID-AIRDN-C-LOT-AIRDN-07,LOT-AIRDN-07,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-07
TRANS-BID-AIRDN-A-LOT-AIRDN-08,BID-AIRDN-A-LOT-AIRDN-08,LOT-AIRDN-08,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-08
TRANS-BID-AIRDN-B-LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,LOT-AIRDN-08,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-08
TRANS-BID-AIRDN-C-LOT-AIRDN-08,BID-AIRDN-C-LOT-AIRDN-08,LOT-AIRDN-08,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-08
TRANS-BID-AIRDN-A-LOT-AIRDN-09,BID-AIRDN-A-LOT-AIRDN-09,LOT-AIRDN-09,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-A-09
TRANS-BID-AIRDN-B-LOT-AIRDN-09,BID-AIRDN-B-LOT-AIRDN-09,LOT-AIRDN-09,compressed,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-B-09
TRANS-BID-AIRDN-C-LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,LOT-AIRDN-09,standard phased,"runbook handover, shadow support, named retained-client dependencies","access, SME availability, incident baseline, service-credit language",SRC-AIRDN-TRANS-C-09
