claim_id,claim_kind,label,gate_status,realized_value_language_allowed,reason,required_evidence,evidence_ids,source_fact_ids
tower-claim-meridian-health-08_spend_value-08_spend_value-row-1,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-1-evidence,meridian-health-08_spend_value-08_spend_value-row-1
tower-claim-meridian-health-08_spend_value-08_spend_value-row-2,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-2-evidence,meridian-health-08_spend_value-08_spend_value-row-2
tower-claim-meridian-health-08_spend_value-08_spend_value-row-3,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-3-evidence,meridian-health-08_spend_value-08_spend_value-row-3
tower-claim-meridian-health-08_spend_value-08_spend_value-row-4,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-4-evidence,meridian-health-08_spend_value-08_spend_value-row-4
tower-claim-meridian-health-08_spend_value-08_spend_value-row-5,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-5-evidence,meridian-health-08_spend_value-08_spend_value-row-5
tower-claim-meridian-health-08_spend_value-08_spend_value-row-6,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-6-evidence,meridian-health-08_spend_value-08_spend_value-row-6
tower-claim-meridian-health-08_spend_value-08_spend_value-row-7,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-7-evidence,meridian-health-08_spend_value-08_spend_value-row-7
tower-claim-meridian-health-08_spend_value-08_spend_value-row-8,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-8-evidence,meridian-health-08_spend_value-08_spend_value-row-8
tower-claim-meridian-health-08_spend_value-08_spend_value-row-9,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-9-evidence,meridian-health-08_spend_value-08_spend_value-row-9
tower-claim-meridian-health-08_spend_value-08_spend_value-row-10,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-10-evidence,meridian-health-08_spend_value-08_spend_value-row-10
