authority_id,spend_band_label,single_decision_threshold_usd_min,single_decision_threshold_usd_max,approver_role,approver_person_id,approver_name,funding_source_typical,documentation_required,review_cycle,notes
funding-authority:meridian:auth-l1-director,Director-level operating spend,0,100000,Director,,(any director within function),CIO_run_budget OR Business_opex,Standard purchase requisition; no business case required,Single-shot approval,Aggregates rolled up monthly to VP.
funding-authority:meridian:auth-l2-vp-single,VP-level single-decision,100000,500000,VP,,(VP of owning function),CIO_run_budget OR CIO_change_budget OR Business_opex,"Vendor scorecard, 1-page business case, owner+finance review",Reviewed in monthly VP forum,Below-the-line for CDIO; routinely approved at VP.
funding-authority:meridian:auth-l3-svp-single,SVP-level single-decision,500000,2000000,SVP,,(SVP of owning function),CIO_change_budget OR CIO_transform_budget OR Business_capital,Business case + sourcing pack + executive sponsor signoff,Reviewed at quarterly portfolio forum,Includes vendor renewals at this band; CPO Brooks gates vendor terms.
funding-authority:meridian:auth-l4-cdio-single,CDIO single-decision authority,2000000,10000000,EVP CDIO,person:meridian:anita-krishnamurthy,Dr. Anita Krishnamurthy,CIO_change_capital OR CIO_transform_capital,Business case + EPMO charter + finance signoff + AI Governance Council attestation if AI-touching,Monthly EC review,AI-program initiation gated through AI Governance Council (Wexler chair).
funding-authority:meridian:auth-l5-cfo-cdio-joint,CFO + CDIO joint approval,10000000,25000000,EVP CFO + EVP CDIO joint,person:meridian:david-park,David Park (CFO) + Anita Krishnamurthy (CDIO),CIO_change_capital OR CIO_transform_capital OR Business_capital,Capital request memo + 5-year P&L impact + sponsor signoff,Monthly EC + quarterly Board Finance Committee summary,Both signatures required; tension common between CFO discipline and CDIO transformation.
funding-authority:meridian:auth-l6-ceo-single,CEO single-decision authority,25000000,50000000,CEO,person:meridian:elaine-morales,Dr. Elaine Morales,Corporate_capital OR Business_capital,Enterprise capital review packet + Board Finance Committee endorsement,Quarterly Board Finance Committee,Signaling threshold for board-level visibility.
funding-authority:meridian:auth-l7-board-finance-committee,Board Finance Committee,50000000,200000000,Board Finance Committee,,Board Finance Committee,Corporate_capital OR Service_line_capital,Capital plan submission + investment thesis + 7-year P&L + sensitivity analysis,Quarterly with board materials,"Sacramento flagship modernization, Bay Area network investments are at this band."
funding-authority:meridian:auth-l8-full-board,Full Board approval,200000000,,Full Board of Trustees,,Full Board,Strategic_capital OR M&A_capital,Strategic plan + competitive analysis + financing plan + regulatory readiness,Annually + special sessions,Hawaii expansion ($240M total cycle 2022-2023) was at this band.
funding-authority:meridian:auth-special-ai-gov,AI Governance Council attestation,0,,AI Governance Council (Wexler chair),person:meridian:jennifer-wexler,Dr. Jennifer Wexler,Any AI-touching spend regardless of dollar threshold,Use case design + clinical safety review + bias assessment + PHI handling + monitoring plan,Bi-weekly during 23-use-case cycle,PARALLEL gate to dollar approval; required for any spend with AI components. Attests to Board Risk Committee.
funding-authority:meridian:auth-special-board-risk,Board Risk Committee oversight,0,,Board Risk Committee,,Board Risk Committee,Any spend creating new enterprise risk concentration,Risk register update + mitigation plan + monitoring framework,Quarterly + ad-hoc for material risk events,Reviews AI Governance attestations + cybersecurity posture quarterly.
