app_name,vendor,product,capability,deployment_model,architecture,hosting_ref,lifecycle,compliance_scope,annual_tco_usd,users,criticality_tier,business_owner,it_owner,banner,region,source
SAP S/4HANA Finance,SAP,S/4HANA,Finance & Controlling,private_cloud,cots_packaged,gcp-prod-erp,invest,SOX,illustrative,9000,Tier 0,Margaret Chen (CFO),Carlos Rivera (CIO),Apex Core,Global,illustrative (canonical=SAP ECC 6.0 per technology_inventory.ts; L-tier assumes S/4 migration)
SAP S/4HANA Supply Chain,SAP,S/4HANA,Supply Chain Execution,private_cloud,cots_packaged,gcp-prod-erp,invest,SOX,illustrative,6000,Tier 0,Michael Tanaka (CSCO),Carlos Rivera (CIO),Apex Core,Global,illustrative
Blue Yonder Merchandising,Blue Yonder (JDA),Luminate Merchandising,Merchandise & Assortment Planning,saas,cots_packaged,vendor-hosted-by,invest,SOX,illustrative,2800,Tier 1,Angela Foster (CMerchO),Linda Mwangi (VP EA),Apex Core,Global,illustrative
o9 Demand Planning,o9 Solutions,o9 Platform,Demand Forecasting,saas,microservices,vendor-hosted-o9,sustain,none,illustrative,1800,Tier 1,Michael Tanaka (CSCO),Carlos Rivera (CIO),Apex Core,Global,canonical: technology_inventory.ts (o9 40% implemented)
Manhattan Active WM,Manhattan Associates,Active Warehouse Management,Warehouse Management,public_cloud,microservices,gcp-prod-scm,invest,none,illustrative,6200,Tier 1,Michael Tanaka (CSCO),Carlos Rivera (CIO),Apex Core,Global,canonical vendor: technology_inventory.ts (Manhattan WMS)
IBM Sterling OMS,IBM,Sterling Order Management,Order Management,on_prem,client_server,dc-columbus,retire,PCI,illustrative,1800,Tier 1,David Okonjo (COO),Carlos Rivera (CIO),Apex Core,NA,canonical: technology_inventory.ts (Sterling 10.0 EoL extended)
Apex Commerce Platform,Internal,Custom commerce microservices,E-commerce Storefront,public_cloud,microservices,aws-prod-commerce,invest,PCI,illustrative,illustrative,Tier 0,Jennifer Park (CMO),Priya Iyer (VP Digital),Apex Digital,Global,illustrative (canonical heritage=Salesforce Commerce Cloud)
Salesforce Commerce Cloud,Salesforce,Commerce Cloud B2C,E-commerce (heritage banners),saas,microservices,vendor-hosted-sfdc,sustain,PCI,illustrative,illustrative,Tier 1,Jennifer Park (CMO),Priya Iyer (VP Digital),Apex Digital,NA,canonical: technology_inventory.ts (SFCC underperforming)
Akamai CDN,Akamai,Edge & CDN,Content Delivery & WAF,saas,serverless,akamai-edge,sustain,PCI,illustrative,,Tier 1,Priya Iyer (VP Digital),Raj Patel (VP Infra),Apex Digital,Global,illustrative
Workday HCM,Workday,Workday HCM,Human Capital Management,saas,cots_packaged,vendor-hosted-wday,invest,SOX,illustrative,illustrative,Tier 1,Thomas Brennan (CHRO),Diana Lopez (VP App Svcs),Apex Core,Global,illustrative
