tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,period_start,period_end,metric_name,service_tower,committed_threshold_pct,actual_result_pct,ticket_volume,breach_state,credit_owed_usd,credit_claimed,credit_recovered_usd,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-07:critical_incident_response_minutes,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07-01,2026-07-31,critical_incident_response_minutes,Legacy Analytics AMS,30,30,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-07:p1_p2_resolution_hours,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07-01,2026-07-31,p1_p2_resolution_hours,Legacy Analytics AMS,8,8,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-07:batch_completion_by_7am_pct,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07-01,2026-07-31,batch_completion_by_7am_pct,Legacy Analytics AMS,98,98,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-07:report_refresh_timeliness_pct,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07-01,2026-07-31,report_refresh_timeliness_pct,Legacy Analytics AMS,97,97,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-07:change_success_rate_pct,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07-01,2026-07-31,change_success_rate_pct,Legacy Analytics AMS,95,95,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-07:problem_backlog_older_30_days,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07-01,2026-07-31,problem_backlog_older_30_days,Legacy Analytics AMS,12,12,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-08:critical_incident_response_minutes,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08-01,2026-08-31,critical_incident_response_minutes,Legacy Analytics AMS,30,29,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-08:p1_p2_resolution_hours,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08-01,2026-08-31,p1_p2_resolution_hours,Legacy Analytics AMS,8,7,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-08:batch_completion_by_7am_pct,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08-01,2026-08-31,batch_completion_by_7am_pct,Legacy Analytics AMS,98,99,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
meridian-health,meridian-laams-new-event-rich-v2-20260908,sla:MER-TECH-LAAMS-001:2026-08:report_refresh_timeliness_pct,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08-01,2026-08-31,report_refresh_timeliness_pct,Legacy Analytics AMS,97,98,,met,0,false,0,DOC-LAAMS-SLA-SCHEDULE
