module,source_object,projection_family,intended_consumers,refresh_trigger,current_authority,lineage_requirement,parity_test,rollback_path,status
Tower,cio_tower.facts,consumption.metric_facts,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,value_source; confidence; source_key; source_row,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.mart_ai_portfolio,consumption.mart_ai_portfolio,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,evidence_ids; source_fact_keys; source_file; source_row,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.mart_command_center,consumption.mart_command_center,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,source_standard; source_run_id; source_fact_keys; source_files,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.mart_cxo_actions,consumption.mart_cxo_actions,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,evidence_ids; source_fact_keys,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.mart_evidence_lineage,consumption.evidence_mart_evidence_lineage,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,lineage_key; source_file; source_row; source_system; source_fact_keys,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.mart_program_decision_lanes,consumption.program_mart_program_decision_lanes,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,evidence_ids; source_fact_keys; source_file; source_row,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.mart_required_field_gaps,consumption.mart_required_field_gaps,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,source_template; source_record_id,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.mart_value_funnel,consumption.metric_mart_value_funnel,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,source_fact_keys; source_file; source_row,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.measure_results,consumption.metric_measure_results,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,source_fact_keys,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_atlas_context_packs,consumption.context_ai_control_atlas_context_packs,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,evidence_keys,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_tower_lens_mv,consumption.ai_control_tower_lens_mv,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,No parsed lineage fields; inspect write path before promotion,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.tower_budget_rollups,consumption.tower_budget_rollups,Nexus; aVa; Cube; Superset; Observable; module dashboards; exports,Domain publication/outbox or controlled materialization run after source reconciliation,Candidate/domain-derived; not canonical until promoted,source_file; lineage,Compare current screen/API/export answer to new projection output under same tenant and period,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
