proposal_id,lot_id,pricing_schedule_id,baseline_index,transition_fee_mode,assumptions_ref,source_id
BID-AIRDN-A-LOT-AIRDN-01,LOT-AIRDN-01,PRICE-BID-AIRDN-A-LOT-AIRDN-01,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-01,SRC-AIRDN-PRICE-A-01
BID-AIRDN-B-LOT-AIRDN-01,LOT-AIRDN-01,PRICE-BID-AIRDN-B-LOT-AIRDN-01,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-01,SRC-AIRDN-PRICE-B-01
BID-AIRDN-C-LOT-AIRDN-01,LOT-AIRDN-01,PRICE-BID-AIRDN-C-LOT-AIRDN-01,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-01,SRC-AIRDN-PRICE-C-01
BID-AIRDN-A-LOT-AIRDN-02,LOT-AIRDN-02,PRICE-BID-AIRDN-A-LOT-AIRDN-02,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-02,SRC-AIRDN-PRICE-A-02
BID-AIRDN-B-LOT-AIRDN-02,LOT-AIRDN-02,PRICE-BID-AIRDN-B-LOT-AIRDN-02,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-02,SRC-AIRDN-PRICE-B-02
BID-AIRDN-C-LOT-AIRDN-02,LOT-AIRDN-02,PRICE-BID-AIRDN-C-LOT-AIRDN-02,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-02,SRC-AIRDN-PRICE-C-02
BID-AIRDN-A-LOT-AIRDN-03,LOT-AIRDN-03,PRICE-BID-AIRDN-A-LOT-AIRDN-03,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-03,SRC-AIRDN-PRICE-A-03
BID-AIRDN-B-LOT-AIRDN-03,LOT-AIRDN-03,PRICE-BID-AIRDN-B-LOT-AIRDN-03,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-03,SRC-AIRDN-PRICE-B-03
BID-AIRDN-C-LOT-AIRDN-03,LOT-AIRDN-03,PRICE-BID-AIRDN-C-LOT-AIRDN-03,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-03,SRC-AIRDN-PRICE-C-03
BID-AIRDN-A-LOT-AIRDN-04,LOT-AIRDN-04,PRICE-BID-AIRDN-A-LOT-AIRDN-04,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-04,SRC-AIRDN-PRICE-A-04
BID-AIRDN-B-LOT-AIRDN-04,LOT-AIRDN-04,PRICE-BID-AIRDN-B-LOT-AIRDN-04,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-04,SRC-AIRDN-PRICE-B-04
BID-AIRDN-C-LOT-AIRDN-04,LOT-AIRDN-04,PRICE-BID-AIRDN-C-LOT-AIRDN-04,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-04,SRC-AIRDN-PRICE-C-04
