tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,incident_id,opened_date,severity,affected_service,short_description,resolution_hours,sla_met,root_cause_family,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00001,2026-07-01,P2,SQL mart refresh,Synthetic incident 1: late refresh,2,false,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00002,2026-08-01,P3,Tableau extract,Synthetic incident 2: data mismatch,2.7,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00003,2026-09-01,P3,Power BI gateway,Synthetic incident 3: access issue,3.4,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00004,2026-10-01,P4,SAS batch,Synthetic incident 4: failed batch,4.1,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00005,2026-11-01,P4,claims feed,Synthetic incident 5: dashboard timeout,4.8,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00006,2026-12-01,P2,provider dashboard,Synthetic incident 6: missing source file,5.5,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00007,2027-01-01,P3,SQL mart refresh,Synthetic incident 7: late refresh,6.2,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00008,2027-02-01,P3,Tableau extract,Synthetic incident 8: data mismatch,6.9,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00009,2027-03-01,P4,Power BI gateway,Synthetic incident 9: access issue,7.6,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00010,2027-04-01,P4,SAS batch,Synthetic incident 10: failed batch,8.3,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00011,2027-05-01,P2,claims feed,Synthetic incident 11: dashboard timeout,9,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00012,2027-06-01,P3,provider dashboard,Synthetic incident 12: missing source file,9.7,false,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00013,2026-07-01,P3,SQL mart refresh,Synthetic incident 13: late refresh,10.4,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00014,2026-08-01,P4,Tableau extract,Synthetic incident 14: data mismatch,11.1,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00015,2026-09-01,P4,Power BI gateway,Synthetic incident 15: access issue,11.8,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00016,2026-10-01,P2,SAS batch,Synthetic incident 16: failed batch,12.5,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00017,2026-11-01,P3,claims feed,Synthetic incident 17: dashboard timeout,13.2,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00018,2026-12-01,P3,provider dashboard,Synthetic incident 18: missing source file,13.9,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00019,2027-01-01,P4,SQL mart refresh,Synthetic incident 19: late refresh,14.6,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00020,2027-02-01,P4,Tableau extract,Synthetic incident 20: data mismatch,15.3,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00021,2027-03-01,P2,Power BI gateway,Synthetic incident 21: access issue,16,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00022,2027-04-01,P3,SAS batch,Synthetic incident 22: failed batch,16.7,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00023,2027-05-01,P3,claims feed,Synthetic incident 23: dashboard timeout,17.4,false,code defect,meridian-laams-new-event-rich-v2-20260908
