spend_id,period_start,period_end,business_unit_id,cost_center,vendor_id,contract_id,category,actual_spend_usd,run_rate_usd,capex_opex,budget_owner,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SPEND-MH-0001,2026-02-01,2026-02-28,BU-AMB,CC-1001,VEN-AMS-EPIC,CON-AMS-EPIC-2026,AMS - Epic,1534433,18400000,Opex,CDAO,ERP spend export,SPEND-MH-0001,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0002,2026-03-01,2026-03-28,BU-PLAN,CC-1002,VEN-AMS-DATA,CON-AMS-DATA-2026,AMS - Data Analytics,1052200,12600000,Opex,CTO,ERP spend export,SPEND-MH-0002,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0003,2026-04-01,2026-04-28,BU-IT,CC-1003,VEN-AWS,CON-AWS-EA-2027,Cloud Infrastructure,4019966,48200000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0003,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0004,2026-05-01,2026-05-28,BU-SHARED,CC-1004,VEN-ORACLE,CON-ORACLE-ERP-2028,ERP and Finance,1196066,14300000,Capex,Health Plan,ERP spend export,SPEND-MH-0004,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0005,2026-06-01,2026-06-28,BU-ACUTE,CC-1005,VEN-WORKDAY,CON-WORKDAY-2028,HCM,772166,9200000,Opex,CFO,ERP spend export,SPEND-MH-0005,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0006,2026-07-01,2026-07-28,BU-AMB,CC-1006,VEN-SNOW,CON-SNOW-2028,ITSM / CMDB,598266,7100000,Opex,CDAO,ERP spend export,SPEND-MH-0006,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0007,2026-08-01,2026-08-28,BU-PLAN,CC-1007,VEN-DATABRICKS,CON-DATABRICKS-2028,Data Platform,824366,9800000,Opex,CTO,ERP spend export,SPEND-MH-0007,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0008,2026-09-01,2026-09-28,BU-IT,CC-1008,VEN-MICROSOFT,CON-M365-2028,Productivity and Identity,1875466,22400000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0008,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0009,2026-10-01,2026-10-28,BU-SHARED,CC-1009,VEN-RHAPSODY,CON-RHAPSODY-2027,Integration,309900,3600000,Opex,Health Plan,ERP spend export,SPEND-MH-0009,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0010,2026-11-01,2026-11-28,BU-ACUTE,CC-1010,VEN-COLLIBRA,CON-COLLIBRA-2027,Data Governance,252666,2900000,Opex,CFO,ERP spend export,SPEND-MH-0010,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0011,2026-12-01,2026-12-28,BU-AMB,CC-1011,VEN-CROWDSTRIKE,CON-CROWDSTRIKE-2027,Security,437100,5100000,Opex,CDAO,ERP spend export,SPEND-MH-0011,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0012,2026-01-01,2026-01-28,BU-PLAN,CC-1012,VEN-MH-013,CON-MH-013-2027,Security,221450,2499000,Capex,CTO,ERP spend export,SPEND-MH-0012,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0013,2026-02-01,2026-02-28,BU-IT,CC-1013,VEN-MH-014,CON-MH-014-2027,Integration,236966,2672000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0013,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0014,2026-03-01,2026-03-28,BU-SHARED,CC-1014,VEN-MH-015,CON-MH-015-2027,Health Plan Operations,252483,2845000,Opex,Health Plan,ERP spend export,SPEND-MH-0014,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0015,2026-04-01,2026-04-28,BU-ACUTE,CC-1015,VEN-MH-016,CON-MH-016-2027,Revenue Cycle,268000,3018000,Opex,CFO,ERP spend export,SPEND-MH-0015,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0016,2026-05-01,2026-05-28,BU-AMB,CC-1016,VEN-MH-017,CON-MH-017-2027,Contact Center,283516,3191000,Capex,CDAO,ERP spend export,SPEND-MH-0016,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0017,2026-06-01,2026-06-28,BU-PLAN,CC-1017,VEN-MH-018,CON-MH-018-2027,Device Management,299033,3364000,Opex,CTO,ERP spend export,SPEND-MH-0017,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0018,2026-07-01,2026-07-28,BU-IT,CC-1018,VEN-MH-019,CON-MH-019-2027,Professional Services,314550,3537000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0018,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0019,2026-08-01,2026-08-28,BU-SHARED,CC-1019,VEN-MH-020,CON-MH-020-2027,Clinical Systems,330066,3710000,Opex,Health Plan,ERP spend export,SPEND-MH-0019,IT Finance,2026-06-04,0.86,true,
