program_id,program_name,owning_function,phase,business_outcome,benefit_disclosure_mode,dependency_family
PROG-HCDN-0001,RAF capture program 0001,Revenue Cycle,P1 charter,medical cost trend reduction,range,SQL/EDW dependency family
PROG-HCDN-0002,Epic analytics modernization program 0002,Patient Access,P2 discovery,access improvement,indexed,claims dependency family
PROG-HCDN-0003,SQL mart rationalization program 0003,Interoperability,P3 option,cash acceleration,trend-only,contract dependency family
PROG-HCDN-0004,Azure data foundation program 0004,Population Health,P4 plan,platform resilience,withheld,cloud dependency family
PROG-HCDN-0005,AWS agentic strategy program 0005,Health Plan Operations,P5 execute,data readiness,exact,vendor dependency family
PROG-HCDN-0006,prior authorization modernization program 0006,Medicare Advantage,P0 idea,risk reduction,range,workforce dependency family
PROG-HCDN-0007,patient access transformation program 0007,Claims Operations,P1 charter,operating-model change,indexed,Epic dependency family
PROG-HCDN-0008,revenue-cycle automation program 0008,Utilization Management,P2 discovery,quality incentive attainment,trend-only,SQL/EDW dependency family
PROG-HCDN-0009,payment integrity program 0009,Member Services,P3 option,medical cost trend reduction,withheld,claims dependency family
PROG-HCDN-0010,care-gap closure program 0010,Quality and Stars,P4 plan,access improvement,exact,contract dependency family
PROG-HCDN-0011,cloud migration program 0011,Risk Adjustment,P5 execute,cash acceleration,range,cloud dependency family
PROG-HCDN-0012,Stars uplift program 0012,Care Management,P0 idea,platform resilience,indexed,vendor dependency family
PROG-HCDN-0013,RAF capture program 0013,Finance,P1 charter,data readiness,trend-only,workforce dependency family
PROG-HCDN-0014,Epic analytics modernization program 0014,Coding,P2 discovery,risk reduction,withheld,Epic dependency family
PROG-HCDN-0015,SQL mart rationalization program 0015,Payer Contracting,P3 option,operating-model change,exact,SQL/EDW dependency family
PROG-HCDN-0016,Azure data foundation program 0016,Digital Front Door,P4 plan,quality incentive attainment,range,claims dependency family
PROG-HCDN-0017,AWS agentic strategy program 0017,Contact Center,P5 execute,medical cost trend reduction,indexed,contract dependency family
PROG-HCDN-0018,prior authorization modernization program 0018,Ambulatory Care,P0 idea,access improvement,trend-only,cloud dependency family
PROG-HCDN-0019,patient access transformation program 0019,Emergency Department,P1 charter,cash acceleration,withheld,vendor dependency family
PROG-HCDN-0020,revenue-cycle automation program 0020,Inpatient,P2 discovery,platform resilience,exact,workforce dependency family
PROG-HCDN-0021,payment integrity program 0021,Surgery,P3 option,data readiness,range,Epic dependency family
