app_id,name,criticality,owner_role,system_of_record,ams_vendor,time_classification,platform,hosting_model,data_classification,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
APP-LSH-HOLDCO-001,Holdco Finance Core,Tier 1,Holdco Application Owner,true,KYRIBA,run,Kyriba,Azure,restricted,ServiceNow CMDB,servicenow-cmdb-0001,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-002,Northline Procurement Service,Tier 3,Northline Application Owner,false,KYRIBA,change,Manhattan WMS,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0002,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-003,Brightmark Identity Service,Tier 3,Brightmark Application Owner,false,KYRIBA,modernize,Brandfolder DAM,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0003,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-004,Forge & Field ITSM Service,Tier 2,Forge & Field Application Owner,false,KYRIBA,retire,PIM Akeneo,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0004,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-005,Great Lakes Pantry Data Warehouse Core,Tier 3,Great Lakes Pantry Application Owner,false,KYRIBA,run,Salesforce Field Service,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0005,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-006,Holdco BI Service,Tier 3,Holdco Application Owner,true,KYRIBA,change,Power BI,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0006,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-007,Northline Integration Service,Tier 2,Northline Application Owner,false,KYRIBA,modernize,SAP S/4HANA,AWS,restricted,ServiceNow CMDB,servicenow-cmdb-0007,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-008,Brightmark CRM Service,Tier 1,Brightmark Application Owner,false,KYRIBA,retire,Adobe Experience Manager,SaaS,confidential,ServiceNow CMDB,servicenow-cmdb-0008,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-009,Forge & Field Planning Core,Tier 3,Forge & Field Application Owner,false,KYRIBA,run,NetSuite,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0009,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-GLP-010,Great Lakes Pantry WMS Service,Tier 2,Great Lakes Pantry Application Owner,false,KYRIBA,change,NetSuite,Hybrid,confidential,ServiceNow CMDB,servicenow-cmdb-0010,Great Lakes Pantry Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-LSH-HOLDCO-011,Holdco TMS Service,Tier 3,Holdco Application Owner,true,KYRIBA,modernize,Okta,Azure,confidential,ServiceNow CMDB,servicenow-cmdb-0011,Holdco Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-NLS-012,Northline DAM Service,Tier 3,Northline Application Owner,false,KYRIBA,retire,Snowflake,AWS,confidential,ServiceNow CMDB,servicenow-cmdb-0012,Northline Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-BMS-013,Brightmark PIM Core,Tier 2,Brightmark Application Owner,false,KYRIBA,run,Salesforce Marketing Cloud,SaaS,restricted,ServiceNow CMDB,servicenow-cmdb-0013,Brightmark Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
APP-FFF-014,Forge & Field OMS Service,Tier 3,Forge & Field Application Owner,false,KYRIBA,change,Salesforce Commerce Cloud,On-prem,confidential,ServiceNow CMDB,servicenow-cmdb-0014,Forge & Field Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
