initiative_id,risk_id,risk_domain,severity,control_status,exception_or_gap,owner_role,source_file,source_row,value_source
FC-AI-001,FC-AI-001-RISK,aml_compliance,critical,blocked,No measurable value after pilot; sunset and reallocate budget,Chief Risk Officer,ai-control-tower/T09_risk-governance.csv,2,tenant_file
FC-AI-002,FC-AI-002-RISK,aml_compliance,critical,approved_with_conditions,,BSA/AML Officer,ai-control-tower/T09_risk-governance.csv,3,tenant_file
FC-AI-003,FC-AI-003-RISK,aml_compliance,critical,approved_with_conditions,,BSA/AML Officer,ai-control-tower/T09_risk-governance.csv,4,tenant_file
FC-AI-004,FC-AI-004-RISK,privacy_security,medium,approved_with_conditions,Scope too broad; re-baseline against a single high-value workflow,Head of Customer Experience,ai-control-tower/T09_risk-governance.csv,5,tenant_file
FC-AI-005,FC-AI-005-RISK,privacy_security,medium,approved_with_conditions,,Head of Commercial Banking,ai-control-tower/T09_risk-governance.csv,6,tenant_file
FC-AI-006,FC-AI-006-RISK,operational,high,approved_with_conditions,,Chief Data & Analytics Officer,ai-control-tower/T09_risk-governance.csv,7,tenant_file
FC-AI-007,FC-AI-007-RISK,operational,medium,approved_with_conditions,Reported automation not reproducible in evidence; reclassify,Chief Data & Analytics Officer,ai-control-tower/T09_risk-governance.csv,8,tenant_file
FC-AI-008,FC-AI-008-RISK,aml_compliance,medium,approved_with_conditions,Awaiting model-risk validation and source evidence gate,Chief Information Officer,ai-control-tower/T09_risk-governance.csv,9,tenant_file
FC-AI-009,FC-AI-009-RISK,privacy_security,medium,approved_with_conditions,,Chief Financial Officer,ai-control-tower/T09_risk-governance.csv,10,tenant_file
FC-AI-010,FC-AI-010-RISK,third_party,critical,blocked,No measurable value after pilot; sunset and reallocate budget,Head of Cards & Payments,ai-control-tower/T09_risk-governance.csv,11,tenant_file
FC-AI-011,FC-AI-011-RISK,operational,medium,blocked,Awaiting model-risk validation and source evidence gate,Head of Wealth Management,ai-control-tower/T09_risk-governance.csv,12,tenant_file
FC-AI-012,FC-AI-012-RISK,privacy_security,medium,blocked,Awaiting model-risk validation and source evidence gate,Chief Operating Officer,ai-control-tower/T09_risk-governance.csv,13,tenant_file
FC-AI-013,FC-AI-013-RISK,model_risk,critical,blocked,Scope too broad; re-baseline against a single high-value workflow,Chief Risk Officer,ai-control-tower/T09_risk-governance.csv,14,tenant_file
FC-AI-014,FC-AI-014-RISK,aml_compliance,critical,approved_with_conditions,,BSA/AML Officer,ai-control-tower/T09_risk-governance.csv,15,tenant_file
FC-AI-015,FC-AI-015-RISK,privacy_security,high,approved_with_conditions,Awaiting model-risk validation and source evidence gate,Chief Operating Officer,ai-control-tower/T09_risk-governance.csv,16,tenant_file
FC-AI-016,FC-AI-016-RISK,aml_compliance,medium,blocked,Reported automation not reproducible in evidence; reclassify,Head of Consumer Banking,ai-control-tower/T09_risk-governance.csv,17,tenant_file
FC-AI-017,FC-AI-017-RISK,privacy_security,medium,blocked,Awaiting model-risk validation and source evidence gate,Head of Consumer Banking,ai-control-tower/T09_risk-governance.csv,18,tenant_file
FC-AI-018,FC-AI-018-RISK,model_risk,medium,blocked,Awaiting model-risk validation and source evidence gate,Treasurer,ai-control-tower/T09_risk-governance.csv,19,tenant_file
FC-AI-019,FC-AI-019-RISK,aml_compliance,critical,blocked,No measurable value after pilot; sunset and reallocate budget,Chief Compliance Officer,ai-control-tower/T09_risk-governance.csv,20,tenant_file
FC-AI-020,FC-AI-020-RISK,privacy_security,medium,approved_with_conditions,Awaiting model-risk validation and source evidence gate,Chief Information Officer,ai-control-tower/T09_risk-governance.csv,21,tenant_file
FC-AI-021,FC-AI-021-RISK,third_party,high,approved_with_conditions,,Head of Commercial Banking,ai-control-tower/T09_risk-governance.csv,22,tenant_file
FC-AI-022,FC-AI-022-RISK,aml_compliance,critical,approved_with_conditions,Scope too broad; re-baseline against a single high-value workflow,BSA/AML Officer,ai-control-tower/T09_risk-governance.csv,23,tenant_file
FC-AI-023,FC-AI-023-RISK,model_risk,medium,approved_with_conditions,Awaiting model-risk validation and source evidence gate,Chief Operating Officer,ai-control-tower/T09_risk-governance.csv,24,tenant_file
FC-AI-024,FC-AI-024-RISK,fair_lending,medium,approved_with_conditions,Awaiting model-risk validation and source evidence gate,Head of Cards & Payments,ai-control-tower/T09_risk-governance.csv,25,tenant_file
FC-AI-025,FC-AI-025-RISK,privacy_security,high,approved_with_conditions,Reported automation not reproducible in evidence; reclassify,Head of Customer Experience,ai-control-tower/T09_risk-governance.csv,26,tenant_file
FC-AI-026,FC-AI-026-RISK,model_risk,medium,blocked,Awaiting model-risk validation and source evidence gate,Treasurer,ai-control-tower/T09_risk-governance.csv,27,tenant_file
FC-AI-027,FC-AI-027-RISK,privacy_security,high,approved_with_conditions,Awaiting model-risk validation and source evidence gate,Chief Operating Officer,ai-control-tower/T09_risk-governance.csv,28,tenant_file
FC-AI-028,FC-AI-028-RISK,model_risk,critical,blocked,No measurable value after pilot; sunset and reallocate budget,Chief Risk Officer,ai-control-tower/T09_risk-governance.csv,29,tenant_file
FC-AI-029,FC-AI-029-RISK,aml_compliance,medium,blocked,Awaiting model-risk validation and source evidence gate,Chief Compliance Officer,ai-control-tower/T09_risk-governance.csv,30,tenant_file
FC-AI-030,FC-AI-030-RISK,model_risk,medium,approved_with_conditions,,Head of Consumer Banking,ai-control-tower/T09_risk-governance.csv,31,tenant_file
FC-AI-031,FC-AI-031-RISK,model_risk,medium,approved_with_conditions,,Chief Data & Analytics Officer,ai-control-tower/T09_risk-governance.csv,32,tenant_file
FC-AI-032,FC-AI-032-RISK,aml_compliance,critical,approved_with_conditions,,Chief Risk Officer,ai-control-tower/T09_risk-governance.csv,33,tenant_file
FC-AI-033,FC-AI-033-RISK,aml_compliance,medium,approved_with_conditions,,Head of Consumer Banking,ai-control-tower/T09_risk-governance.csv,34,tenant_file
FC-AI-034,FC-AI-034-RISK,third_party,medium,approved_with_conditions,,Chief Financial Officer,ai-control-tower/T09_risk-governance.csv,35,tenant_file
FC-AI-035,FC-AI-035-RISK,operational,medium,approved_with_conditions,,Head of Consumer Banking,ai-control-tower/T09_risk-governance.csv,36,tenant_file
FC-AI-036,FC-AI-036-RISK,fair_lending,medium,approved_with_conditions,,Chief Information Officer,ai-control-tower/T09_risk-governance.csv,37,tenant_file
FC-AI-037,FC-AI-037-RISK,privacy_security,critical,blocked,No measurable value after pilot; sunset and reallocate budget,Chief Compliance Officer,ai-control-tower/T09_risk-governance.csv,38,tenant_file
FC-AI-038,FC-AI-038-RISK,operational,medium,approved_with_conditions,,Head of Commercial Banking,ai-control-tower/T09_risk-governance.csv,39,tenant_file
FC-AI-039,FC-AI-039-RISK,aml_compliance,critical,approved_with_conditions,,BSA/AML Officer,ai-control-tower/T09_risk-governance.csv,40,tenant_file
FC-AI-040,FC-AI-040-RISK,third_party,medium,approved_with_conditions,Scope too broad; re-baseline against a single high-value workflow,Head of Consumer Banking,ai-control-tower/T09_risk-governance.csv,41,tenant_file
FC-AI-041,FC-AI-041-RISK,privacy_security,medium,blocked,Awaiting model-risk validation and source evidence gate,Treasurer,ai-control-tower/T09_risk-governance.csv,42,tenant_file
FC-AI-042,FC-AI-042-RISK,privacy_security,high,approved_with_conditions,,Chief Information Security Officer,ai-control-tower/T09_risk-governance.csv,43,tenant_file
