tenant_key,evidence_id,related_object_type,related_object_id,evidence_type,evidence_name,source_system,source_record_id,evidence_date,owner_role,freshness_state,confidence,quality_state
meridian-health,EVID-PRJ-001,project,PRJ-MER-001,portfolio_record,Epic revenue cycle modernization portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-001,2026-08-24,VP Revenue Cycle,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-002,project,PRJ-MER-002,portfolio_record,Cloud resilience and network modernization portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-002,2026-08-24,CTO,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-003,project,PRJ-MER-003,portfolio_record,Enterprise identity and access modernization portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-003,2026-08-24,CISO,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-004,project,PRJ-MER-004,portfolio_record,Enterprise AI platform foundation portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-004,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-005,project,PRJ-MER-005,portfolio_record,Digital front door personalization portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-005,2026-08-24,Chief Digital Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-006,project,PRJ-MER-006,portfolio_record,ServiceNow operations AI rollout portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-006,2026-08-24,VP Enterprise Platforms,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-007,project,PRJ-MER-007,portfolio_record,Epic ambulatory access optimization portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-007,2026-08-24,"President, Medical Group",current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-008,project,PRJ-MER-008,portfolio_record,Data quality and interoperability foundation portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-008,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-009,project,PRJ-MER-009,portfolio_record,Contact center AI assist portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-009,2026-08-24,SVP Member Services,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-010,project,PRJ-MER-010,portfolio_record,Workday finance close AI assistant portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-010,2026-08-24,VP Controller,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-011,project,PRJ-MER-011,portfolio_record,Clinical documentation ambient pilot portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-011,2026-08-24,CMIO,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-012,project,PRJ-MER-012,portfolio_record,Copilot secure productivity rollout portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-012,2026-08-24,VP Corporate IT,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-013,project,PRJ-MER-013,portfolio_record,Prior authorization automation portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-013,2026-08-24,VP Claims Operations,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-014,project,PRJ-MER-014,portfolio_record,Provider data quality remediation portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-014,2026-08-24,VP Provider Operations,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-015,project,PRJ-MER-015,portfolio_record,Security operations automation portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-015,2026-08-24,CISO,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-016,project,PRJ-MER-016,portfolio_record,ServiceNow knowledge article generation 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-016,2026-08-24,VP Enterprise Platforms,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-017,project,PRJ-MER-017,portfolio_record,claims intake document AI 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-017,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-018,project,PRJ-MER-018,portfolio_record,population health analytics workspace 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-018,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-019,project,PRJ-MER-019,portfolio_record,clinical documentation queue summarization 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-019,2026-08-24,CMIO,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-020,project,PRJ-MER-020,portfolio_record,model monitoring and prompt-risk controls 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-020,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-021,project,PRJ-MER-021,portfolio_record,member identity resolution data product 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-021,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-022,project,PRJ-MER-022,portfolio_record,member mobile next-best-action pilot 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-022,2026-08-24,Chief Digital Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-023,project,PRJ-MER-023,portfolio_record,Microsoft 365 Copilot productivity wave 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-023,2026-08-24,VP Corporate IT,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-024,project,PRJ-MER-024,portfolio_record,finance planning analytics workspace 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-024,2026-08-24,VP Controller,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-025,project,PRJ-MER-025,portfolio_record,SOC alert summarization assistant 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-025,2026-08-24,CISO,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-026,project,PRJ-MER-026,portfolio_record,AI service management controls foundation 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-026,2026-08-24,VP Enterprise Platforms,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-027,project,PRJ-MER-027,portfolio_record,AI feature store governance uplift 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-027,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-028,project,PRJ-MER-028,portfolio_record,prior authorization clinical policy assistant 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-028,2026-08-24,VP Claims Operations,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-029,project,PRJ-MER-029,portfolio_record,contact center agent assist rollout 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-029,2026-08-24,SVP Member Services,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-030,project,PRJ-MER-030,portfolio_record,quality measure performance analytics 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-030,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-031,project,PRJ-MER-031,portfolio_record,ambulatory access waitlist optimization 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-031,2026-08-24,"President, Medical Group",current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-032,project,PRJ-MER-032,portfolio_record,enterprise AI evaluation harness 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-032,2026-08-24,Chief Data and AI Officer,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-033,project,PRJ-MER-033,portfolio_record,provider data matching remediation 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-033,2026-08-24,VP Provider Operations,current,medium,synthetic_review_ready
meridian-health,EVID-PRJ-034,project,PRJ-MER-034,portfolio_record,digital front door personalization wave 1 portfolio approval record,PMO / IT portfolio tracker,PRJ-MER-034,2026-08-24,Chief Digital Officer,current,medium,synthetic_review_ready
