tenant_key,risk_or_control_name,risk_domain,business_function,systems_impacted,severity,likelihood,control_owner,control_status,evidence_required,mitigation_plan,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,data_domain,systems,value_hypothesis,evidence_needed,legacy_row_flag,source_row_status,migration_action,additive_status,amount_basis,finance_attestation_status,funding_status,approved_funding_usd,realized_value_usd,tower_claim_allowed,evidence_type,evidence_location,evidence_owner,caveat,generated_fields,generation_basis
meridian-health,Unified clinical + claims lakehouse: No certified medallion architecture,,,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,Medium,Unlikely,,Design only,,,,,high,No certified medallion architecture,MER-V3-0001,MER-HS,Unified clinical + claims lakehouse: No certified medallion architecture,Unified clinical + claims lakehouse: No certified medallion architecture,11_risks_controls,MER-V3-EVID-0170,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,No certified medallion architecture,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,baseline_required_before_value_claim,Do not claim a production longitudinal patient view exists.; Do not claim Databricks or medallion architecture is implemented.; Do not cite patient-level outcomes without real evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Unified clinical + claims lakehouse: No patient/member identity spine loaded,,,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,Low,Likely,,Partially operating,,,,,high,No patient/member identity spine loaded,MER-V3-0002,MER-HS,Unified clinical + claims lakehouse: No patient/member identity spine loaded,Unified clinical + claims lakehouse: No patient/member identity spine loaded,11_risks_controls,MER-V3-EVID-0171,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,No patient/member identity spine loaded,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,baseline_required_before_value_claim,Do not claim a production longitudinal patient view exists.; Do not claim Databricks or medallion architecture is implemented.; Do not cite patient-level outcomes without real evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Unified clinical + claims lakehouse: Claims and pharmacy harmonization not proven,,,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,Medium,Unlikely,,Operating,,,,,high,Claims and pharmacy harmonization not proven,MER-V3-0003,MER-HS,Unified clinical + claims lakehouse: Claims and pharmacy harmonization not proven,Unified clinical + claims lakehouse: Claims and pharmacy harmonization not proven,11_risks_controls,MER-V3-EVID-0172,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,Claims and pharmacy harmonization not proven,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,baseline_required_before_value_claim,Do not claim a production longitudinal patient view exists.; Do not claim Databricks or medallion architecture is implemented.; Do not cite patient-level outcomes without real evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Unified clinical + claims lakehouse: AWS/Databricks foundation not ready,,,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,Low,Likely,,Partially operating,,,,,medium,AWS/Databricks foundation not ready,MER-V3-0004,MER-HS,Unified clinical + claims lakehouse: AWS/Databricks foundation not ready,Unified clinical + claims lakehouse: AWS/Databricks foundation not ready,11_risks_controls,MER-V3-EVID-0173,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,AWS/Databricks foundation not ready,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,baseline_required_before_value_claim,Do not claim a production longitudinal patient view exists.; Do not claim Databricks or medallion architecture is implemented.; Do not cite patient-level outcomes without real evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Governed data foundation for AI / LLM automation: No formal data governance,,,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,High,Unlikely,,Gap,,,,,high,No formal data governance,MER-V3-0005,MER-HS,Governed data foundation for AI / LLM automation: No formal data governance,Governed data foundation for AI / LLM automation: No formal data governance,11_risks_controls,MER-V3-EVID-0174,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,No formal data governance,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,baseline_required_before_value_claim,Do not claim LLM workflows are production-ready.; Do not claim governance exists.; Do not claim automation savings without baseline and adoption evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Governed data foundation for AI / LLM automation: No certified semantic layer,,,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,High,Possible,,Operating,,,,,high,No certified semantic layer,MER-V3-0006,MER-HS,Governed data foundation for AI / LLM automation: No certified semantic layer,Governed data foundation for AI / LLM automation: No certified semantic layer,11_risks_controls,MER-V3-EVID-0175,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,No certified semantic layer,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,baseline_required_before_value_claim,Do not claim LLM workflows are production-ready.; Do not claim governance exists.; Do not claim automation savings without baseline and adoption evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Governed data foundation for AI / LLM automation: No AI audit trail evidence,,,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,High,Likely,,Design only,,,,,high,No AI audit trail evidence,MER-V3-0007,MER-HS,Governed data foundation for AI / LLM automation: No AI audit trail evidence,Governed data foundation for AI / LLM automation: No AI audit trail evidence,11_risks_controls,MER-V3-EVID-0176,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,No AI audit trail evidence,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,baseline_required_before_value_claim,Do not claim LLM workflows are production-ready.; Do not claim governance exists.; Do not claim automation savings without baseline and adoption evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Governed data foundation for AI / LLM automation: Data quality rules not loaded,,,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,Low,Likely,,Operating,,,,,medium,Data quality rules not loaded,MER-V3-0008,MER-HS,Governed data foundation for AI / LLM automation: Data quality rules not loaded,Governed data foundation for AI / LLM automation: Data quality rules not loaded,11_risks_controls,MER-V3-EVID-0177,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,Data quality rules not loaded,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,baseline_required_before_value_claim,Do not claim LLM workflows are production-ready.; Do not claim governance exists.; Do not claim automation savings without baseline and adoption evidence.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Call center optimization: Transcript governance not loaded,,,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,Low,Unlikely,,Partially operating,,,,,high,Transcript governance not loaded,MER-V3-0009,MER-HS,Call center optimization: Transcript governance not loaded,Call center optimization: Transcript governance not loaded,11_risks_controls,MER-V3-EVID-0178,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,Transcript governance not loaded,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,baseline_required_before_value_claim,Do not claim real-time agent assist is live.; Do not claim transcripts are approved for analytics.; Do not claim member-experience lift without measured baseline.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
meridian-health,Call center optimization: Real-time integration not proven,,,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,Low,Unlikely,,Partially operating,,,,,high,Real-time integration not proven,MER-V3-0010,MER-HS,Call center optimization: Real-time integration not proven,Call center optimization: Real-time integration not proven,11_risks_controls,MER-V3-EVID-0179,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,Real-time integration not proven,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,baseline_required_before_value_claim,Do not claim real-time agent assist is live.; Do not claim transcripts are approved for analytics.; Do not claim member-experience lift without measured baseline.,,,,,,,,,,,,,,,,,,,severity;likelihood;control_status,synthetic_demo_attribute_generation_2026_08_not_client_evidence
