initiative_id,initiative_name,business_area,owner_role,stage,promised_benefit_usd,measured_value_usd,value_confidence,status,primary_blocker,evidence_id,source_file,source_row,value_source
APX-INIT-001,Retail lakehouse and customer inventory graph,Data and AI,Chief Data Officer,mobilize,95000000,12000000,medium,at_risk,identity and item-location data quality,APX-EVID-001,ai-control-tower/T00_ai-investment-super-template.csv,2,tenant_file
APX-INIT-002,AI demand forecasting and replenishment,Merchandising,Chief Merchandising Officer,pilot,72000000,21000000,high,scale_candidate,forecast explainability by category,APX-EVID-002,ai-control-tower/T00_ai-investment-super-template.csv,3,tenant_file
APX-INIT-003,Store labor scheduling optimization,Store Operations,COO,pilot,51000000,9000000,medium,hold_until_evidence,labor-rule integration and manager adoption,APX-EVID-003,ai-control-tower/T00_ai-investment-super-template.csv,4,tenant_file
APX-INIT-004,Shrink anomaly detection,Loss Prevention,Chief Risk Officer,build,68000000,6800000,medium,at_risk,camera/POS evidence linkage,APX-EVID-004,ai-control-tower/T00_ai-investment-super-template.csv,5,tenant_file
APX-INIT-005,Search and personalization AI,Digital Commerce,Chief Digital Officer,scale,84000000,42000000,high,scale_candidate,consent and customer identity gaps,APX-EVID-005,ai-control-tower/T00_ai-investment-super-template.csv,6,tenant_file
APX-INIT-006,Retail media measurement clean room,Marketing,Chief Marketing Officer,design,38000000,4000000,medium,hold_until_evidence,incrementality proof missing,APX-EVID-006,ai-control-tower/T00_ai-investment-super-template.csv,7,tenant_file
APX-INIT-007,BOPIS exception prediction,Omnichannel Fulfillment,Chief Supply Chain Officer,pilot,34000000,7400000,medium,scale_candidate,store inventory accuracy,APX-EVID-007,ai-control-tower/T00_ai-investment-super-template.csv,8,tenant_file
APX-INIT-008,Returns fraud triage,Risk,Chief Risk Officer,build,26000000,3200000,medium,at_risk,fairness and customer friction review,APX-EVID-008,ai-control-tower/T00_ai-investment-super-template.csv,9,tenant_file
APX-INIT-009,Finance margin bridge automation,Finance,CFO,pilot,24000000,5800000,high,scale_candidate,vendor funding lineage,APX-EVID-009,ai-control-tower/T00_ai-investment-super-template.csv,10,tenant_file
APX-INIT-010,ServiceNow store support agent,IT Operations,VP IT Operations,pilot,18000000,2400000,medium,hold_until_evidence,knowledge base quality,APX-EVID-010,ai-control-tower/T00_ai-investment-super-template.csv,11,tenant_file
APX-INIT-011,Assortment localization copilot,Merchandising,Chief Merchandising Officer,design,30000000,0,low,prove_value,planner workflow fit,APX-EVID-011,ai-control-tower/T00_ai-investment-super-template.csv,12,tenant_file
APX-INIT-012,Store associate task assistant,Store Operations,COO,design,43000000,0,low,prove_value,mobile device and policy readiness,APX-EVID-012,ai-control-tower/T00_ai-investment-super-template.csv,13,tenant_file
APX-INIT-013,Supply chain ETA and carrier exception AI,Supply Chain,Chief Supply Chain Officer,build,36000000,7200000,medium,scale_candidate,carrier API latency,APX-EVID-013,ai-control-tower/T00_ai-investment-super-template.csv,14,tenant_file
APX-INIT-014,AI code productivity program,Technology,CIO,scale,22000000,9800000,high,scale_candidate,measurement by product team incomplete,APX-EVID-014,ai-control-tower/T00_ai-investment-super-template.csv,15,tenant_file
