Gov_ID,Initiative_ID,Model_Count,Model_Risk_Tier,HITL,Bias_Monitoring,Drift_Monitoring,Reg_Regime,Responsible_AI_Gate_Status
LAKESHORE-AIGOV-0001,LAKESHORE-INIT-0001,1,high,required,needed,needed,industry and enterprise AI policy,blocked
LAKESHORE-AIGOV-0002,LAKESHORE-INIT-0002,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0003,LAKESHORE-INIT-0003,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0004,LAKESHORE-INIT-0004,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0005,LAKESHORE-INIT-0005,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0006,LAKESHORE-INIT-0006,6,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0007,LAKESHORE-INIT-0007,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0008,LAKESHORE-INIT-0008,2,medium,defined,active,active,industry and enterprise AI policy,blocked
LAKESHORE-AIGOV-0009,LAKESHORE-INIT-0009,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0010,LAKESHORE-INIT-0010,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0011,LAKESHORE-INIT-0011,5,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0012,LAKESHORE-INIT-0012,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0013,LAKESHORE-INIT-0013,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0014,LAKESHORE-INIT-0014,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0015,LAKESHORE-INIT-0015,3,medium,defined,active,active,industry and enterprise AI policy,blocked
LAKESHORE-AIGOV-0016,LAKESHORE-INIT-0016,4,high,required,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0017,LAKESHORE-INIT-0017,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0018,LAKESHORE-INIT-0018,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0019,LAKESHORE-INIT-0019,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0020,LAKESHORE-INIT-0020,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0021,LAKESHORE-INIT-0021,3,high,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0022,LAKESHORE-INIT-0022,4,medium,required,active,active,industry and enterprise AI policy,blocked
LAKESHORE-AIGOV-0023,LAKESHORE-INIT-0023,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0024,LAKESHORE-INIT-0024,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0025,LAKESHORE-INIT-0025,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0026,LAKESHORE-INIT-0026,2,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0027,LAKESHORE-INIT-0027,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0028,LAKESHORE-INIT-0028,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0029,LAKESHORE-INIT-0029,5,medium,defined,needed,active,industry and enterprise AI policy,blocked
LAKESHORE-AIGOV-0030,LAKESHORE-INIT-0030,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0031,LAKESHORE-INIT-0031,1,high,required,active,needed,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0032,LAKESHORE-INIT-0032,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0033,LAKESHORE-INIT-0033,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0034,LAKESHORE-INIT-0034,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0035,LAKESHORE-INIT-0035,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0036,LAKESHORE-INIT-0036,6,high,defined,active,active,industry and enterprise AI policy,blocked
LAKESHORE-AIGOV-0037,LAKESHORE-INIT-0037,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0038,LAKESHORE-INIT-0038,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0039,LAKESHORE-INIT-0039,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
LAKESHORE-AIGOV-0040,LAKESHORE-INIT-0040,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
